Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2025/8/30,1,表,0,0,0,-,-,-,山田恭吾,右,久保田大成,右,ストレート,,7,外角,見逃し,,,,,0,0,
2025/8/30,1,表,0,1,0,-,-,-,山田恭吾,右,久保田大成,右,ストレート,,12,外角,ボール,,,,,0,0,
2025/8/30,1,表,1,1,0,-,-,-,山田恭吾,右,久保田大成,右,ストレート,,14,,ボール,,,,,0,0,
2025/8/30,1,表,2,1,0,-,-,-,山田恭吾,右,久保田大成,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/8/30,1,表,3,1,0,-,-,-,山田恭吾,右,久保田大成,右,ストレート,,8,外角,空振り,,,,,0,0,
2025/8/30,1,表,3,2,0,-,-,-,山田恭吾,右,久保田大成,右,ストレート,,4,外角,インプレー,,アウト,ゴロ,遊撃手,1,0,
2025/8/30,1,表,0,0,1,-,-,-,山田恭吾,右,加藤遥人,右,ストレート,,11,外角,空振り,,,,,0,0,
2025/8/30,1,表,0,1,1,-,-,-,山田恭吾,右,加藤遥人,右,ストレート,,11,外角,ボール,,,,,0,0,
2025/8/30,1,表,1,1,1,-,-,-,山田恭吾,右,加藤遥人,右,スライダー,,13,外角,ボール,,,,,0,0,
2025/8/30,1,表,2,1,1,-,-,-,山田恭吾,右,加藤遥人,右,ストレート,,1,外角,インプレー,,単打,ライナー,左翼手,0,0,
2025/8/30,1,表,0,0,1,○,-,-,山田恭吾,右,黒田佑月,左,ストレート,,14,外角,ボール,,,,,0,0,
2025/8/30,1,表,1,0,1,○,-,-,山田恭吾,右,黒田佑月,左,ストレート,,4,内角,見逃し,,,,,0,0,
2025/8/30,1,表,1,1,1,○,-,-,山田恭吾,右,黒田佑月,左,ストレート,,11,内角,ボール,,,,,0,0,
2025/8/30,1,表,2,1,1,○,-,-,山田恭吾,右,黒田佑月,左,,,,外角,牽制,,,,,0,0,
2025/8/30,1,表,2,1,1,○,-,-,山田恭吾,右,黒田佑月,左,スライダー,,13,外角,ファウル,,,,,0,0,
2025/8/30,1,表,2,2,1,○,-,-,山田恭吾,右,黒田佑月,左,ストレート,,11,内角,ボール,,,,,0,0,
2025/8/30,1,表,3,2,1,-,○,-,山田恭吾,右,黒田佑月,左,ストレート,,2,,ファウル,,,,,0,0,
2025/8/30,1,表,3,2,1,-,○,-,山田恭吾,右,黒田佑月,左,ストレート,,2,,インプレー,,単打,ゴロ,一塁手,0,0,
2025/8/30,1,表,0,0,1,○,-,○,山田恭吾,右,中村康太,右,スライダー,,14,外角,ボール,,,,,0,0,
2025/8/30,1,表,1,0,1,○,-,○,山田恭吾,右,中村康太,右,ストレート,,7,内角,見逃し,,,,,0,0,
2025/8/30,1,表,1,1,1,○,-,○,山田恭吾,右,中村康太,右,ストレート,,6,外角,インプレー,,単打,ゴロ,右翼手,0,1,
2025/8/30,1,表,0,0,1,○,○,-,山田恭吾,右,亀澤祐貴,右,ストレート,,11,外角,ファウル,,,,,0,0,
2025/8/30,1,表,0,1,1,○,○,-,山田恭吾,右,亀澤祐貴,右,,,,,牽制,,,,,0,0,
2025/8/30,1,表,0,1,1,○,○,-,山田恭吾,右,亀澤祐貴,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/8/30,1,表,1,1,1,○,○,-,山田恭吾,右,亀澤祐貴,右,ストレート,,7,,見逃し,,,,,0,0,
2025/8/30,1,表,1,2,1,○,○,-,山田恭吾,右,亀澤祐貴,右,ストレート,,12,外角,ボール,,,,,0,0,
2025/8/30,1,表,2,2,1,○,○,-,山田恭吾,右,亀澤祐貴,右,ストレート,,1,外角,インプレー,,アウト,フライ,左翼手,1,0,
2025/8/30,1,表,0,0,2,○,○,-,山田恭吾,右,藤田海輝,右,ストレート,,7,,見逃し,,,,,0,0,
