Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/8/31,1,裏,0,0,0,FALSE,FALSE,FALSE,向嶋大輔,右,須澤愛也,右,ストレート,,3,0,インプレー,FALSE,,凡打,フライ,右,1,0,,W6
2025/8/31,1,裏,0,0,1,FALSE,FALSE,FALSE,向嶋大輔,右,佐野淳之介,右,ストレート,,5,2,ファール,FALSE,,,,,0,0,,
2025/8/31,1,裏,0,1,1,FALSE,FALSE,FALSE,向嶋大輔,右,佐野淳之介,右,ストレート,,8,2,見送,FALSE,,,,,0,0,,
2025/8/31,1,裏,0,2,1,FALSE,FALSE,FALSE,向嶋大輔,右,佐野淳之介,右,ストレート,,8,2,空振,FALSE,空三振,,,,1,0,,
2025/8/31,1,裏,0,0,2,FALSE,FALSE,FALSE,向嶋大輔,右,池田賢哉,右,ストレート,,6,1,見送,FALSE,,,,,0,0,,
2025/8/31,1,裏,0,1,2,FALSE,FALSE,FALSE,向嶋大輔,右,池田賢哉,右,ストレート,,5,2,空振,FALSE,,,,,0,0,,
2025/8/31,1,裏,0,2,2,FALSE,FALSE,FALSE,向嶋大輔,右,池田賢哉,右,ストレート,,6,1,見送,FALSE,見三振,,,,1,0,,
2025/8/31,2,表,0,0,0,FALSE,FALSE,FALSE,丸山椋介,右,髙松紳志,左,ストレート,,4,3,見送,FALSE,,,,,0,0,,
2025/8/31,2,表,0,1,0,FALSE,FALSE,FALSE,丸山椋介,右,髙松紳志,左,カーブ,,13,3,ボール,FALSE,,,,,0,0,,
2025/8/31,2,表,1,1,0,FALSE,FALSE,FALSE,丸山椋介,右,髙松紳志,左,チェンジ,,6,2,インプレー,FALSE,,凡打,ゴロ,三,1,0,,D2
2025/8/31,2,表,0,0,1,FALSE,FALSE,FALSE,丸山椋介,右,細川叶人,右,ストレート,,5,2,インプレー,FALSE,,単打,ライナー,中,0,0,,K5
2025/8/31,2,表,0,0,1,TRUE,FALSE,FALSE,丸山椋介,右,野口恭平,左,ストレート,,6,3,見送,FALSE,,,,,0,0,,
2025/8/31,2,表,0,1,1,TRUE,FALSE,FALSE,丸山椋介,右,野口恭平,左,スライダー,,14,2,空振,FALSE,,,,,0,0,,
2025/8/31,2,表,0,2,1,TRUE,FALSE,FALSE,丸山椋介,右,野口恭平,左,ストレート,,2,2,インプレー,FALSE,,単打,ゴロ,右,0,0,,W4
2025/8/31,2,表,0,0,1,TRUE,FALSE,TRUE,丸山椋介,右,山田久敬,左,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/8/31,2,表,0,1,1,FALSE,TRUE,TRUE,丸山椋介,右,山田久敬,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/8/31,2,表,1,1,2,FALSE,TRUE,FALSE,丸山椋介,右,山田久敬,左,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/8/31,2,表,1,2,2,FALSE,TRUE,FALSE,丸山椋介,右,山田久敬,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/8/31,2,表,2,2,2,FALSE,TRUE,FALSE,丸山椋介,右,山田久敬,左,ストレート,,14,2,ボール,FALSE,,,,,0,0,,
2025/8/31,2,表,3,2,2,FALSE,TRUE,FALSE,丸山椋介,右,山田久敬,左,ストレート,,14,3,ボール,FALSE,四球,,,,0,0,,
2025/8/31,2,表,0,0,2,TRUE,FALSE,TRUE,丸山椋介,右,辻本匡登,右,スライダー,,9,1,見送,FALSE,,,,,0,0,,
2025/8/31,2,表,0,1,2,TRUE,FALSE,TRUE,丸山椋介,右,辻本匡登,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/8/31,2,表,1,1,2,TRUE,FALSE,TRUE,丸山椋介,右,辻本匡登,右,カーブ,,6,2,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,K3
2025/8/31,2,裏,0,0,0,FALSE,FALSE,FALSE,向嶋大輔,右,井上幹太(国際),右,カーブ,,5,2,見送,FALSE,,,,,0,0,,
2025/8/31,2,裏,0,1,0,FALSE,FALSE,FALSE,向嶋大輔,右,井上幹太(国際),右,ストレート,,7,2,空振,FALSE,,,,,0,0,,
2025/8/31,2,裏,0,2,0,FALSE,FALSE,FALSE,向嶋大輔,右,井上幹太(国際),右,ストレート,,9,1,見送,FALSE,見三振,,,,1,0,,
2025/8/31,2,裏,0,0,1,FALSE,FALSE,FALSE,向嶋大輔,右,鈴野愁馬,右,ストレート,,1,0,インプレー,FALSE,,失策,ゴロ,三,0,0,,E2
2025/8/31,2,裏,0,0,1,TRUE,FALSE,FALSE,向嶋大輔,右,伊藤悠成,左,ストレート,,4,3,見送,FALSE,,,,,0,0,,
2025/8/31,2,裏,0,1,1,TRUE,FALSE,FALSE,向嶋大輔,右,伊藤悠成,左,ストレート,,4,2,ファール,FALSE,,,,,0,0,,
2025/8/31,2,裏,0,2,1,TRUE,FALSE,FALSE,向嶋大輔,右,伊藤悠成,左,ストレート,153,7,3,ファール,FALSE,,,,,0,0,,
2025/8/31,2,裏,0,2,1,TRUE,FALSE,FALSE,向嶋大輔,右,伊藤悠成,左,ストレート,,2,0,ファール,FALSE,,,,,0,0,,
2025/8/31,2,裏,0,2,1,TRUE,FALSE,FALSE,向嶋大輔,右,伊藤悠成,左,フォーク,,13,0,インプレー,FALSE,,単打,ゴロ,右,0,0,,U4
2025/8/31,2,裏,0,0,1,TRUE,TRUE,FALSE,向嶋大輔,右,茂路晴実,左,ストレート,,1,0,インプレー,FALSE,,単打,フライ,中,0,1,,I5
2025/8/31,2,裏,0,0,1,TRUE,TRUE,FALSE,向嶋大輔,右,田中允貴,右,ストレート,,9,2,見送,FALSE,,,,,0,0,,
2025/8/31,2,裏,0,1,1,TRUE,TRUE,FALSE,向嶋大輔,右,田中允貴,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/8/31,2,裏,1,1,1,TRUE,TRUE,FALSE,向嶋大輔,右,田中允貴,右,ストレート,,5,2,見送,FALSE,,,,,0,0,,
2025/8/31,2,裏,1,2,1,TRUE,TRUE,FALSE,向嶋大輔,右,田中允貴,右,フォーク,,8,2,ファール,FALSE,,,,,0,0,,
2025/8/31,2,裏,1,2,1,TRUE,TRUE,FALSE,向嶋大輔,右,田中允貴,右,スライダー,,6,0,インプレー,FALSE,,併殺,ゴロ,遊,2,0,,K3
2025/8/31,3,表,0,0,0,FALSE,FALSE,FALSE,丸山椋介,右,濱口凌輔,左,カーブ,,13,3,ボール,FALSE,,,,,0,0,,
2025/8/31,3,表,1,0,0,FALSE,FALSE,FALSE,丸山椋介,右,濱口凌輔,左,ストレート,,14,2,ボール,FALSE,,,,,0,0,,
2025/8/31,3,表,2,0,0,FALSE,FALSE,FALSE,丸山椋介,右,濱口凌輔,左,ストレート,,4,2,インプレー,FALSE,,凡打,ゴロ,一,1,0,,X3
