Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/9/1,1,表,0,0,0,FALSE,FALSE,FALSE,藤川泰斗,左,須澤愛也,右,,,0,0,インプレー,FALSE,,凡打,フライ,右,1,0,,
2025/9/1,1,表,0,0,1,FALSE,FALSE,FALSE,藤川泰斗,左,佐野淳之介,右,,,0,0,インプレー,FALSE,,凡打,フライ,左,1,0,,
2025/9/1,1,表,0,0,2,FALSE,FALSE,FALSE,藤川泰斗,左,鈴野愁馬,右,ストレート,,2,3,インプレー,FALSE,,凡打,ゴロ,三,1,0,,
2025/9/1,1,裏,0,0,0,FALSE,FALSE,FALSE,丸山椋介,右,伊藤航太,左,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/9/1,1,裏,1,0,0,FALSE,FALSE,FALSE,岩﨑悠大,右,伊藤航太,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/1,1,裏,2,0,0,FALSE,FALSE,FALSE,岩﨑悠大,右,伊藤航太,左,ストレート,,4,3,見送,FALSE,,,,,0,0,,
2025/9/1,1,裏,2,1,0,FALSE,FALSE,FALSE,岩﨑悠大,右,伊藤航太,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/1,1,裏,3,1,0,FALSE,FALSE,FALSE,岩﨑悠大,右,伊藤航太,左,スライダー,,13,2,ボール,FALSE,四球,,,,0,0,,
2025/9/1,1,裏,0,0,0,TRUE,FALSE,FALSE,岩﨑悠大,右,西出俊輔,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/1,1,裏,1,0,0,TRUE,FALSE,FALSE,岩﨑悠大,右,西出俊輔,右,,,0,0,牽制,FALSE,,,,,0,0,,
2025/9/1,1,裏,1,0,0,TRUE,FALSE,FALSE,岩﨑悠大,右,西出俊輔,右,ストレート,,11,0,ボール,FALSE,,,,,0,0,,
2025/9/1,1,裏,2,0,0,TRUE,FALSE,FALSE,岩﨑悠大,右,西出俊輔,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/9/1,1,裏,2,1,0,TRUE,FALSE,FALSE,岩﨑悠大,右,西出俊輔,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/1,1,裏,3,1,0,TRUE,FALSE,FALSE,岩﨑悠大,右,西出俊輔,右,ストレート,,11,0,インプレー,FALSE,,犠打,ゴロ,投,1,0,,
2025/9/1,1,裏,0,0,1,FALSE,TRUE,FALSE,岩﨑悠大,右,池邉由伸,左,チェンジ,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/1,1,裏,1,0,1,FALSE,TRUE,FALSE,岩﨑悠大,右,池邉由伸,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/1,1,裏,2,0,1,FALSE,TRUE,FALSE,岩﨑悠大,右,池邉由伸,左,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/1,1,裏,3,0,1,FALSE,TRUE,FALSE,岩﨑悠大,右,池邉由伸,左,ストレート,,13,3,ボール,FALSE,四球,,,,0,0,,
2025/9/1,1,裏,0,0,1,TRUE,TRUE,FALSE,岩﨑悠大,右,髙松紳志,左,ストレート,,4,3,ファール,FALSE,,,,,0,0,,
2025/9/1,1,裏,0,1,1,TRUE,TRUE,FALSE,岩﨑悠大,右,髙松紳志,左,チェンジ,,7,1,インプレー,FALSE,,単打,ゴロ,左,1,0,,E2
2025/9/1,1,裏,0,0,2,TRUE,TRUE,FALSE,岩﨑悠大,右,大江陸斗,右,ストレート,,1,1,インプレー,FALSE,,凡打,ライナー,左,0,1,,E5
2025/9/1,1,裏,0,0,2,TRUE,TRUE,FALSE,岩﨑悠大,右,野口恭平,左,ストレート,,11,1,空振,FALSE,,,,,0,0,,
2025/9/1,1,裏,0,1,2,TRUE,TRUE,FALSE,岩﨑悠大,右,野口恭平,左,ストレート,,11,1,ファール,FALSE,,,,,0,0,,
2025/9/1,1,裏,0,2,2,TRUE,TRUE,FALSE,岩﨑悠大,右,野口恭平,左,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/9/1,1,裏,1,2,2,TRUE,TRUE,FALSE,岩﨑悠大,右,野口恭平,左,チェンジ,,13,0,インプレー,FALSE,,凡打,ゴロ,二,1,0,,U3
2025/9/1,2,表,0,0,0,FALSE,FALSE,FALSE,藤川泰斗,左,井上幹太(国際),右,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/9/1,2,表,0,1,0,FALSE,FALSE,FALSE,藤川泰斗,左,井上幹太(国際),右,ストレート,,11,0,ボール,FALSE,,,,,0,0,,
2025/9/1,2,表,1,1,0,FALSE,FALSE,FALSE,藤川泰斗,左,井上幹太(国際),右,カーブ,,2,0,ファール,FALSE,,,,,0,0,,
2025/9/1,2,表,1,2,0,FALSE,FALSE,FALSE,藤川泰斗,左,井上幹太(国際),右,ストレート,,9,1,見送,FALSE,見三振,,,,1,0,,
2025/9/1,2,表,0,0,1,FALSE,FALSE,FALSE,藤川泰斗,左,伊藤悠成,左,ストレート,,5,3,見送,FALSE,,,,,0,0,,
2025/9/1,2,表,0,1,1,FALSE,FALSE,FALSE,藤川泰斗,左,伊藤悠成,左,ストレート,,11,3,ファール,FALSE,,,,,0,0,,
2025/9/1,2,表,0,2,1,FALSE,FALSE,FALSE,藤川泰斗,左,伊藤悠成,左,スライダー,,13,0,空振,FALSE,空三振,,,,1,0,,
2025/9/1,2,表,0,0,2,FALSE,FALSE,FALSE,藤川泰斗,左,茂路晴実,左,ストレート,,1,3,見送,FALSE,,,,,0,0,,
2025/9/1,2,表,0,1,2,FALSE,FALSE,FALSE,藤川泰斗,左,茂路晴実,左,ストレート,,11,2,ファール,FALSE,,,,,0,0,,
2025/9/1,2,表,0,2,2,FALSE,FALSE,FALSE,藤川泰斗,左,茂路晴実,左,カーブ,,11,3,ファール,FALSE,,,,,0,0,,
2025/9/1,2,表,0,2,2,FALSE,FALSE,FALSE,藤川泰斗,左,茂路晴実,左,チェンジ,,6,3,ファール,FALSE,,,,,0,0,,
2025/9/1,2,表,0,2,2,FALSE,FALSE,FALSE,藤川泰斗,左,茂路晴実,左,ストレート,,11,0,インプレー,FALSE,,凡打,ゴロ,三,1,0,,C2
2025/9/1,2,裏,0,0,0,FALSE,FALSE,FALSE,岩﨑悠大,右,山田久敬,左,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/9/1,2,裏,0,1,0,FALSE,FALSE,FALSE,岩﨑悠大,右,山田久敬,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/1,2,裏,1,1,0,FALSE,FALSE,FALSE,岩﨑悠大,右,山田久敬,左,ストレート,,2,1,インプレー,FALSE,,凡打,フライ,右,1,0,,T6
2025/9/1,2,裏,0,0,1,FALSE,FALSE,FALSE,岩﨑悠大,右,辻本匡登,右,スライダー,,6,1,インプレー,FALSE,,二塁打,ライナー,右,0,0,,W3
2025/9/1,2,裏,0,0,1,FALSE,TRUE,FALSE,岩﨑悠大,右,香月将馬,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/9/1,2,裏,0,1,1,FALSE,TRUE,FALSE,岩﨑悠大,右,香月将馬,右,ストレート,,1,3,インプレー,FALSE,,単打,フライ,右,0,0,,S5
2025/9/1,2,裏,0,0,1,TRUE,FALSE,TRUE,岩﨑悠大,右,伊藤航太,左,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/9/1,2,裏,1,0,1,TRUE,FALSE,TRUE,岩﨑悠大,右,伊藤航太,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/1,2,裏,2,0,1,TRUE,FALSE,TRUE,岩﨑悠大,右,伊藤航太,左,ストレート,,3,0,インプレー,FALSE,,二塁打,ゴロ,右,0,2,,X2
2025/9/1,2,裏,0,0,1,FALSE,TRUE,FALSE,岩﨑悠大,右,西出俊輔,右,ストレート,,8,1,見送,FALSE,,,,,0,0,,
2025/9/1,2,裏,0,1,1,FALSE,TRUE,FALSE,岩﨑悠大,右,西出俊輔,右,ストレート,,13,1,ボール,FALSE,,,,,0,0,,
2025/9/1,2,裏,1,1,1,FALSE,TRUE,FALSE,岩﨑悠大,右,西出俊輔,右,ストレート,,11,0,インプレー,FALSE,,凡打,フライ,捕,1,0,,
2025/9/1,2,裏,0,0,2,FALSE,TRUE,FALSE,岩﨑悠大,右,池邉由伸,左,ストレート,,5,3,インプレー,FALSE,,凡打,フライ,右,1,0,,R6
2025/9/1,3,表,0,0,0,FALSE,FALSE,FALSE,藤川泰斗,左,石井海瑛,左,チェンジ,,7,2,インプレー,FALSE,,凡打,ゴロ,二,1,0,,O3
2025/9/1,3,表,0,0,1,FALSE,FALSE,FALSE,藤川泰斗,左,田中允貴,右,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/9/1,3,表,0,1,1,FALSE,FALSE,FALSE,藤川泰斗,左,田中允貴,右,ストレート,,2,0,見送,FALSE,,,,,0,0,,
2025/9/1,3,表,0,2,1,FALSE,FALSE,FALSE,藤川泰斗,左,田中允貴,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/1,3,表,1,2,1,FALSE,FALSE,FALSE,藤川泰斗,左,田中允貴,右,ストレート,,2,2,インプレー,FALSE,,単打,フライ,右,1,0,,S4
2025/9/1,3,表,0,0,2,FALSE,FALSE,FALSE,藤川泰斗,左,玉置丈一郎,右,ストレート,,1,3,ファール,FALSE,,,,,0,0,,
2025/9/1,3,表,0,1,1,TRUE,FALSE,FALSE,藤川泰斗,左,玉置丈一郎,右,ストレート,,11,0,ファール,FALSE,,,,,0,0,,
2025/9/1,3,表,0,2,1,TRUE,FALSE,FALSE,藤川泰斗,左,玉置丈一郎,右,ストレート,,12,1,空振,FALSE,空三振,,,,1,0,,
2025/9/1,3,表,0,0,2,TRUE,FALSE,FALSE,藤川泰斗,左,須澤愛也,右,ストレート,,1,3,見送,FALSE,,,,,0,0,,
2025/9/1,3,表,0,1,2,TRUE,FALSE,FALSE,藤川泰斗,左,須澤愛也,右,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/1,3,表,1,1,2,TRUE,FALSE,FALSE,藤川泰斗,左,須澤愛也,右,ストレート,,13,0,ボール,FALSE,,,,,0,0,,
2025/9/1,3,表,2,1,2,TRUE,FALSE,FALSE,藤川泰斗,左,須澤愛也,右,ストレート,,11,0,ファール,FALSE,,,,,0,0,,
2025/9/1,3,表,2,2,2,TRUE,FALSE,FALSE,藤川泰斗,左,須澤愛也,右,ストレート,,11,0,インプレー,FALSE,,単打,フライ,中,0,0,,K4
2025/9/1,3,表,0,0,2,TRUE,TRUE,FALSE,藤川泰斗,左,佐野淳之介,右,スライダー,,8,0,見送,FALSE,,,,,0,0,,
2025/9/1,3,表,0,1,2,TRUE,TRUE,FALSE,藤川泰斗,左,佐野淳之介,右,ストレート,,11,0,ファール,FALSE,,,,,0,0,,
2025/9/1,3,表,0,2,2,TRUE,TRUE,FALSE,藤川泰斗,左,佐野淳之介,右,ストレート,,14,0,ボール,FALSE,,,,,0,0,,
2025/9/1,3,表,1,2,2,TRUE,TRUE,FALSE,藤川泰斗,左,佐野淳之介,右,ストレート,,9,0,空振,FALSE,空三振,,,,1,0,,
2025/9/1,3,裏,0,0,0,FALSE,FALSE,FALSE,岩﨑悠大,右,髙松紳志,左,ストレート,,4,3,ファール,FALSE,,,,,0,0,,
2025/9/1,3,裏,0,1,0,FALSE,FALSE,FALSE,岩﨑悠大,右,髙松紳志,左,チェンジ,,13,1,ボール,FALSE,,,,,0,0,,
2025/9/1,3,裏,1,1,0,FALSE,FALSE,FALSE,岩﨑悠大,右,髙松紳志,左,ストレート,,1,0,ファール,FALSE,,,,,0,0,,
2025/9/1,3,裏,1,2,0,FALSE,FALSE,FALSE,岩﨑悠大,右,髙松紳志,左,ストレート,,7,1,インプレー,FALSE,,単打,ライナー,左,0,0,,F4
2025/9/1,3,裏,0,0,0,TRUE,FALSE,FALSE,岩﨑悠大,右,大江陸斗,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/1,3,裏,1,0,0,TRUE,FALSE,FALSE,岩﨑悠大,右,大江陸斗,右,スライダー,,13,1,ボール,FALSE,,,,,0,0,,
2025/9/1,3,裏,2,0,0,TRUE,FALSE,FALSE,岩﨑悠大,右,大江陸斗,右,ストレート,,12,0,ボール,FALSE,,,,,0,0,,
