Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/9/6,1,表,0,0,0,FALSE,FALSE,FALSE,水谷光希,右,伊藤悠成,左,ストレート,,1,3,見送,FALSE,,,,,0,0,,
2025/9/6,1,表,0,1,0,FALSE,FALSE,FALSE,水谷光希,右,伊藤悠成,左,ストレート,,1,3,インプレー,FALSE,,凡打,フライ,右,1,0,,R6
2025/9/6,1,表,0,0,1,FALSE,FALSE,FALSE,水谷光希,右,鈴野愁馬,右,ストレート,,7,1,見送,FALSE,,,,,0,0,,
2025/9/6,1,表,0,1,1,FALSE,FALSE,FALSE,水谷光希,右,鈴野愁馬,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,1,1,FALSE,FALSE,FALSE,水谷光希,右,鈴野愁馬,右,スライダー,,8,1,インプレー,FALSE,,凡打,ゴロ,三,1,0,,C2
2025/9/6,1,表,0,0,2,FALSE,FALSE,FALSE,水谷光希,右,須澤愛也,右,スライダー,,8,1,ファール,FALSE,,,,,0,0,,
2025/9/6,1,表,0,1,2,FALSE,FALSE,FALSE,水谷光希,右,須澤愛也,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,1,2,FALSE,FALSE,FALSE,水谷光希,右,須澤愛也,右,スライダー,,14,1,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,F3
2025/9/6,1,裏,0,0,0,FALSE,FALSE,FALSE,石井海瑛,右,山川悟輝,左,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/9/6,1,裏,0,1,0,FALSE,FALSE,FALSE,石井海瑛,右,山川悟輝,左,カーブ,,11,0,ボール,FALSE,,,,,0,0,,
2025/9/6,1,裏,1,1,0,FALSE,FALSE,FALSE,石井海瑛,右,山川悟輝,左,カーブ,,5,2,見送,FALSE,,,,,0,0,,
2025/9/6,1,裏,1,2,0,FALSE,FALSE,FALSE,石井海瑛,右,山川悟輝,左,ストレート,,6,3,インプレー,FALSE,,凡打,ゴロ,一,1,0,,V3
2025/9/6,1,裏,0,0,1,FALSE,FALSE,FALSE,石井海瑛,右,川合錬磨,右,ストレート,,3,3,見送,FALSE,,,,,0,0,,
2025/9/6,1,裏,0,1,1,FALSE,FALSE,FALSE,石井海瑛,右,川合錬磨,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/9/6,1,裏,0,2,1,FALSE,FALSE,FALSE,石井海瑛,右,川合錬磨,右,カーブ,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,裏,1,2,1,FALSE,FALSE,FALSE,石井海瑛,右,川合錬磨,右,スライダー,,12,1,インプレー,FALSE,,凡打,フライ,左,1,0,,I5
2025/9/6,1,裏,0,0,2,FALSE,FALSE,FALSE,石井海瑛,右,新田恭也,左,カーブ,,14,3,ボール,FALSE,,,,,0,0,,
2025/9/6,1,裏,1,0,2,FALSE,FALSE,FALSE,石井海瑛,右,新田恭也,左,ストレート,,9,3,見送,FALSE,,,,,0,0,,
2025/9/6,1,裏,1,1,2,FALSE,FALSE,FALSE,石井海瑛,右,新田恭也,左,スライダー,,7,0,インプレー,FALSE,,凡打,ゴロ,一,1,0,,U2
2025/9/6,2,表,0,0,0,FALSE,FALSE,FALSE,水谷光希,右,井上幹太(国際),右,スライダー,,14,0,空振,FALSE,,,,,0,0,,
2025/9/6,2,表,2,2,0,FALSE,FALSE,FALSE,水谷光希,右,井上幹太(国際),右,カーブ,,3,0,インプレー,FALSE,,凡打,フライ,右,1,0,,U5
2025/9/6,2,表,0,0,1,FALSE,FALSE,FALSE,水谷光希,右,茂路晴実,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/6,2,表,1,0,1,FALSE,FALSE,FALSE,水谷光希,右,茂路晴実,左,シュート,,4,3,ファール,FALSE,,,,,0,0,,
2025/9/6,2,表,1,1,1,FALSE,FALSE,FALSE,水谷光希,右,茂路晴実,左,シュート,,4,1,空振,FALSE,,,,,0,0,,
2025/9/6,2,表,1,2,1,FALSE,FALSE,FALSE,水谷光希,右,茂路晴実,左,ストレート,,1,3,インプレー,FALSE,,凡打,ライナー,遊,1,0,,G3
2025/9/6,2,表,0,0,2,FALSE,FALSE,FALSE,水谷光希,右,佐野淳之介,右,カーブ,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/6,2,表,1,0,2,FALSE,FALSE,FALSE,水谷光希,右,佐野淳之介,右,ストレート,,2,1,ファール,FALSE,,,,,0,0,,
2025/9/6,2,表,1,1,2,FALSE,FALSE,FALSE,水谷光希,右,佐野淳之介,右,ストレート,,2,1,ファール,FALSE,,,,,0,0,,
2025/9/6,2,表,1,2,2,FALSE,FALSE,FALSE,水谷光希,右,佐野淳之介,右,シュート,,5,0,ファール,FALSE,,,,,0,0,,
2025/9/6,2,表,1,2,2,FALSE,FALSE,FALSE,水谷光希,右,佐野淳之介,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/6,2,表,2,2,2,FALSE,FALSE,FALSE,水谷光希,右,佐野淳之介,右,スライダー,,12,1,ファール,FALSE,,,,,0,0,,
2025/9/6,2,表,2,2,2,FALSE,FALSE,FALSE,水谷光希,右,佐野淳之介,右,ストレート,,12,1,ファール,FALSE,,,,,0,0,,
2025/9/6,2,表,2,2,2,FALSE,FALSE,FALSE,水谷光希,右,佐野淳之介,右,シュート,,6,3,ファール,FALSE,,,,,0,0,,
2025/9/6,2,表,2,2,2,FALSE,FALSE,FALSE,水谷光希,右,佐野淳之介,右,スライダー,,14,1,インプレー,FALSE,,凡打,ゴロ,二,1,0,,S3
2025/9/6,2,裏,0,0,0,FALSE,FALSE,FALSE,石井海瑛,右,角尾頼尊,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/6,2,裏,1,0,0,FALSE,FALSE,FALSE,石井海瑛,右,角尾頼尊,右,スライダー,,3,0,インプレー,FALSE,,凡打,ライナー,左,1,0,,G6
2025/9/6,2,裏,0,0,1,FALSE,FALSE,FALSE,石井海瑛,右,今岡歩夢,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/6,2,裏,1,0,1,FALSE,FALSE,FALSE,石井海瑛,右,今岡歩夢,左,カーブ,,14,0,ボール,FALSE,,,,,0,0,,
2025/9/6,2,裏,2,0,1,FALSE,FALSE,FALSE,石井海瑛,右,今岡歩夢,左,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/6,2,裏,3,0,1,FALSE,FALSE,FALSE,石井海瑛,右,今岡歩夢,左,ストレート,,11,3,ボール,FALSE,四球,,,,0,0,,
2025/9/6,2,裏,0,0,1,TRUE,FALSE,FALSE,石井海瑛,右,南　早羽己,左,カーブ,,1,3,見送,FALSE,,,,,0,0,,
2025/9/6,2,裏,0,1,1,TRUE,FALSE,FALSE,石井海瑛,右,南　早羽己,左,ストレート,,14,3,ボール,FALSE,,,,,0,0,,
2025/9/6,2,裏,1,1,1,TRUE,FALSE,FALSE,石井海瑛,右,南　早羽己,左,カーブ,,2,3,インプレー,FALSE,,凡打,ゴロ,一,1,0,,V2
2025/9/6,2,裏,0,0,2,TRUE,FALSE,FALSE,石井海瑛,右,土井研照,右,スライダー,,4,1,見送,FALSE,,,,,0,0,,
2025/9/6,2,裏,0,1,2,TRUE,FALSE,FALSE,石井海瑛,右,土井研照,右,ストレート,,3,1,見送,FALSE,,,,,0,0,,
2025/9/6,2,裏,0,2,2,TRUE,FALSE,FALSE,石井海瑛,右,土井研照,右,,,0,0,牽制,FALSE,,,,,0,0,,
2025/9/6,2,裏,0,2,2,TRUE,FALSE,FALSE,石井海瑛,右,土井研照,右,ストレート,,12,1,インプレー,FALSE,,凡打,フライ,中,1,0,,M6
2025/9/6,3,表,0,0,0,FALSE,FALSE,FALSE,水谷光希,右,池田賢哉,右,ストレート,,2,1,インプレー,FALSE,,凡打,ゴロ,二,1,0,,R3
2025/9/6,3,表,0,0,1,FALSE,FALSE,FALSE,水谷光希,右,田中允貴,右,カーブ,,14,1,ボール,FALSE,,,,,0,0,,
