Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/9/6,1,表,0,0,0,FALSE,FALSE,FALSE,向嶋大輔,右,山本優人,右,カット,,6,1,見送,FALSE,,,,,0,0,,
2025/9/6,1,表,0,1,0,FALSE,FALSE,FALSE,向嶋大輔,右,山本優人,右,ストレート,,3,1,見送,FALSE,,,,,0,0,,
2025/9/6,1,表,0,2,0,FALSE,FALSE,FALSE,向嶋大輔,右,山本優人,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,2,0,FALSE,FALSE,FALSE,向嶋大輔,右,山本優人,右,ストレート,,3,1,空振,FALSE,空三振,,,,1,0,,
2025/9/6,1,表,0,0,1,FALSE,FALSE,FALSE,向嶋大輔,右,淀川理久,左,ストレート,,1,3,空振,FALSE,,,,,0,0,,
2025/9/6,1,表,0,1,1,FALSE,FALSE,FALSE,向嶋大輔,右,淀川理久,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,1,1,FALSE,FALSE,FALSE,向嶋大輔,右,淀川理久,左,ストレート,,13,3,空振,FALSE,,,,,0,0,,
2025/9/6,1,表,1,2,1,FALSE,FALSE,FALSE,向嶋大輔,右,淀川理久,左,ストレート,,6,3,空振,FALSE,空三振,,,,1,0,,
2025/9/6,1,表,0,0,2,FALSE,FALSE,FALSE,向嶋大輔,右,竹田龍汰,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,0,2,FALSE,FALSE,FALSE,向嶋大輔,右,竹田龍汰,右,ストレート,,2,1,見送,FALSE,,,,,0,0,,
2025/9/6,1,表,1,1,2,FALSE,FALSE,FALSE,向嶋大輔,右,竹田龍汰,右,ストレート,,3,1,ファール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,2,2,FALSE,FALSE,FALSE,向嶋大輔,右,竹田龍汰,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,2,2,2,FALSE,FALSE,FALSE,向嶋大輔,右,竹田龍汰,右,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,3,2,2,FALSE,FALSE,FALSE,向嶋大輔,右,竹田龍汰,右,ストレート,,12,1,ボール,FALSE,四球,,,,0,0,,
2025/9/6,1,表,0,0,2,TRUE,FALSE,FALSE,向嶋大輔,右,加納誠琉,右,フォーク,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,0,2,TRUE,FALSE,FALSE,向嶋大輔,右,加納誠琉,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/9/6,1,表,1,1,2,TRUE,FALSE,FALSE,向嶋大輔,右,加納誠琉,右,ストレート,,5,1,ファール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,2,2,TRUE,FALSE,FALSE,向嶋大輔,右,加納誠琉,右,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,2,2,2,TRUE,FALSE,FALSE,向嶋大輔,右,加納誠琉,右,スライダー,,1,1,見送,FALSE,見三振,,,,1,0,,
2025/9/6,1,裏,0,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,伊藤航太,左,ストレート,,1,1,インプレー,FALSE,,二塁打,フライ,左,0,0,,I6
2025/9/6,1,裏,0,0,0,FALSE,TRUE,FALSE,濵名壱晴,右,久保誓真,右,ストレート,,9,1,空振,FALSE,,,,,0,0,,
2025/9/6,1,裏,0,1,0,FALSE,TRUE,FALSE,濵名壱晴,右,久保誓真,右,ストレート,,3,1,インプレー,FALSE,,凡打,フライ,捕,1,0,,
2025/9/6,1,裏,0,0,1,FALSE,TRUE,FALSE,濵名壱晴,右,池邉由伸,左,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,裏,1,0,1,FALSE,TRUE,FALSE,濵名壱晴,右,池邉由伸,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/6,1,裏,2,0,1,FALSE,TRUE,FALSE,濵名壱晴,右,池邉由伸,左,スライダー,,11,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,裏,3,0,1,FALSE,TRUE,FALSE,濵名壱晴,右,池邉由伸,左,,,0,1,牽制,FALSE,,,,,0,0,,
2025/9/6,1,裏,3,0,1,FALSE,TRUE,FALSE,濵名壱晴,右,池邉由伸,左,ストレート,,1,1,空振,FALSE,,,,,0,0,,
2025/9/6,1,裏,3,1,1,FALSE,TRUE,FALSE,濵名壱晴,右,池邉由伸,左,ストレート,,12,1,インプレー,FALSE,,凡打,ゴロ,一,1,0,,V2
2025/9/6,1,裏,0,0,2,FALSE,FALSE,TRUE,濵名壱晴,右,髙松紳志,左,ストレート,,7,3,ファール,FALSE,,,,,0,0,,
2025/9/6,1,裏,0,1,2,FALSE,FALSE,TRUE,濵名壱晴,右,髙松紳志,左,フォーク,,13,3,インプレー,FALSE,,凡打,フライ,左,1,0,,H4
2025/9/6,2,表,0,0,0,FALSE,FALSE,FALSE,向嶋大輔,右,相上征士郎,右,ストレート,,6,1,見送,FALSE,,,,,0,0,,
2025/9/6,2,表,0,1,0,FALSE,FALSE,FALSE,向嶋大輔,右,相上征士郎,右,スライダー,,13,1,空振,FALSE,,,,,0,0,,
2025/9/6,2,表,0,2,0,FALSE,FALSE,FALSE,向嶋大輔,右,相上征士郎,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/6,2,表,1,2,0,FALSE,FALSE,FALSE,向嶋大輔,右,相上征士郎,右,スライダー,,14,1,空振,FALSE,空三振,,,,1,0,,
