Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/9/6,1,表,0,0,0,FALSE,FALSE,FALSE,吉野京士郎,右,中野心惇,右,ストレート,,11,1,空振,FALSE,,,,,0,0,,
2025/9/6,1,表,0,1,0,FALSE,FALSE,FALSE,吉野京士郎,右,中野心惇,右,スライダー,,5,2,インプレー,FALSE,,凡打,フライ,一,1,0,,U2
2025/9/6,1,表,0,0,1,FALSE,FALSE,FALSE,吉野京士郎,右,前谷内琉斗,左,ストレート,,4,3,見送,FALSE,,,,,0,0,,
2025/9/6,1,表,0,1,1,FALSE,FALSE,FALSE,吉野京士郎,右,前谷内琉斗,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,1,1,FALSE,FALSE,FALSE,吉野京士郎,右,前谷内琉斗,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,2,1,1,FALSE,FALSE,FALSE,吉野京士郎,右,前谷内琉斗,左,スライダー,,4,2,見送,FALSE,,,,,0,0,,
2025/9/6,1,表,2,2,1,FALSE,FALSE,FALSE,吉野京士郎,右,前谷内琉斗,左,スライダー,,8,3,ファール,FALSE,,,,,0,0,,
2025/9/6,1,表,2,2,1,FALSE,FALSE,FALSE,吉野京士郎,右,前谷内琉斗,左,スライダー,,1,3,見送,FALSE,見三振,,,,1,0,,
2025/9/6,1,表,0,0,2,FALSE,FALSE,FALSE,吉野京士郎,右,津澤泰成,左,スライダー,,11,1,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,0,2,FALSE,FALSE,FALSE,吉野京士郎,右,津澤泰成,左,スライダー,,9,1,ファール,FALSE,,,,,0,0,,
2025/9/6,1,表,1,1,2,FALSE,FALSE,FALSE,吉野京士郎,右,津澤泰成,左,ストレート,,7,3,空振,FALSE,,,,,0,0,,
2025/9/6,1,表,1,2,2,FALSE,FALSE,FALSE,吉野京士郎,右,津澤泰成,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,2,2,2,FALSE,FALSE,FALSE,吉野京士郎,右,津澤泰成,左,ストレート,,14,3,ボール,FALSE,,,,,0,0,,
2025/9/6,1,表,3,2,2,FALSE,FALSE,FALSE,吉野京士郎,右,津澤泰成,左,ストレート,,7,1,インプレー,FALSE,,単打,フライ,中,0,0,,R4
2025/9/6,1,表,0,0,2,TRUE,FALSE,FALSE,吉野京士郎,右,山本翔士,左,スライダー,,7,1,見送,FALSE,,,,,0,0,,
2025/9/6,1,表,0,1,2,TRUE,FALSE,FALSE,吉野京士郎,右,山本翔士,左,ストレート,,4,3,ファール,FALSE,,,,,0,0,,
2025/9/6,1,表,0,2,2,TRUE,FALSE,FALSE,吉野京士郎,右,山本翔士,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
