Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/9/7,1,表,0,0,0,FALSE,FALSE,FALSE,丸山椋介,右,三島袈夢,左,ストレート,,5,2,見送,FALSE,,,,,0,0,,
2025/9/7,1,表,0,1,0,FALSE,FALSE,FALSE,丸山椋介,右,三島袈夢,左,カーブ,,4,3,見送,FALSE,,,,,0,0,,
2025/9/7,1,表,0,2,0,FALSE,FALSE,FALSE,丸山椋介,右,三島袈夢,左,チェンジ,,4,3,ファール,FALSE,,,,,0,0,,
2025/9/7,1,表,0,2,0,FALSE,FALSE,FALSE,丸山椋介,右,三島袈夢,左,ストレート,,1,0,ファール,FALSE,,,,,0,0,,
2025/9/7,1,表,0,2,0,FALSE,FALSE,FALSE,丸山椋介,右,三島袈夢,左,カーブ,,5,2,ファール,FALSE,,,,,0,0,,
2025/9/7,1,表,0,2,0,FALSE,FALSE,FALSE,丸山椋介,右,三島袈夢,左,ストレート,,14,2,ボール,FALSE,,,,,0,0,,
2025/9/7,1,表,1,2,0,FALSE,FALSE,FALSE,丸山椋介,右,三島袈夢,左,ストレート,,2,0,インプレー,FALSE,,凡打,ゴロ,三,1,0,,D3
2025/9/7,1,表,0,0,1,FALSE,FALSE,FALSE,丸山椋介,右,川合錬磨,右,カーブ,,6,1,見送,FALSE,,,,,0,0,,
2025/9/7,1,表,0,1,1,FALSE,FALSE,FALSE,丸山椋介,右,川合錬磨,右,カーブ,,14,2,ボール,FALSE,,,,,0,0,,
2025/9/7,1,表,1,1,1,FALSE,FALSE,FALSE,丸山椋介,右,川合錬磨,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/7,1,表,2,1,1,FALSE,FALSE,FALSE,丸山椋介,右,川合錬磨,右,ストレート,,6,1,見送,FALSE,,,,,0,0,,
2025/9/7,1,表,2,2,1,FALSE,FALSE,FALSE,丸山椋介,右,川合錬磨,右,ストレート,,9,1,ファール,FALSE,,,,,0,0,,
2025/9/7,1,表,2,2,1,FALSE,FALSE,FALSE,丸山椋介,右,川合錬磨,右,カーブ,,7,2,見送,FALSE,見三振,,,,1,0,,
2025/9/7,1,表,0,0,2,FALSE,FALSE,FALSE,丸山椋介,右,新田恭也,左,ストレート,,5,0,見送,FALSE,,,,,0,0,,
2025/9/7,1,表,0,1,2,FALSE,FALSE,FALSE,丸山椋介,右,新田恭也,左,チェンジ,,13,2,ボール,FALSE,,,,,0,0,,
2025/9/7,1,表,1,1,2,FALSE,FALSE,FALSE,丸山椋介,右,新田恭也,左,ストレート,,6,1,見送,FALSE,,,,,0,0,,
