Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/9/20,1,表,0,0,0,FALSE,FALSE,FALSE,水谷光希,右,山本優人,右,ストレート,,9,1,見送,FALSE,,,,,0,0,,
2025/9/20,1,表,0,1,0,FALSE,FALSE,FALSE,水谷光希,右,山本優人,右,スライダー,,14,1,空振,FALSE,,,,,0,0,,
2025/9/20,1,表,0,2,0,FALSE,FALSE,FALSE,水谷光希,右,山本優人,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,2,0,FALSE,FALSE,FALSE,水谷光希,右,山本優人,右,スライダー,,14,1,空振,FALSE,空三振,,,,1,0,,
2025/9/20,1,表,0,0,1,FALSE,FALSE,FALSE,水谷光希,右,山本悠真,右,カーブ,,13,1,ボール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,0,1,FALSE,FALSE,FALSE,水谷光希,右,山本悠真,右,ストレート,,3,1,ファール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,1,1,FALSE,FALSE,FALSE,水谷光希,右,山本悠真,右,ストレート,,2,1,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,J3
2025/9/20,1,表,0,0,2,FALSE,FALSE,FALSE,水谷光希,右,竹田龍汰,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,0,2,FALSE,FALSE,FALSE,水谷光希,右,竹田龍汰,右,シュート,,3,1,見送,FALSE,,,,,0,0,,
2025/9/20,1,表,1,1,2,FALSE,FALSE,FALSE,水谷光希,右,竹田龍汰,右,ストレート,,9,1,ファール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,2,2,FALSE,FALSE,FALSE,水谷光希,右,竹田龍汰,右,シュート,,4,3,ファール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,2,2,FALSE,FALSE,FALSE,水谷光希,右,竹田龍汰,右,スライダー,,9,1,ファール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,2,2,FALSE,FALSE,FALSE,水谷光希,右,竹田龍汰,右,シュート,,14,1,空振,FALSE,空三振,,,,1,0,,
2025/9/20,1,裏,0,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,山川悟輝,左,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/20,1,裏,1,0,0,FALSE,FALSE,FALSE,濵名壱晴,右,山川悟輝,左,ストレート,,4,1,インプレー,FALSE,,単打,フライ,中,0,0,,N4
2025/9/20,1,裏,0,0,0,TRUE,FALSE,FALSE,濵名壱晴,右,三島袈夢,左,,,0,3,牽制,FALSE,,,,,0,0,,
2025/9/20,1,裏,0,0,0,TRUE,FALSE,FALSE,濵名壱晴,右,三島袈夢,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/20,1,裏,1,0,0,TRUE,FALSE,FALSE,濵名壱晴,右,三島袈夢,左,,,0,1,牽制,FALSE,,,,,0,0,,
2025/9/20,1,裏,1,0,0,TRUE,FALSE,FALSE,濵名壱晴,右,三島袈夢,左,ストレート,,0,2,インプレー,FALSE,,犠打,ゴロ,投,1,0,,
2025/9/20,1,裏,0,0,1,FALSE,TRUE,FALSE,濵名壱晴,右,川合錬磨,右,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/9/20,1,裏,1,0,1,FALSE,TRUE,FALSE,濵名壱晴,右,川合錬磨,右,カーブ,,7,1,見送,FALSE,,,,,0,0,,
2025/9/20,1,裏,1,1,1,FALSE,TRUE,FALSE,濵名壱晴,右,川合錬磨,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/20,1,裏,2,1,1,FALSE,TRUE,FALSE,濵名壱晴,右,川合錬磨,右,カーブ,,2,1,ファール,FALSE,,,,,0,0,,
2025/9/20,1,裏,2,2,1,FALSE,TRUE,FALSE,濵名壱晴,右,川合錬磨,右,ストレート,,11,3,ファール,FALSE,,,,,0,0,,
2025/9/20,1,裏,2,2,1,FALSE,TRUE,FALSE,濵名壱晴,右,川合錬磨,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
