Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/9/20,1,表,0,0,0,FALSE,FALSE,FALSE,藤川泰斗,左,中野心惇,右,ストレート,,7,1,インプレー,FALSE,,凡打,フライ,右,1,0,,R4
2025/9/20,1,表,0,0,1,FALSE,FALSE,FALSE,藤川泰斗,左,前谷内琉斗,左,ストレート,,7,0,見送,FALSE,,,,,0,0,,
2025/9/20,1,表,0,1,1,FALSE,FALSE,FALSE,藤川泰斗,左,前谷内琉斗,左,ストレート,,4,3,ファール,FALSE,,,,,0,0,,
2025/9/20,1,表,0,2,1,FALSE,FALSE,FALSE,藤川泰斗,左,前谷内琉斗,左,スライダー,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,2,1,FALSE,FALSE,FALSE,藤川泰斗,左,前谷内琉斗,左,ストレート,,1,3,ファール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,2,1,FALSE,FALSE,FALSE,藤川泰斗,左,前谷内琉斗,左,ストレート,,3,1,ファール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,2,1,FALSE,FALSE,FALSE,藤川泰斗,左,前谷内琉斗,左,スライダー,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/20,1,表,2,2,1,FALSE,FALSE,FALSE,藤川泰斗,左,前谷内琉斗,左,カーブ,,4,3,見送,FALSE,見三振,,,,1,0,,
2025/9/20,1,表,0,0,2,FALSE,FALSE,FALSE,藤川泰斗,左,津澤泰成,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/20,1,表,1,0,2,FALSE,FALSE,FALSE,藤川泰斗,左,津澤泰成,左,ストレート,,7,3,空振,FALSE,,,,,0,0,,
2025/9/20,1,表,1,1,2,FALSE,FALSE,FALSE,藤川泰斗,左,津澤泰成,左,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/9/20,1,表,1,2,2,FALSE,FALSE,FALSE,藤川泰斗,左,津澤泰成,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/20,1,表,2,2,2,FALSE,FALSE,FALSE,藤川泰斗,左,津澤泰成,左,スライダー,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/20,1,表,3,2,2,FALSE,FALSE,FALSE,藤川泰斗,左,津澤泰成,左,ストレート,,7,2,ファール,FALSE,,,,,0,0,,
2025/9/20,1,表,3,2,2,FALSE,FALSE,FALSE,藤川泰斗,左,津澤泰成,左,ストレート,,5,2,ファール,FALSE,,,,,0,0,,
2025/9/20,1,表,3,2,2,FALSE,FALSE,FALSE,藤川泰斗,左,津澤泰成,左,カーブ,,4,3,インプレー,FALSE,,凡打,フライ,中,1,0,,K5
2025/9/20,1,裏,0,0,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,伊藤航太,左,チェンジ,,8,3,見送,FALSE,,,,,0,0,,
2025/9/20,1,裏,0,1,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,伊藤航太,左,ストレート,,1,0,ファール,FALSE,,,,,0,0,,
2025/9/20,1,裏,0,2,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,伊藤航太,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/20,1,裏,1,2,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,伊藤航太,左,ストレート,,1,1,インプレー,FALSE,,凡打,フライ,右,1,0,,R5
2025/9/20,1,裏,0,0,1,FALSE,FALSE,FALSE,野﨑勇一郎,右,久保誓真,右,ストレート,,7,1,見送,FALSE,,,,,0,0,,
2025/9/20,1,裏,0,1,1,FALSE,FALSE,FALSE,野﨑勇一郎,右,久保誓真,右,スライダー,,6,1,ファール,FALSE,,,,,0,0,,
2025/9/20,1,裏,0,2,1,FALSE,FALSE,FALSE,野﨑勇一郎,右,久保誓真,右,ストレート,,9,1,見送,FALSE,見三振,,,,1,0,,
2025/9/20,1,裏,0,0,2,FALSE,FALSE,FALSE,野﨑勇一郎,右,池邉由伸,左,ストレート,,4,3,見送,FALSE,,,,,0,0,,
2025/9/20,1,裏,0,1,2,FALSE,FALSE,FALSE,野﨑勇一郎,右,池邉由伸,左,チェンジ,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/20,1,裏,1,1,2,FALSE,FALSE,FALSE,野﨑勇一郎,右,池邉由伸,左,スライダー,,4,3,インプレー,FALSE,,単打,フライ,左,0,0,,I5
2025/9/20,1,裏,0,0,2,FALSE,TRUE,FALSE,野﨑勇一郎,右,髙松紳志,左,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/20,1,裏,1,0,2,FALSE,TRUE,FALSE,野﨑勇一郎,右,髙松紳志,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/20,1,裏,2,0,2,FALSE,TRUE,FALSE,野﨑勇一郎,右,髙松紳志,左,ストレート,,4,1,インプレー,FALSE,,凡打,ゴロ,一,1,0,,X2
2025/9/20,2,表,0,0,0,FALSE,FALSE,FALSE,藤川泰斗,左,山本翔士,左,スライダー,,13,3,空振,FALSE,,,,,0,0,,
2025/9/20,2,表,0,1,0,FALSE,FALSE,FALSE,藤川泰斗,左,山本翔士,左,スライダー,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/20,2,表,1,1,0,FALSE,FALSE,FALSE,藤川泰斗,左,山本翔士,左,ストレート,,11,1,空振,FALSE,,,,,0,0,,
2025/9/20,2,表,1,2,0,FALSE,FALSE,FALSE,藤川泰斗,左,山本翔士,左,ストレート,,12,3,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,H2
2025/9/20,2,表,0,0,1,FALSE,FALSE,FALSE,藤川泰斗,左,架谷　岳,右,ストレート,,5,1,ファール,FALSE,,,,,0,0,,
2025/9/20,2,表,0,1,1,FALSE,FALSE,FALSE,藤川泰斗,左,架谷　岳,右,ストレート,,5,1,インプレー,FALSE,,凡打,ゴロ,一,1,0,,X3
2025/9/20,2,表,0,0,2,FALSE,FALSE,FALSE,藤川泰斗,左,苅安　陸,右,ストレート,,6,1,ファール,FALSE,,,,,0,0,,
2025/9/20,2,表,0,1,2,FALSE,FALSE,FALSE,藤川泰斗,左,苅安　陸,右,ストレート,,2,1,インプレー,FALSE,,凡打,フライ,中,1,0,,Q4
2025/9/20,2,裏,0,0,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,細川叶人,右,カーブ,,11,1,ボール,FALSE,,,,,0,0,,
2025/9/20,2,裏,1,0,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,細川叶人,右,スライダー,,2,0,ファール,FALSE,,,,,0,0,,
2025/9/20,2,裏,1,1,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,細川叶人,右,チェンジ,,2,3,ファール,FALSE,,,,,0,0,,
2025/9/20,2,裏,1,2,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,細川叶人,右,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/9/20,2,裏,2,2,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,細川叶人,右,カーブ,,6,1,インプレー,FALSE,,凡打,フライ,中,1,0,,L6
2025/9/20,2,裏,0,0,1,FALSE,FALSE,FALSE,野﨑勇一郎,右,野口恭平,左,チェンジ,,2,3,ファール,FALSE,,,,,0,0,,
2025/9/20,2,裏,0,1,1,FALSE,FALSE,FALSE,野﨑勇一郎,右,野口恭平,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/20,2,裏,1,1,1,FALSE,FALSE,FALSE,野﨑勇一郎,右,野口恭平,左,ストレート,,2,1,インプレー,FALSE,,凡打,フライ,捕,1,0,,T1
2025/9/20,2,裏,0,0,2,FALSE,FALSE,FALSE,野﨑勇一郎,右,山田久敬,左,,,0,0,ボール,FALSE,,,,,0,0,,
2025/9/20,2,裏,1,0,2,FALSE,FALSE,FALSE,野﨑勇一郎,右,山田久敬,左,ストレート,,4,0,インプレー,FALSE,,三塁打,フライ,中,0,0,,Q7
2025/9/20,2,裏,0,0,2,FALSE,FALSE,TRUE,野﨑勇一郎,右,辻本匡登,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/20,2,裏,1,0,2,FALSE,FALSE,TRUE,野﨑勇一郎,右,辻本匡登,右,チェンジ,,3,3,ファール,FALSE,,,,,0,1,,E3
2025/9/20,2,裏,0,0,2,TRUE,FALSE,FALSE,野﨑勇一郎,右,小倉隆貴,左,チェンジ,,14,3,ボール,FALSE,,,,,0,0,,
2025/9/20,2,裏,1,0,2,FALSE,TRUE,FALSE,野﨑勇一郎,右,小倉隆貴,左,カーブ,,8,1,見送,FALSE,,,,,0,0,,
2025/9/20,2,裏,1,1,2,FALSE,TRUE,FALSE,野﨑勇一郎,右,小倉隆貴,左,ストレート,,5,1,インプレー,FALSE,,凡打,フライ,中,1,0,,O5
2025/9/20,3,表,0,0,0,FALSE,FALSE,FALSE,藤川泰斗,左,清水翔音,右,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/20,3,表,1,0,0,FALSE,FALSE,FALSE,藤川泰斗,左,清水翔音,右,ストレート,,13,3,インプレー,FALSE,,単打,ゴロ,中,0,0,,P3
2025/9/20,3,表,0,0,0,TRUE,FALSE,FALSE,藤川泰斗,左,東元龍成,右,ストレート,,6,1,ファール,FALSE,,,,,0,0,,
2025/9/20,3,表,0,1,0,TRUE,FALSE,FALSE,藤川泰斗,左,東元龍成,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/20,3,表,1,1,0,TRUE,FALSE,FALSE,藤川泰斗,左,東元龍成,右,,,0,1,牽制,FALSE,,,,,0,0,,
2025/9/20,3,表,1,1,0,TRUE,FALSE,FALSE,藤川泰斗,左,東元龍成,右,ストレート,,3,1,インプレー,FALSE,,犠打,ゴロ,投,1,0,,
2025/9/20,3,表,0,0,1,FALSE,TRUE,FALSE,藤川泰斗,左,西川晃成,右,ストレート,,4,1,ファール,FALSE,,,,,0,0,,
2025/9/20,3,表,0,1,1,FALSE,TRUE,FALSE,藤川泰斗,左,西川晃成,右,カーブ,,1,1,空振,FALSE,,,,,0,0,,
2025/9/20,3,表,0,2,1,FALSE,TRUE,FALSE,藤川泰斗,左,西川晃成,右,フォーク,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/20,3,表,1,2,1,FALSE,TRUE,FALSE,藤川泰斗,左,西川晃成,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/20,3,表,2,2,1,FALSE,TRUE,FALSE,藤川泰斗,左,西川晃成,右,ストレート,,6,1,ファール,FALSE,,,,,0,0,,
2025/9/20,3,表,2,2,1,FALSE,TRUE,FALSE,藤川泰斗,左,西川晃成,右,ストレート,,7,3,ファール,FALSE,,,,,0,0,,
2025/9/20,3,表,2,2,1,FALSE,TRUE,FALSE,藤川泰斗,左,西川晃成,右,,,0,1,牽制,FALSE,,,,,0,0,,
2025/9/20,3,表,2,2,1,FALSE,TRUE,FALSE,藤川泰斗,左,西川晃成,右,スライダー,,8,0,インプレー,FALSE,,凡打,ゴロ,三,1,0,,D2
2025/9/20,3,表,0,0,2,FALSE,TRUE,FALSE,藤川泰斗,左,中野心惇,右,チェンジ,,6,1,ファール,FALSE,,,,,0,0,,
2025/9/20,3,表,0,1,2,FALSE,TRUE,FALSE,藤川泰斗,左,中野心惇,右,ストレート,,12,1,空振,FALSE,,,,,0,0,,
2025/9/20,3,表,0,2,2,FALSE,TRUE,FALSE,藤川泰斗,左,中野心惇,右,チェンジ,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/20,3,表,1,2,2,FALSE,TRUE,FALSE,藤川泰斗,左,中野心惇,右,ストレート,,6,1,インプレー,FALSE,,凡打,フライ,右,1,0,,Y4
2025/9/20,3,裏,0,0,0,FALSE,FALSE,FALSE,野﨑勇一郎,右,伊藤航太,左,チェンジ,,1,0,インプレー,FALSE,,凡打,フライ,中,1,0,,I7
2025/9/20,3,裏,0,0,1,FALSE,FALSE,FALSE,野﨑勇一郎,右,久保誓真,右,ストレート,,5,1,インプレー,FALSE,,本塁打,フライ,左,0,1,,D7
2025/9/20,3,裏,0,0,1,FALSE,FALSE,FALSE,野﨑勇一郎,右,池邉由伸,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/20,3,裏,1,0,1,FALSE,FALSE,FALSE,野﨑勇一郎,右,池邉由伸,左,チェンジ,,13,3,ボール,FALSE,,,,,0,0,,
