Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/9/21,2,裏,0,0,0,FALSE,FALSE,FALSE,與　賢史朗,右,茂路晴実,左,カーブ,,4,3,空振,FALSE,,,,,0,0,,
2025/9/21,2,裏,0,1,0,FALSE,FALSE,FALSE,與　賢史朗,右,茂路晴実,左,カーブ,,8,2,ファール,FALSE,,,,,0,0,,
2025/9/21,2,裏,0,2,0,FALSE,FALSE,FALSE,與　賢史朗,右,茂路晴実,左,カーブ,,6,2,インプレー,FALSE,,凡打,フライ,一,1,0,,W2
2025/9/21,2,裏,0,0,1,FALSE,FALSE,FALSE,與　賢史朗,右,池田賢哉,右,カーブ,,5,2,見送,FALSE,,,,,0,0,,
2025/9/21,2,裏,0,1,1,FALSE,FALSE,FALSE,與　賢史朗,右,池田賢哉,右,カーブ,,9,1,見送,FALSE,,,,,0,0,,
2025/9/21,2,裏,0,2,1,FALSE,FALSE,FALSE,與　賢史朗,右,池田賢哉,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/21,2,裏,1,2,1,FALSE,FALSE,FALSE,與　賢史朗,右,池田賢哉,右,カーブ,,9,0,インプレー,FALSE,,単打,ゴロ,三,0,0,,F2
2025/9/21,2,裏,0,0,1,TRUE,FALSE,FALSE,與　賢史朗,右,田中允貴,右,ストレート,,11,2,ボール,FALSE,,,,,0,0,,
2025/9/21,2,裏,1,0,1,TRUE,FALSE,FALSE,與　賢史朗,右,田中允貴,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/21,2,裏,2,0,1,TRUE,FALSE,FALSE,與　賢史朗,右,田中允貴,右,ストレート,,2,1,ファール,FALSE,,,,,0,0,,
2025/9/21,2,裏,2,1,1,TRUE,FALSE,FALSE,與　賢史朗,右,田中允貴,右,ストレート,,8,2,見送,FALSE,,,,,0,0,,
2025/9/21,2,裏,2,2,1,TRUE,FALSE,FALSE,與　賢史朗,右,田中允貴,右,カーブ,,14,1,空振,FALSE,空三振,,,,1,0,,
2025/9/21,2,裏,0,0,2,FALSE,TRUE,FALSE,與　賢史朗,右,玉置丈一郎,右,カーブ,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/21,2,裏,1,0,2,FALSE,TRUE,FALSE,與　賢史朗,右,玉置丈一郎,右,ストレート,,6,1,空振,FALSE,,,,,0,0,,
2025/9/21,2,裏,1,1,2,FALSE,TRUE,FALSE,與　賢史朗,右,玉置丈一郎,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/21,2,裏,2,1,2,FALSE,TRUE,FALSE,與　賢史朗,右,玉置丈一郎,右,ストレート,,11,2,ボール,FALSE,,,,,0,0,,
2025/9/21,2,裏,3,1,2,FALSE,TRUE,FALSE,與　賢史朗,右,玉置丈一郎,右,カーブ,,6,1,見送,FALSE,,,,,0,0,,
2025/9/21,2,裏,3,2,2,FALSE,TRUE,FALSE,與　賢史朗,右,玉置丈一郎,右,カーブ,,9,1,ファール,FALSE,,,,,0,0,,
2025/9/21,2,裏,3,2,2,FALSE,TRUE,FALSE,與　賢史朗,右,玉置丈一郎,右,,,0,0,牽制,FALSE,,,,,1,0,,
2025/9/21,3,表,0,0,0,FALSE,FALSE,FALSE,石井海瑛,右,加藤遥人,右,カーブ,,5,2,見送,FALSE,,,,,0,0,,
2025/9/21,3,表,0,1,0,FALSE,FALSE,FALSE,石井海瑛,右,加藤遥人,右,ストレート,,2,0,インプレー,FALSE,,単打,ライナー,左,0,0,,E5
2025/9/21,3,表,0,0,0,TRUE,FALSE,FALSE,石井海瑛,右,久保田大成,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/21,3,表,1,0,0,TRUE,FALSE,FALSE,石井海瑛,右,久保田大成,右,ストレート,,5,2,見送,FALSE,,,,,0,0,,
