Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo
2025/9/30,1,表,1,1,0,TRUE,FALSE,FALSE,石井海瑛,右,前谷内琉斗,左,ストレート,,5,2,インプレー,FALSE,,犠打,ゴロ,投,1,0,,
2025/9/30,1,表,0,0,1,FALSE,TRUE,FALSE,石井海瑛,右,津澤泰成,左,カーブ,,7,3,見送,FALSE,,,,,0,0,,
2025/9/30,1,表,0,1,1,FALSE,TRUE,FALSE,石井海瑛,右,津澤泰成,左,ストレート,,8,2,インプレー,FALSE,,凡打,フライ,中,1,0,,N7
2025/9/30,1,表,0,0,2,FALSE,FALSE,TRUE,石井海瑛,右,山本翔士,左,ストレート,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/30,1,表,1,0,2,FALSE,FALSE,TRUE,石井海瑛,右,山本翔士,左,スライダー,,11,2,ボール,FALSE,,,,,0,0,,
2025/9/30,1,表,2,0,2,FALSE,FALSE,TRUE,石井海瑛,右,山本翔士,左,ストレート,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/30,1,表,3,0,2,FALSE,FALSE,TRUE,石井海瑛,右,山本翔士,左,ストレート,,13,3,ボール,FALSE,四球,,,,0,0,,
2025/9/30,1,表,0,0,2,TRUE,FALSE,TRUE,石井海瑛,右,架谷　岳,右,カーブ,,9,1,見送,FALSE,,,,,0,0,,
2025/9/30,1,表,0,1,2,TRUE,FALSE,TRUE,石井海瑛,右,架谷　岳,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/30,1,表,1,1,2,TRUE,FALSE,TRUE,石井海瑛,右,架谷　岳,右,ストレート,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/30,1,表,2,1,2,TRUE,FALSE,TRUE,石井海瑛,右,架谷　岳,右,カーブ,,6,1,見送,FALSE,,,,,0,0,,
2025/9/30,1,表,2,2,2,TRUE,FALSE,TRUE,石井海瑛,右,架谷　岳,右,スライダー,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/30,1,表,3,2,2,TRUE,FALSE,TRUE,石井海瑛,右,架谷　岳,右,ストレート,,9,1,インプレー,FALSE,,凡打,ゴロ,遊,1,0,,L3
2025/9/30,1,裏,0,0,0,FALSE,FALSE,FALSE,玉村凌大,右,須澤愛也,右,スライダー,,13,3,ボール,FALSE,,,,,0,0,,
2025/9/30,1,裏,1,0,0,FALSE,FALSE,FALSE,玉村凌大,右,須澤愛也,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/30,1,裏,2,0,0,FALSE,FALSE,FALSE,玉村凌大,右,須澤愛也,右,スライダー,,14,1,空振,FALSE,,,,,0,0,,
2025/9/30,1,裏,2,1,0,FALSE,FALSE,FALSE,玉村凌大,右,須澤愛也,右,カーブ,,14,2,ボール,FALSE,,,,,0,0,,
2025/9/30,1,裏,3,1,0,FALSE,FALSE,FALSE,玉村凌大,右,須澤愛也,右,ストレート,,1,2,ファール,FALSE,,,,,0,0,,
2025/9/30,1,裏,3,2,0,FALSE,FALSE,FALSE,玉村凌大,右,須澤愛也,右,ストレート,,6,1,インプレー,FALSE,,凡打,ゴロ,一,1,0,,X2
2025/9/30,1,裏,0,0,1,FALSE,FALSE,FALSE,玉村凌大,右,伊藤悠成,左,ストレート,,4,3,見送,FALSE,,,,,0,0,,
2025/9/30,1,裏,0,1,1,FALSE,FALSE,FALSE,玉村凌大,右,伊藤悠成,左,ストレート,,7,3,見送,FALSE,,,,,0,0,,
2025/9/30,1,裏,0,2,1,FALSE,FALSE,FALSE,玉村凌大,右,伊藤悠成,左,スライダー,,11,3,ボール,FALSE,,,,,0,0,,
2025/9/30,1,裏,1,2,1,FALSE,FALSE,FALSE,玉村凌大,右,伊藤悠成,左,ストレート,,2,2,インプレー,FALSE,,凡打,ゴロ,一,1,0,,W2
2025/9/30,1,裏,0,0,2,FALSE,FALSE,FALSE,玉村凌大,右,鈴野愁馬,右,ストレート,,5,2,見送,FALSE,,,,,0,0,,
2025/9/30,1,裏,0,1,2,FALSE,FALSE,FALSE,玉村凌大,右,鈴野愁馬,右,カーブ,,13,1,ボール,FALSE,,,,,0,0,,
2025/9/30,1,裏,1,1,2,FALSE,FALSE,FALSE,玉村凌大,右,鈴野愁馬,右,カーブ,,13,2,ボール,FALSE,,,,,0,0,,
2025/9/30,1,裏,2,1,2,FALSE,FALSE,FALSE,玉村凌大,右,鈴野愁馬,右,ストレート,,9,0,インプレー,FALSE,,凡打,ゴロ,二,1,0,,S2
2025/9/30,2,表,0,0,0,FALSE,FALSE,FALSE,石井海瑛,右,苅安　陸,右,カーブ,,4,2,ファール,FALSE,,,,,0,0,,
2025/9/30,2,表,0,1,0,FALSE,FALSE,FALSE,石井海瑛,右,苅安　陸,右,ストレート,,11,1,ボール,FALSE,,,,,0,0,,
2025/9/30,2,表,1,1,0,FALSE,FALSE,FALSE,石井海瑛,右,苅安　陸,右,ストレート,,9,1,ファール,FALSE,,,,,0,0,,
2025/9/30,2,表,1,2,0,FALSE,FALSE,FALSE,石井海瑛,右,苅安　陸,右,ストレート,,8,2,空振,FALSE,空三振,,,,1,0,,
2025/9/30,2,表,0,0,1,FALSE,FALSE,FALSE,石井海瑛,右,清水翔音,右,ストレート,,9,2,インプレー,FALSE,,凡打,フライ,右,1,0,,T5
2025/9/30,2,表,0,0,2,FALSE,FALSE,FALSE,石井海瑛,右,東元龍成,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/30,2,表,1,0,2,FALSE,FALSE,FALSE,石井海瑛,右,東元龍成,右,ストレート,,8,2,インプレー,FALSE,,単打,ライナー,中,0,0,,P4
2025/9/30,2,表,0,0,2,TRUE,FALSE,FALSE,石井海瑛,右,西川晃成,右,ストレート,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/30,2,表,1,0,2,TRUE,FALSE,FALSE,石井海瑛,右,西川晃成,右,カーブ,,6,1,見送,FALSE,,,,,0,0,,
2025/9/30,2,表,1,1,2,TRUE,FALSE,FALSE,石井海瑛,右,西川晃成,右,スライダー,,12,1,ボール,FALSE,,,,,0,0,,
2025/9/30,2,表,2,1,2,TRUE,FALSE,FALSE,石井海瑛,右,西川晃成,右,ストレート,,6,1,見送,FALSE,,,,,0,0,,
2025/9/30,2,表,2,2,2,TRUE,FALSE,FALSE,石井海瑛,右,西川晃成,右,ストレート,,5,1,ファール,FALSE,,,,,0,0,,
2025/9/30,2,表,2,2,2,TRUE,FALSE,FALSE,石井海瑛,右,西川晃成,右,ストレート,,14,1,ファール,FALSE,,,,,0,0,,
2025/9/30,2,表,2,2,2,TRUE,FALSE,FALSE,石井海瑛,右,西川晃成,右,ストレート,,4,0,インプレー,FALSE,,凡打,フライ,左,1,0,,H5
2025/9/30,2,裏,0,0,0,FALSE,FALSE,FALSE,玉村凌大,右,井上幹太(国際),右,ストレート,,6,1,見送,FALSE,,,,,0,0,,
2025/9/30,2,裏,0,1,0,FALSE,FALSE,FALSE,玉村凌大,右,井上幹太(国際),右,カーブ,,14,1,ボール,FALSE,,,,,0,0,,
2025/9/30,2,裏,1,1,0,FALSE,FALSE,FALSE,玉村凌大,右,井上幹太(国際),右,ストレート,,6,1,ファール,FALSE,,,,,0,0,,
2025/9/30,2,裏,1,2,0,FALSE,FALSE,FALSE,玉村凌大,右,井上幹太(国際),右,カーブ,,5,1,空振,FALSE,空三振,,,,1,0,,
