Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,UncaughtThirdStrike,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Timestamp,Memo,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2025/10/4,1,表,0,0,0,-,-,-,藤川泰斗,福井工業大学,左,久保田大成,北陸大学,右,ストレート,,1,内角,インプレー,1,1,1,0,1,,-,アウト,フライ,左翼手,1,0,0,0,G4
2025/10/4,1,表,0,0,1,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,ストレート,,12,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,1,表,0,1,1,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,ストレート,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,0,2,1,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,1,2,1,-,-,-,藤川泰斗,福井工業大学,左,唐澤 旬,北陸大学,左,スライダー,,1,外角,見逃し,1,1,1,0,0,見逃し三振,-,,,,1,0,0,0,
2025/10/4,1,表,0,0,2,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,1,0,2,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,ストレート,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2025/10/4,1,表,1,1,2,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,ストレート,,7,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,1,2,2,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,スライダー,,12,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2025/10/4,1,表,2,2,2,-,-,-,藤川泰斗,福井工業大学,左,沢出絃徳,北陸大学,左,ストレート,,5,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
