Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2025/10/4,1,表,0,0,0,-,-,-,石井海瑛,右,山本優人,右,スライダー,,9,,見逃し,,,,,0,0,
2025/10/4,1,表,0,1,0,-,-,-,石井海瑛,右,山本優人,右,ストレート,,6,,見逃し,,,,,0,0,
2025/10/4,1,表,0,2,0,-,-,-,石井海瑛,右,山本優人,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/4,1,表,1,2,0,-,-,-,石井海瑛,右,山本優人,右,カーブ,,14,,空振り,空振り三振,,,,1,0,
2025/10/4,1,表,0,0,1,-,-,-,石井海瑛,右,山本悠真,右,スライダー,,9,,見逃し,,,,,0,0,
2025/10/4,1,表,0,1,1,-,-,-,石井海瑛,右,山本悠真,右,ストレート,,3,,見逃し,,,,,0,0,
2025/10/4,1,表,0,2,1,-,-,-,石井海瑛,右,山本悠真,右,カーブ,,3,,インプレー,,アウト,ゴロ,一塁手,1,0,
2025/10/4,1,表,0,0,2,-,-,-,石井海瑛,右,竹田龍汰,右,ストレート,,5,,見逃し,,,,,0,0,
2025/10/4,1,表,0,1,2,-,-,-,石井海瑛,右,竹田龍汰,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/4,1,表,1,1,2,-,-,-,石井海瑛,右,竹田龍汰,右,スライダー,,9,外角,ファウル,,,,,0,0,
2025/10/4,1,表,1,2,2,-,-,-,石井海瑛,右,竹田龍汰,右,ストレート,,11,,ボール,,,,,0,0,
2025/10/4,1,表,2,2,2,-,-,-,石井海瑛,右,竹田龍汰,右,スライダー,,9,,ファウル,,,,,0,0,
2025/10/4,1,表,2,2,2,-,-,-,石井海瑛,右,竹田龍汰,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/4,1,表,3,2,2,-,-,-,石井海瑛,右,竹田龍汰,右,ストレート,,12,,インプレー,,単打,フライ,一塁手,0,0,
2025/10/4,1,表,0,0,2,○,-,-,石井海瑛,右,加納誠琉,右,ストレート,,3,,インプレー,,単打,ゴロ,遊撃手,0,0,
2025/10/4,1,表,0,0,2,○,○,-,石井海瑛,右,越野虎次郎,右,ストレート,,6,,見逃し,,,,,0,0,
2025/10/4,1,表,0,1,2,○,○,-,石井海瑛,右,越野虎次郎,右,スライダー,,14,,ボール,,,,,0,0,
2025/10/4,1,表,1,1,2,○,○,-,石井海瑛,右,越野虎次郎,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/4,1,表,2,1,2,○,○,-,石井海瑛,右,越野虎次郎,右,,,,,牽制,,,,,1,0,
2025/10/4,1,裏,0,0,0,-,-,-,山田恭吾,右,須澤愛也,右,スライダー,,9,,インプレー,,単打,フライ,右翼手,0,0,
2025/10/4,1,裏,0,0,0,○,-,-,山田恭吾,右,伊藤悠成,左,ストレート,,7,,見逃し,,,,,0,0,
2025/10/4,1,裏,0,1,0,○,-,-,山田恭吾,右,伊藤悠成,左,ストレート,,3,,ファウル,,,,,0,0,
2025/10/4,1,裏,0,2,0,○,-,-,山田恭吾,右,伊藤悠成,左,,,,,牽制,,,,,0,0,
2025/10/4,1,裏,0,2,0,○,-,-,山田恭吾,右,伊藤悠成,左,ストレート,,14,,ボール,,,,,0,0,
2025/10/4,1,裏,1,2,0,○,-,-,山田恭吾,右,伊藤悠成,左,スライダー,,14,,ボール,,,,,0,0,
2025/10/4,1,裏,2,2,0,○,-,-,山田恭吾,右,伊藤悠成,左,ストレート,,12,,インプレー,,単打,フライ,中堅手,0,0,
2025/10/4,1,裏,0,0,0,○,○,-,山田恭吾,右,鈴野愁馬,右,スライダー,,6,,ファウル,,,,,0,0,
2025/10/4,1,裏,0,1,0,○,○,-,山田恭吾,右,鈴野愁馬,右,スライダー,,14,,ボール,,,,,0,0,
2025/10/4,1,裏,1,1,0,○,○,-,山田恭吾,右,鈴野愁馬,右,ストレート,,11,,ボール,,,,,0,0,
2025/10/4,1,裏,2,1,0,○,○,-,山田恭吾,右,鈴野愁馬,右,ストレート,,13,,ボール,,,,,0,0,
2025/10/4,1,裏,3,1,0,○,○,-,山田恭吾,右,鈴野愁馬,右,フォーク,,14,,ボール,四球,,,,0,0,
2025/10/4,1,裏,0,0,0,○,○,○,山田恭吾,右,井上幹太,右,ストレート,,9,,見逃し,,,,,0,0,
2025/10/4,1,裏,0,1,0,○,○,○,山田恭吾,右,井上幹太,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/4,1,裏,1,1,0,○,○,○,山田恭吾,右,井上幹太,右,スライダー,,14,,空振り,,,,,0,0,
2025/10/4,1,裏,1,2,0,○,○,○,山田恭吾,右,井上幹太,右,スライダー,,14,,空振り,空振り三振,,,,1,0,
2025/10/4,1,裏,0,0,1,○,○,○,山田恭吾,右,茂路晴実,左,スライダー,,13,,ボール,,,,,0,0,
2025/10/4,1,裏,1,0,1,○,○,○,山田恭吾,右,茂路晴実,左,ストレート,,6,,空振り,,,,,0,0,
2025/10/4,1,裏,1,1,1,○,○,○,山田恭吾,右,茂路晴実,左,スライダー,,7,,インプレー,,アウト,ゴロ,一塁手,1,0,
2025/10/4,1,裏,0,0,2,○,○,○,山田恭吾,右,池田賢哉,右,ストレート,,12,,ボール,,,,,0,0,
2025/10/4,1,裏,1,0,2,○,○,○,山田恭吾,右,池田賢哉,右,ストレート,,2,,ファウル,,,,,0,0,
2025/10/4,1,裏,1,1,2,○,○,○,山田恭吾,右,池田賢哉,右,ストレート,,11,,死球,,,,,0,1,
2025/10/4,1,裏,0,0,2,○,○,○,山田恭吾,右,田中允貴,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/4,1,裏,1,0,2,○,○,○,山田恭吾,右,田中允貴,右,ストレート,,4,,ファウル,,,,,0,0,
2025/10/4,1,裏,1,1,2,○,○,○,山田恭吾,右,田中允貴,右,ストレート,,11,,インプレー,,アウト,フライ,二塁手,1,0,
2025/10/4,2,表,0,0,0,-,-,-,石井海瑛,右,越野虎次郎,右,チェンジアップ,,6,,ファウル,,,,,0,0,
2025/10/4,2,表,0,1,0,-,-,-,石井海瑛,右,越野虎次郎,右,カーブ,,12,,ボール,,,,,0,0,
2025/10/4,2,表,1,1,0,-,-,-,石井海瑛,右,越野虎次郎,右,スライダー,,12,,インプレー,,アウト,フライ,二塁手,1,0,
2025/10/4,2,表,0,0,1,-,-,-,石井海瑛,右,鍛冶陽斗,右,ストレート,,9,,見逃し,,,,,0,0,
2025/10/4,2,表,0,1,1,-,-,-,石井海瑛,右,鍛冶陽斗,右,ストレート,,9,,見逃し,,,,,0,0,
2025/10/4,2,表,0,2,1,-,-,-,石井海瑛,右,鍛冶陽斗,右,ストレート,,14,,ファウル,,,,,0,0,
2025/10/4,2,表,0,2,1,-,-,-,石井海瑛,右,鍛冶陽斗,右,ストレート,,11,,ボール,,,,,0,0,
2025/10/4,2,表,1,2,1,-,-,-,石井海瑛,右,鍛冶陽斗,右,ストレート,,12,,ボール,,,,,0,0,
2025/10/4,2,表,2,2,1,-,-,-,石井海瑛,右,鍛冶陽斗,右,ストレート,,6,,インプレー,,単打,ゴロ,中堅手,0,0,
2025/10/4,2,表,0,0,1,○,-,-,石井海瑛,右,平澤秀太,右,,,,,牽制,,,,,0,0,
2025/10/4,2,表,0,0,1,○,-,-,石井海瑛,右,平澤秀太,右,ストレート,,7,,見逃し,,,,,0,0,
2025/10/4,2,表,0,1,1,○,-,-,石井海瑛,右,平澤秀太,右,チェンジアップ,,3,,インプレー,,二塁打,フライ,左翼手,0,0,
2025/10/4,2,表,0,0,1,-,○,○,石井海瑛,右,淀川理久,左,スライダー,,7,,ファウル,,,,,0,0,
2025/10/4,2,表,0,1,1,-,○,○,石井海瑛,右,淀川理久,左,ストレート,,14,,ボール,,,,,0,0,
2025/10/4,2,表,1,1,1,-,○,○,石井海瑛,右,淀川理久,左,スライダー,,14,,ボール,,,,,0,0,
2025/10/4,2,表,2,1,1,-,○,○,石井海瑛,右,淀川理久,左,ストレート,,3,,インプレー,,アウト,フライ,捕手,1,0,
2025/10/4,2,表,0,0,2,-,○,○,石井海瑛,右,渡辺健太郎,右,ストレート,,9,,見逃し,,,,,0,0,
2025/10/4,2,表,0,1,2,-,○,○,石井海瑛,右,渡辺健太郎,右,ストレート,,3,,見逃し,,,,,0,0,
2025/10/4,2,表,0,2,2,-,○,○,石井海瑛,右,渡辺健太郎,右,スライダー,,14,,空振り,空振り三振,,,,1,0,
2025/10/4,2,裏,0,0,0,-,-,-,山田恭吾,右,玉置丈一郎,右,スライダー,,14,,ボール,,,,,0,0,
2025/10/4,2,裏,1,0,0,-,-,-,山田恭吾,右,玉置丈一郎,右,,,14,,ボール,,,,,0,0,
2025/10/4,2,裏,2,0,0,-,-,-,山田恭吾,右,玉置丈一郎,右,ストレート,,4,,空振り,,,,,0,0,
2025/10/4,2,裏,2,1,0,-,-,-,山田恭吾,右,玉置丈一郎,右,ストレート,,13,,ボール,,,,,0,0,
2025/10/4,2,裏,3,1,0,-,-,-,山田恭吾,右,玉置丈一郎,右,ストレート,,3,,ファウル,,,,,0,0,
2025/10/4,2,裏,3,2,0,-,-,-,山田恭吾,右,玉置丈一郎,右,ストレート,,4,,ファウル,,,,,0,0,
2025/10/4,2,裏,3,2,0,-,-,-,山田恭吾,右,玉置丈一郎,右,ストレート,,9,,見逃し,見逃し三振,,,,1,0,
2025/10/4,2,裏,0,0,1,-,-,-,山田恭吾,右,佐野淳之介,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/4,2,裏,1,0,1,-,-,-,山田恭吾,右,佐野淳之介,右,ストレート,,3,,ファウル,,,,,0,0,
2025/10/4,2,裏,1,1,1,-,-,-,山田恭吾,右,佐野淳之介,右,ストレート,,12,,インプレー,,アウト,ゴロ,二塁手,1,0,
2025/10/4,2,裏,0,0,2,-,-,-,山田恭吾,右,須澤愛也,右,ストレート,,6,,見逃し,,,,,0,0,
2025/10/4,2,裏,0,1,2,-,-,-,山田恭吾,右,須澤愛也,右,ストレート,,3,,見逃し,,,,,0,0,
2025/10/4,2,裏,0,2,2,-,-,-,山田恭吾,右,須澤愛也,右,スライダー,,14,,ファウル,,,,,0,0,
2025/10/4,2,裏,0,2,2,-,-,-,山田恭吾,右,須澤愛也,右,スライダー,,1,,ファウル,,,,,0,0,
2025/10/4,2,裏,0,2,2,-,-,-,山田恭吾,右,須澤愛也,右,ストレート,,12,,ファウル,,,,,0,0,
2025/10/4,2,裏,0,2,2,-,-,-,山田恭吾,右,須澤愛也,右,ストレート,,14,,インプレー,,アウト,ゴロ,投手,1,0,
2025/10/4,3,表,0,0,0,-,-,-,石井海瑛,右,山本優人,右,カーブ,,5,外角,インプレー,,アウト,フライ,二塁手,1,0,
2025/10/4,3,表,1,0,0,-,-,-,石井海瑛,右,山本悠真,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/4,3,表,1,0,0,-,-,-,石井海瑛,右,山本悠真,右,チェンジアップ,,14,内角,ボール,,,,,0,0,
2025/10/4,3,表,2,1,0,-,-,-,石井海瑛,右,山本悠真,右,スライダー,,6,外角,インプレー,,アウト,フライ,二塁手,1,0,
