Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2025/10/5,1,表,0,0,0,-,-,-,玉村凌大,右,山川悟輝,左,ストレート,,7,外角,見逃し,,,,,0,0,
2025/10/5,1,表,0,1,0,-,-,-,玉村凌大,右,山川悟輝,左,ストレート,,1,真ん中,インプレー,,アウト,ゴロ,三塁手,1,0,D2
2025/10/5,1,表,0,0,1,-,-,-,玉村凌大,右,川合錬磨,右,ストレート,,6,外角,見逃し,,,,,0,0,
2025/10/5,1,表,0,1,1,-,-,-,玉村凌大,右,川合錬磨,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/5,1,表,1,1,1,-,-,-,玉村凌大,右,川合錬磨,右,ストレート,,9,外角,見逃し,,,,,0,0,
2025/10/5,1,表,1,2,1,-,-,-,玉村凌大,右,川合錬磨,右,チェンジアップ,,13,真ん中,空振り,空振り三振,,,,1,0,
2025/10/5,1,表,0,0,2,-,-,-,玉村凌大,右,新田恭也,左,スライダー,,13,,ボール,,,,,0,0,
2025/10/5,1,表,1,0,2,-,-,-,玉村凌大,右,新田恭也,左,ストレート,,1,外角,インプレー,,アウト,フライ,左翼手,1,0,G6
2025/10/5,1,裏,0,0,0,-,-,-,水谷光希,右,中野心惇,右,ストレート,,14,真ん中,ボール,,,,,0,0,
2025/10/5,1,裏,1,0,0,-,-,-,水谷光希,右,中野心惇,右,ストレート,,14,真ん中,ボール,,,,,0,0,
2025/10/5,1,裏,2,0,0,-,-,-,水谷光希,右,中野心惇,右,スライダー,,7,真ん中,見逃し,,,,,0,0,
2025/10/5,1,裏,2,1,0,-,-,-,水谷光希,右,中野心惇,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/5,1,裏,3,1,0,-,-,-,水谷光希,右,中野心惇,右,ストレート,,7,内角,見逃し,,,,,0,0,
2025/10/5,1,裏,3,2,0,-,-,-,水谷光希,右,中野心惇,右,ストレート,,14,真ん中,ボール,四球,,,,0,0,
2025/10/5,1,裏,0,0,0,○,-,-,水谷光希,右,前谷内琉斗,左,ストレート,,9,真ん中,見逃し,,,,,0,0,
2025/10/5,1,裏,0,1,0,○,-,-,水谷光希,右,前谷内琉斗,左,ストレート,,2,真ん中,ボール,,,,,1,0,
2025/10/5,1,裏,1,1,1,○,-,-,水谷光希,右,前谷内琉斗,左,ストレート,,13,外角,ボール,,,,,0,0,
2025/10/5,1,裏,2,1,1,-,-,-,水谷光希,右,前谷内琉斗,左,ストレート,,1,真ん中,ファウル,,,,,0,0,
2025/10/5,1,裏,2,2,1,-,-,-,水谷光希,右,前谷内琉斗,左,スライダー,,4,真ん中,ファウル,,,,,0,0,
2025/10/5,1,裏,2,2,1,-,-,-,水谷光希,右,前谷内琉斗,左,スライダー,,14,真ん中,ボール,,,,,0,0,
2025/10/5,1,裏,3,2,1,-,-,-,水谷光希,右,前谷内琉斗,左,ストレート,,7,真ん中,ファウル,,,,,0,0,
2025/10/5,1,裏,3,2,1,-,-,-,水谷光希,右,前谷内琉斗,左,ストレート,,14,真ん中,ボール,四球,,,,0,0,
2025/10/5,1,裏,0,0,1,○,-,-,水谷光希,右,津澤泰成,左,ストレート,,13,真ん中,ボール,,,,,0,0,
2025/10/5,1,裏,1,0,1,○,-,-,水谷光希,右,津澤泰成,左,ストレート,,11,真ん中,ファウル,,,,,0,0,
2025/10/5,1,裏,1,1,1,○,-,-,水谷光希,右,津澤泰成,左,フォーク,,14,内角,ボール,,,,,0,0,
2025/10/5,1,裏,2,1,1,○,-,-,水谷光希,右,津澤泰成,左,ストレート,,14,真ん中,ボール,,,,,0,0,
2025/10/5,1,裏,3,1,1,○,-,-,水谷光希,右,津澤泰成,左,ストレート,,8,真ん中,ファウル,,,,,0,0,
2025/10/5,1,裏,3,2,1,○,-,-,水谷光希,右,津澤泰成,左,ストレート,,3,真ん中,インプレー,,アウト,フライ,一塁手,1,0,Y2
2025/10/5,1,裏,0,0,2,○,-,-,水谷光希,右,山本翔士,左,スライダー,,6,真ん中,ファウル,,,,,0,0,
2025/10/5,1,裏,0,1,2,○,-,-,水谷光希,右,山本翔士,左,ストレート,,4,外角,見逃し,,,,,0,0,
2025/10/5,1,裏,0,2,2,○,-,-,水谷光希,右,山本翔士,左,ストレート,,13,外角,ボール,,,,,0,0,
2025/10/5,1,裏,1,2,2,○,-,-,水谷光希,右,山本翔士,左,ストレート,,11,外角,ボール,,,,,0,0,
2025/10/5,1,裏,2,2,2,○,-,-,水谷光希,右,山本翔士,左,フォーク,,8,真ん中,インプレー,,アウト,フライ,左翼手,1,0,C4
2025/10/5,2,表,0,0,0,-,-,-,玉村凌大,右,角尾頼尊,右,スライダー,,8,真ん中,見逃し,,,,,0,0,
2025/10/5,2,表,0,1,0,-,-,-,玉村凌大,右,角尾頼尊,右,スライダー,,13,真ん中,ボール,,,,,0,0,
2025/10/5,2,表,1,1,0,-,-,-,玉村凌大,右,角尾頼尊,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/5,2,表,2,1,0,-,-,-,玉村凌大,右,角尾頼尊,右,スライダー,,6,真ん中,インプレー,,アウト,フライ,中堅手,1,0,M6
2025/10/5,2,表,0,0,1,-,-,-,玉村凌大,右,南 早羽己,左,ストレート,,9,真ん中,見逃し,,,,,0,0,
2025/10/5,2,表,0,1,1,-,-,-,玉村凌大,右,南 早羽己,左,ストレート,,1,真ん中,インプレー,,アウト,ゴロ,遊撃手,1,0,H3
2025/10/5,2,表,0,0,2,-,-,-,玉村凌大,右,岸田脩汰,右,スライダー,,14,外角,ボール,,,,,0,0,
2025/10/5,2,表,1,0,2,-,-,-,玉村凌大,右,岸田脩汰,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/5,2,表,2,0,2,-,-,-,玉村凌大,右,岸田脩汰,右,ストレート,,6,外角,ファウル,,,,,0,0,
2025/10/5,2,表,2,1,2,-,-,-,玉村凌大,右,岸田脩汰,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/5,2,表,3,1,2,-,-,-,玉村凌大,右,岸田脩汰,右,ストレート,,9,真ん中,ファウル,,,,,0,0,
2025/10/5,2,表,3,2,2,-,-,-,玉村凌大,右,岸田脩汰,右,ストレート,,6,真ん中,ファウル,,,,,0,0,
2025/10/5,2,表,3,2,2,-,-,-,玉村凌大,右,岸田脩汰,右,スライダー,,14,外角,空振り,空振り三振,,,,1,0,
2025/10/5,2,裏,0,0,0,-,-,-,水谷光希,右,架谷 岳,右,フォーク,,7,真ん中,見逃し,,,,,0,0,
2025/10/5,2,裏,0,1,0,-,-,-,水谷光希,右,架谷 岳,右,ストレート,,14,真ん中,ボール,,,,,0,0,
2025/10/5,2,裏,1,1,0,-,-,-,水谷光希,右,架谷 岳,右,スライダー,,14,外角,ボール,,,,,0,0,
2025/10/5,2,裏,2,1,0,-,-,-,水谷光希,右,架谷 岳,右,フォーク,,13,真ん中,空振り,,,,,0,0,
2025/10/5,2,裏,2,2,0,-,-,-,水谷光希,右,架谷 岳,右,ストレート,,9,外角,空振り,空振り三振,,,,1,0,
2025/10/5,2,裏,0,0,1,-,-,-,水谷光希,右,苅安 陸,右,ストレート,,8,真ん中,見逃し,,,,,0,0,
2025/10/5,2,裏,0,1,1,-,-,-,水谷光希,右,苅安 陸,右,ストレート,,6,外角,見逃し,,,,,0,0,
2025/10/5,2,裏,0,2,1,-,-,-,水谷光希,右,苅安 陸,右,ストレート,,9,外角,ファウル,,,,,0,0,
2025/10/5,2,裏,0,2,1,-,-,-,水谷光希,右,苅安 陸,右,スライダー,,14,外角,ボール,,,,,0,0,
2025/10/5,2,裏,1,2,1,-,-,-,水谷光希,右,苅安 陸,右,スライダー,,9,,インプレー,,アウト,ゴロ,投手,1,0,M2
2025/10/5,2,裏,0,0,2,-,-,-,水谷光希,右,清水翔音,右,フォーク,,14,外角,ボール,,,,,0,0,
2025/10/5,2,裏,1,0,2,-,-,-,水谷光希,右,清水翔音,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/5,2,裏,2,0,2,-,-,-,水谷光希,右,清水翔音,右,スライダー,,9,外角,見逃し,,,,,0,0,
2025/10/5,2,裏,2,1,2,-,-,-,水谷光希,右,清水翔音,右,ストレート,,7,真ん中,インプレー,,アウト,フライ,中堅手,1,0,P6
2025/10/5,3,表,0,0,0,-,-,-,玉村凌大,右,今岡歩夢,左,ストレート,,8,真ん中,ファウル,,,,,0,0,
2025/10/5,3,表,0,1,0,-,-,-,玉村凌大,右,今岡歩夢,左,カーブ,,13,外角,ボール,,,,,0,0,
2025/10/5,3,表,1,1,0,-,-,-,玉村凌大,右,今岡歩夢,左,スライダー,,7,真ん中,インプレー,,アウト,フライ,左翼手,1,0,H6
2025/10/5,3,表,0,0,1,-,-,-,玉村凌大,右,三島袈夢,左,ストレート,,12,真ん中,空振り,,,,,0,0,
2025/10/5,3,表,0,1,1,-,-,-,玉村凌大,右,三島袈夢,左,ストレート,,11,外角,ボール,,,,,0,0,
2025/10/5,3,表,1,1,1,-,-,-,玉村凌大,右,三島袈夢,左,ストレート,,13,外角,ボール,,,,,0,0,
2025/10/5,3,表,2,1,1,-,-,-,玉村凌大,右,三島袈夢,左,ストレート,,14,内角,ボール,,,,,0,0,
2025/10/5,3,表,3,1,1,-,-,-,玉村凌大,右,三島袈夢,左,ストレート,,13,外角,ボール,四球,,,,0,0,
2025/10/5,3,表,0,0,1,○,-,-,玉村凌大,右,張田 大,左,スライダー,,8,真ん中,見逃し,,,,,0,0,
2025/10/5,3,表,0,1,1,-,○,-,玉村凌大,右,張田 大,左,ストレート,,6,真ん中,見逃し,,,,,0,0,
2025/10/5,3,表,0,2,1,-,○,-,玉村凌大,右,張田 大,左,ストレート,,13,,ファウル,,,,,0,0,
2025/10/5,3,表,0,2,1,-,○,-,玉村凌大,右,張田 大,左,スライダー,,13,真ん中,ボール,,,,,0,0,
2025/10/5,3,表,1,2,1,-,○,-,玉村凌大,右,張田 大,左,,,,,牽制,,,,,0,0,
2025/10/5,3,表,1,2,1,-,○,-,玉村凌大,右,張田 大,左,ストレート,,13,真ん中,ボール,,,,,0,0,
2025/10/5,3,表,2,2,1,-,○,-,玉村凌大,右,張田 大,左,フォーク,,14,内角,ボール,,,,,0,0,
2025/10/5,3,表,3,2,1,-,○,-,玉村凌大,右,張田 大,左,ストレート,,3,内角,インプレー,,アウト,フライ,右翼手,1,0,U4
2025/10/5,3,表,0,0,2,-,○,-,玉村凌大,右,山川悟輝,左,スライダー,,9,内角,見逃し,,,,,0,0,
2025/10/5,3,表,0,1,2,-,○,-,玉村凌大,右,山川悟輝,左,ストレート,,11,外角,ボール,,,,,0,0,
2025/10/5,3,表,1,1,2,-,○,-,玉村凌大,右,山川悟輝,左,ストレート,,12,内角,ボール,,,,,0,0,
2025/10/5,3,表,2,1,2,-,○,-,玉村凌大,右,山川悟輝,左,スライダー,,14,真ん中,ボール,,,,,0,0,
2025/10/5,3,表,3,1,2,-,-,○,玉村凌大,右,山川悟輝,左,スライダー,,,,死球,,,,,0,0,
2025/10/5,3,表,0,0,2,○,-,○,玉村凌大,右,川合錬磨,右,ストレート,,11,真ん中,ボール,,,,,0,0,
2025/10/5,3,表,1,0,2,○,-,○,玉村凌大,右,川合錬磨,右,ストレート,,7,真ん中,インプレー,,アウト,フライ,左翼手,1,0,G5
2025/10/5,3,裏,0,0,0,-,-,-,水谷光希,右,東元龍成,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/5,3,裏,1,0,0,-,-,-,水谷光希,右,東元龍成,右,ストレート,,13,真ん中,ボール,,,,,0,0,
2025/10/5,3,裏,2,0,0,-,-,-,水谷光希,右,東元龍成,右,ストレート,,8,真ん中,見逃し,,,,,0,0,
