Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2025/10/10,1,表,0,0,0,-,-,-,野﨑勇一郎,右,山本優人,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/10,1,表,1,0,0,-,-,-,野﨑勇一郎,右,山本優人,右,チェンジアップ,,6,外角,見逃し,,,,,0,0,
2025/10/10,1,表,1,1,0,-,-,-,野﨑勇一郎,右,山本優人,右,ストレート,,9,外角,見逃し,,,,,0,0,
2025/10/10,1,表,1,2,0,-,-,-,野﨑勇一郎,右,山本優人,右,スライダー,,9,外角,インプレー,,アウト,フライ,一塁手,1,0,
2025/10/10,1,表,0,0,1,-,-,-,野﨑勇一郎,右,山本悠真,右,スライダー,,6,外角,ファウル,,,,,0,0,
2025/10/10,1,表,0,1,1,-,-,-,野﨑勇一郎,右,山本悠真,右,ストレート,,6,外角,インプレー,,アウト,ゴロ,遊撃手,1,0,
2025/10/10,1,表,0,0,2,-,-,-,野﨑勇一郎,右,竹田龍汰,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/10,1,表,1,0,2,-,-,-,野﨑勇一郎,右,竹田龍汰,右,スライダー,,2,外角,ファウル,,,,,0,0,
2025/10/10,1,表,1,1,2,-,-,-,野﨑勇一郎,右,竹田龍汰,右,ストレート,,9,外角,見逃し,,,,,0,0,
2025/10/10,1,表,1,2,2,-,-,-,野﨑勇一郎,右,竹田龍汰,右,ストレート,,12,外角,ボール,,,,,0,0,
2025/10/10,1,表,2,2,2,-,-,-,野﨑勇一郎,右,竹田龍汰,右,カーブ,,8,真ん中,空振り,空振り三振,,,,1,0,
2025/10/10,1,裏,0,0,0,-,-,-,山田恭吾,右,中野心惇,右,スライダー,,6,外角,見逃し,,,,,0,0,
2025/10/10,1,裏,0,1,0,-,-,-,山田恭吾,右,中野心惇,右,ストレート,,14,内角,ボール,,,,,0,0,
2025/10/10,1,裏,1,1,0,-,-,-,山田恭吾,右,中野心惇,右,スライダー,,9,外角,見逃し,,,,,0,0,
2025/10/10,1,裏,1,2,0,-,-,-,山田恭吾,右,中野心惇,右,スライダー,,2,外角,インプレー,,アウト,フライ,二塁手,1,0,
2025/10/10,1,裏,0,0,1,-,-,-,山田恭吾,右,泉 航平,左,ストレート,,14,真ん中,ボール,,,,,0,0,
2025/10/10,1,裏,1,0,1,-,-,-,山田恭吾,右,泉 航平,左,ストレート,,12,外角,ボール,,,,,0,0,
2025/10/10,1,裏,2,0,1,-,-,-,山田恭吾,右,泉 航平,左,ストレート,,11,真ん中,ボール,,,,,0,0,
2025/10/10,1,裏,3,0,1,-,-,-,山田恭吾,右,泉 航平,左,ストレート,,14,真ん中,ボール,四球,,,,0,0,
2025/10/10,1,裏,0,0,1,○,-,-,山田恭吾,右,津澤泰成,左,スライダー,,13,真ん中,ボール,,,,,0,0,
2025/10/10,1,裏,1,0,1,○,-,-,山田恭吾,右,津澤泰成,左,スライダー,,9,真ん中,見逃し,,,,,0,0,
2025/10/10,1,裏,1,1,1,○,-,-,山田恭吾,右,津澤泰成,左,スライダー,,9,真ん中,見逃し,,,,,0,0,
2025/10/10,1,裏,1,2,1,○,-,-,山田恭吾,右,津澤泰成,左,ストレート,,14,真ん中,ボール,,,,,0,0,
2025/10/10,1,裏,2,2,1,-,-,○,山田恭吾,右,津澤泰成,左,スライダー,,5,外角,インプレー,,単打,ライナー,右翼手,0,1,
2025/10/10,1,裏,0,0,1,○,-,-,山田恭吾,右,山本翔士,左,スライダー,,7,真ん中,見逃し,,,,,0,0,
2025/10/10,1,裏,0,1,1,○,-,-,山田恭吾,右,山本翔士,左,スライダー,,13,真ん中,ボール,,,,,0,0,
2025/10/10,1,裏,1,1,1,-,○,-,山田恭吾,右,山本翔士,左,スライダー,,13,真ん中,ボール,,,,,0,0,
2025/10/10,1,裏,2,1,1,-,○,-,山田恭吾,右,山本翔士,左,ストレート,,14,内角,ボール,,,,,0,0,
2025/10/10,1,裏,3,1,1,-,○,-,山田恭吾,右,山本翔士,左,スライダー,,4,真ん中,見逃し,,,,,0,0,
2025/10/10,1,裏,3,2,1,-,○,-,山田恭吾,右,山本翔士,左,スライダー,,11,真ん中,ボール,四球,,,,0,0,
2025/10/10,1,裏,0,0,1,○,○,-,山田恭吾,右,東元龍成,右,スライダー,,6,外角,見逃し,,,,,0,0,
2025/10/10,1,裏,0,1,1,○,○,-,山田恭吾,右,東元龍成,右,スライダー,,9,外角,ファウル,,,,,0,0,
2025/10/10,1,裏,0,2,1,○,○,-,山田恭吾,右,東元龍成,右,スライダー,,4,外角,ファウル,,,,,0,0,
2025/10/10,1,裏,0,2,1,○,○,-,山田恭吾,右,東元龍成,右,スライダー,,14,外角,ファウル,,,,,0,0,
2025/10/10,1,裏,0,2,1,○,○,-,山田恭吾,右,東元龍成,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/10,1,裏,1,2,1,○,○,-,山田恭吾,右,東元龍成,右,スライダー,,5,外角,インプレー,,併殺,ゴロ,三塁手,2,0,
2025/10/10,2,表,0,0,0,-,-,-,野﨑勇一郎,右,越野虎次郎,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/10,2,表,1,0,0,-,-,-,野﨑勇一郎,右,越野虎次郎,右,チェンジアップ,,9,外角,インプレー,,アウト,ライナー,二塁手,1,0,
2025/10/10,2,表,0,0,1,-,-,-,野﨑勇一郎,右,平澤秀太,右,チェンジアップ,,8,外角,見逃し,,,,,0,0,
2025/10/10,2,表,0,1,1,-,-,-,野﨑勇一郎,右,平澤秀太,右,ストレート,,6,外角,見逃し,,,,,0,0,
2025/10/10,2,表,0,2,1,-,-,-,野﨑勇一郎,右,平澤秀太,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/10,2,表,1,2,1,-,-,-,野﨑勇一郎,右,平澤秀太,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/10,2,表,2,2,1,-,-,-,野﨑勇一郎,右,平澤秀太,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/10,2,表,3,2,1,-,-,-,野﨑勇一郎,右,平澤秀太,右,ストレート,,5,真ん中,インプレー,,アウト,フライ,中堅手,1,0,
2025/10/10,2,表,0,0,2,-,-,-,野﨑勇一郎,右,鍛冶陽斗,右,ストレート,,12,外角,ボール,,,,,0,0,
2025/10/10,2,表,1,0,2,-,-,-,野﨑勇一郎,右,鍛冶陽斗,右,チェンジアップ,,8,外角,見逃し,,,,,0,0,
2025/10/10,2,表,1,1,2,-,-,-,野﨑勇一郎,右,鍛冶陽斗,右,チェンジアップ,,5,外角,見逃し,,,,,0,0,
2025/10/10,2,表,1,2,2,-,-,-,野﨑勇一郎,右,鍛冶陽斗,右,ストレート,,14,外角,ボール,,,,,0,0,
2025/10/10,2,表,2,2,2,-,-,-,野﨑勇一郎,右,鍛冶陽斗,右,スライダー,,6,外角,インプレー,,単打,ライナー,右翼手,0,0,
2025/10/10,2,表,0,0,2,○,-,-,野﨑勇一郎,右,加納誠琉,右,ストレート,,3,外角,ファウル,,,,,0,0,
2025/10/10,2,表,0,1,2,○,-,-,野﨑勇一郎,右,加納誠琉,右,ストレート,,3,外角,ファウル,,,,,0,0,
2025/10/10,2,表,0,2,2,○,-,-,野﨑勇一郎,右,加納誠琉,右,ストレート,,12,外角,ボール,,,,,0,0,
2025/10/10,2,表,1,2,2,○,-,-,野﨑勇一郎,右,加納誠琉,右,,,,,ボーク,,,,,0,0,
2025/10/10,2,表,1,2,2,-,○,-,野﨑勇一郎,右,加納誠琉,右,ストレート,,9,内角,ファウル,,,,,0,0,
2025/10/10,2,表,1,2,2,-,○,-,野﨑勇一郎,右,加納誠琉,右,スライダー,,14,真ん中,ボール,,,,,0,0,
2025/10/10,2,表,2,2,2,-,○,-,野﨑勇一郎,右,加納誠琉,右,ストレート,,6,外角,ファウル,,,,,0,0,
2025/10/10,2,表,2,2,2,-,○,-,野﨑勇一郎,右,加納誠琉,右,スライダー,,3,外角,インプレー,,アウト,ゴロ,遊撃手,1,0,
2025/10/10,2,裏,0,0,0,-,-,-,山田恭吾,右,苅安 陸,右,スライダー,,13,真ん中,ボール,,,,,0,0,
2025/10/10,2,裏,1,0,0,-,-,-,山田恭吾,右,苅安 陸,右,スライダー,,5,真ん中,インプレー,,アウト,フライ,中堅手,1,0,
2025/10/10,2,裏,0,0,1,-,-,-,山田恭吾,右,黒江優翔,左,ストレート,,8,内角,見逃し,,,,,0,0,
2025/10/10,2,裏,0,1,1,-,-,-,山田恭吾,右,黒江優翔,左,スライダー,,4,真ん中,見逃し,,,,,0,0,
2025/10/10,2,裏,0,2,1,-,-,-,山田恭吾,右,黒江優翔,左,ストレート,,14,内角,ボール,,,,,0,0,
2025/10/10,2,裏,1,2,1,-,-,-,山田恭吾,右,黒江優翔,左,ストレート,,3,真ん中,ファウル,,,,,0,0,
2025/10/10,2,裏,1,2,1,-,-,-,山田恭吾,右,黒江優翔,左,スライダー,,4,真ん中,インプレー,,アウト,ゴロ,二塁手,1,0,
2025/10/10,2,裏,0,0,2,-,-,-,山田恭吾,右,西川晃成,右,スライダー,,8,外角,ファウル,,,,,0,0,
2025/10/10,2,裏,0,1,2,-,-,-,山田恭吾,右,西川晃成,右,ストレート,,2,内角,ファウル,,,,,0,0,
2025/10/10,2,裏,0,2,2,-,-,-,山田恭吾,右,西川晃成,右,スライダー,,14,外角,ボール,,,,,0,0,
2025/10/10,2,裏,1,2,2,-,-,-,山田恭吾,右,西川晃成,右,ストレート,,13,内角,ボール,,,,,0,0,
2025/10/10,2,裏,2,2,2,-,-,-,山田恭吾,右,西川晃成,右,スライダー,,14,外角,ボール,,,,,0,0,
2025/10/10,2,裏,3,2,2,-,-,-,山田恭吾,右,西川晃成,右,スライダー,,13,外角,ボール,四球,,,,0,0,
2025/10/10,2,裏,0,0,2,○,-,-,山田恭吾,右,中村瞭太,右,スライダー,,14,真ん中,ボール,,,,,0,0,
2025/10/10,2,裏,1,0,2,○,-,-,山田恭吾,右,中村瞭太,右,ストレート,,6,外角,見逃し,,,,,0,0,
2025/10/10,2,裏,1,1,2,-,○,-,山田恭吾,右,中村瞭太,右,スライダー,,1,真ん中,ファウル,,,,,0,0,
2025/10/10,2,裏,1,2,2,-,○,-,山田恭吾,右,中村瞭太,右,ストレート,,2,内角,インプレー,,アウト,フライ,中堅手,1,0,
2025/10/10,3,表,0,0,0,-,-,-,野﨑勇一郎,右,柴田結都,左,ストレート,,6,内角,ファウル,,,,,0,0,
2025/10/10,3,表,0,1,0,-,-,-,野﨑勇一郎,右,柴田結都,左,ストレート,,14,内角,ボール,,,,,0,0,
