Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2025/10/11,1,表,0,0,0,-,-,-,向嶋 大輔,右,山川 悟輝,左,,,,,空振り,,,,,3,1,
2025/10/11,1,裏,0,0,0,-,-,-,大槇優斗,右,伊藤 航太,左,,,,,空振り,,,,,3,0,
2025/10/11,2,表,0,0,0,-,-,-,向嶋 大輔,右,山川 悟輝,左,,,,,空振り,,,,,3,0,
2025/10/11,2,裏,0,0,2,○,-,○,大槇優斗,右,伊藤 航太,左,チェンジアップ,,13,内角,ボール,,,,,0,0,
2025/10/11,2,裏,1,1,2,○,-,○,大槇優斗,右,伊藤 航太,左,スライダー,,4,内角,インプレー,,二塁打,フライ,中堅手,0,2,
2025/10/11,2,裏,0,0,2,-,○,○,大槇優斗,右,久保誓真,右,ストレート,,9,,インプレー,,単打,ライナー,右翼手,0,1,
2025/10/11,2,裏,0,0,2,○,-,-,大槇優斗,右,池邉由伸,左,チェンジアップ,,7,,見逃し,,,,,0,0,
2025/10/11,2,裏,0,1,2,○,-,-,大槇優斗,右,池邉由伸,左,ストレート,,13,,ファウル,,,,,0,0,
2025/10/11,2,裏,0,2,2,○,-,-,大槇優斗,右,池邉由伸,左,ストレート,,11,,ファウル,,,,,0,0,
2025/10/11,2,裏,0,2,2,○,-,-,大槇優斗,右,池邉由伸,左,ストレート,,11,,ボール,,,,,0,0,
2025/10/11,2,裏,1,2,2,○,-,-,大槇優斗,右,池邉由伸,左,ストレート,,9,,インプレー,,アウト,ゴロ,二塁手,1,0,
2025/10/11,3,表,0,0,0,-,-,-,向嶋 大輔,右,山川 悟輝,左,ストレート,,7,内角,見逃し,,,,,0,0,
2025/10/11,3,表,0,1,0,-,-,-,向嶋 大輔,右,山川 悟輝,左,ストレート,,13,内角,空振り,,,,,0,0,
2025/10/11,3,表,0,2,0,-,-,-,向嶋 大輔,右,山川 悟輝,左,ストレート,,,外角,死球,,,,,0,0,
2025/10/11,3,表,0,0,0,○,-,-,向嶋 大輔,右,川井 錬磨,右,ストレート,,9,外角,見逃し,,,,,0,0,
2025/10/11,3,表,0,1,0,○,-,-,向嶋 大輔,右,川井 錬磨,右,,,6,外角,インプレー,,アウト,フライ,右翼手,1,0,
2025/10/11,3,表,0,0,1,-,○,-,向嶋 大輔,右,新田恭也,左,ストレート,,4,内角,ファウル,,,,,0,0,
2025/10/11,3,表,0,1,1,-,○,-,向嶋 大輔,右,新田恭也,左,ストレート,,4,内角,ファウル,,,,,0,0,
2025/10/11,3,表,0,2,1,-,○,-,向嶋 大輔,右,新田恭也,左,ストレート,,4,内角,ファウル,,,,,0,0,
2025/10/11,3,表,0,2,1,-,○,-,向嶋 大輔,右,新田恭也,左,ストレート,,7,内角,インプレー,,アウト,ゴロ,三塁手,1,0,
2025/10/11,3,表,0,0,2,-,-,○,向嶋 大輔,右,角尾頼尊,右,カーブ,,11,真ん中,ボール,,,,,0,0,
2025/10/11,3,表,1,0,2,-,-,○,向嶋 大輔,右,角尾頼尊,右,ストレート,,12,真ん中,ファウル,,,,,0,0,
2025/10/11,3,表,1,1,2,-,-,○,向嶋 大輔,右,角尾頼尊,右,ストレート,,7,内角,見逃し,,,,,0,0,
2025/10/11,3,表,1,2,2,-,-,○,向嶋 大輔,右,角尾頼尊,右,スライダー,,14,外角,ボール,,,,,0,0,
2025/10/11,3,表,2,2,2,-,-,○,向嶋 大輔,右,角尾頼尊,右,カーブ,,14,外角,空振り,空振り三振,,,,1,0,
2025/10/11,3,裏,0,0,0,-,-,-,大槇優斗,右,高松 紳志,左,カーブ,,8,真ん中,見逃し,,,,,0,0,
2025/10/11,3,裏,0,1,0,-,-,-,大槇優斗,右,高松 紳志,左,ストレート,,3,,インプレー,,アウト,フライ,二塁手,1,0,
2025/10/11,3,裏,0,0,1,-,-,-,大槇優斗,右,細川叶人,右,スライダー,,6,,見逃し,,,,,0,0,
2025/10/11,3,裏,0,1,1,-,-,-,大槇優斗,右,細川叶人,右,ストレート,,14,,ボール,,,,,0,0,
2025/10/11,3,裏,1,1,1,-,-,-,大槇優斗,右,細川叶人,右,チェンジアップ,,8,真ん中,空振り,,,,,0,0,
2025/10/11,3,裏,1,2,1,-,-,-,大槇優斗,右,細川叶人,右,ストレート,,11,,空振り,空振り三振,,,,1,0,
2025/10/11,3,裏,0,0,2,-,-,-,大槇優斗,右,野口恭平,左,チェンジアップ,,8,,空振り,,,,,0,0,
2025/10/11,3,裏,0,1,2,-,-,-,大槇優斗,右,野口恭平,左,ストレート,,8,,インプレー,,アウト,ゴロ,二塁手,1,0,
2025/10/11,4,表,0,0,0,-,-,-,向嶋 大輔,右,南 早羽己,左,ストレート,,8,,ファウル,,,,,0,0,
2025/10/11,4,表,0,1,0,-,-,-,向嶋 大輔,右,南 早羽己,左,ストレート,,4,,ファウル,,,,,0,0,
2025/10/11,4,表,1,2,0,-,-,-,向嶋 大輔,右,南 早羽己,左,ストレート,,13,内角,ボール,,,,,0,0,
2025/10/11,4,表,2,2,0,-,-,-,向嶋 大輔,右,南 早羽己,左,ストレート,,7,内角,ファウル,,,,,0,0,
2025/10/11,4,表,2,2,0,-,-,-,向嶋 大輔,右,南 早羽己,左,ストレート,,11,内角,ボール,,,,,0,0,
