Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/4/5,1,表,0,0,0,-,-,-,山田恭吾,右,山川 悟輝,左,ストレート,,3,外角,ファウル,,,,,0,0,
2026/4/5,1,表,0,1,0,-,-,-,山田恭吾,右,山川 悟輝,左,スライダー,,11,,ボール,,,,,0,0,
2026/4/5,1,表,1,1,0,-,-,-,山田恭吾,右,山川 悟輝,左,フォーク,,13,外角,ボール,,,,,0,0,
2026/4/5,1,表,2,1,0,-,-,-,山田恭吾,右,山川 悟輝,左,ストレート,,13,内角,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/4/5,1,表,0,0,1,-,-,-,山田恭吾,右,月島夏王翔,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/4/5,1,表,1,0,1,-,-,-,山田恭吾,右,月島夏王翔,右,ストレート,,2,外角,インプレー,,アウト,フライ,中堅手,1,0,
2026/4/5,1,表,0,0,2,-,-,-,山田恭吾,右,川合 錬磨,右,ストレート,,9,外角,見逃し,,,,,0,0,
2026/4/5,1,表,0,1,2,-,-,-,山田恭吾,右,川合 錬磨,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/4/5,1,表,1,1,2,-,-,-,山田恭吾,右,川合 錬磨,右,スライダー,,14,外角,ファウル,,,,,0,0,
2026/4/5,1,表,1,2,2,-,-,-,山田恭吾,右,川合 錬磨,右,ストレート,,11,,ボール,,,,,0,0,
2026/4/5,1,表,2,2,2,-,-,-,山田恭吾,右,川合 錬磨,右,フォーク,,14,外角,ボール,,,,,0,0,
2026/4/5,1,表,3,2,2,-,-,-,山田恭吾,右,川合 錬磨,右,スライダー,,12,,インプレー,,アウト,フライ,右翼手,1,0,
2026/4/5,1,裏,0,0,0,-,-,-,下岡皇太,右,相上征士郎,右,ストレート,,12,外角,インプレー,,アウト,フライ,左翼手,1,0,
2026/4/5,1,裏,0,0,1,-,-,-,下岡皇太,右,竹田龍汰,右,ストレート,,14,,ボール,,,,,0,0,
