Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/4/5,1,表,0,0,0,-,-,-,中田裕仁,右,竹内勇輝,左,ストレート,,6,真ん中,ファウル,,,,,0,0,
2026/4/5,1,表,0,1,0,-,-,-,中田裕仁,右,竹内勇輝,左,ストレート,,4,内角,ファウル,,,,,0,0,
2026/4/5,1,表,0,2,0,-,-,-,中田裕仁,右,竹内勇輝,左,ストレート,,13,内角,ボール,,,,,0,0,
2026/4/5,1,表,1,2,0,-,-,-,中田裕仁,右,竹内勇輝,左,ストレート,,11,内角,ボール,,,,,0,0,
2026/4/5,1,表,2,2,0,-,-,-,中田裕仁,右,竹内勇輝,左,ストレート,,14,外角,ボール,,,,,0,0,
2026/4/5,1,表,3,2,0,-,-,-,中田裕仁,右,竹内勇輝,左,ストレート,,3,真ん中,ファウル,,,,,0,0,
2026/4/5,1,表,3,2,0,-,-,-,中田裕仁,右,竹内勇輝,左,ストレート,,14,真ん中,インプレー,,単打,フライ,左翼手,0,0,
2026/4/5,1,表,0,0,0,○,-,-,中田裕仁,右,泉 航平,左,ストレート,,5,真ん中,見逃し,,,,,0,0,
2026/4/5,1,表,0,1,0,○,-,-,中田裕仁,右,泉 航平,左,スライダー,,6,真ん中,インプレー,,犠打,ゴロ,投手,1,0,
2026/4/5,1,表,0,0,1,-,○,-,中田裕仁,右,架谷 岳,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/4/5,1,表,1,0,1,-,○,-,中田裕仁,右,架谷 岳,右,スライダー,,14,真ん中,ボール,,,,,0,0,
2026/4/5,1,表,2,0,1,-,○,-,中田裕仁,右,架谷 岳,右,カットボール,,8,真ん中,見逃し,,,,,0,0,
2026/4/5,1,表,2,1,1,-,○,-,中田裕仁,右,架谷 岳,右,カットボール,,14,外角,空振り,,,,,0,0,
2026/4/5,1,表,2,2,1,-,○,-,中田裕仁,右,架谷 岳,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/4/5,1,表,3,2,1,-,○,-,中田裕仁,右,架谷 岳,右,ストレート,,6,外角,ファウル,,,,,0,0,
2026/4/5,1,表,3,2,1,-,○,-,中田裕仁,右,架谷 岳,右,スライダー,,4,真ん中,インプレー,,二塁打,ライナー,左翼手,0,1,
2026/4/5,1,表,0,0,1,-,○,-,中田裕仁,右,山本翔士,左,カットボール,,14,真ん中,ボール,,,,,0,0,
2026/4/5,1,表,1,0,1,-,○,-,中田裕仁,右,山本翔士,左,ストレート,,2,内角,ファウル,,,,,0,0,
2026/4/5,1,表,1,1,1,-,○,-,中田裕仁,右,山本翔士,左,ストレート,,4,内角,空振り,,,,,0,0,
2026/4/5,1,表,1,2,1,-,○,-,中田裕仁,右,山本翔士,左,ストレート,,7,内角,インプレー,,アウト,フライ,左翼手,1,0,
2026/4/5,1,表,0,0,2,-,○,-,中田裕仁,右,津澤泰成,左,ストレート,,5,真ん中,ファウル,,,,,0,0,
2026/4/5,1,表,0,1,2,-,○,-,中田裕仁,右,津澤泰成,左,ストレート,,11,内角,インプレー,,アウト,フライ,一塁手,1,0,
2026/4/5,1,裏,0,0,0,-,-,-,玉村凌大,右,藤田海輝,右,スライダー,,6,外角,見逃し,,,,,0,0,
2026/4/5,1,裏,0,1,0,-,-,-,玉村凌大,右,藤田海輝,右,カーブ,,8,外角,見逃し,,,,,0,0,
2026/4/5,1,裏,0,2,0,-,-,-,玉村凌大,右,藤田海輝,右,スライダー,,14,外角,ファウル,,,,,0,0,
2026/4/5,1,裏,0,2,0,-,-,-,玉村凌大,右,藤田海輝,右,ストレート,,11,外角,空振り,空振り三振,,,,1,0,
2026/4/5,1,裏,0,0,1,-,-,-,玉村凌大,右,村井虹七登,左,カーブ,,8,真ん中,見逃し,,,,,0,0,
2026/4/5,1,裏,0,1,1,-,-,-,玉村凌大,右,村井虹七登,左,ストレート,,13,内角,見逃し,,,,,0,0,
2026/4/5,1,裏,1,1,1,-,-,-,玉村凌大,右,村井虹七登,左,チェンジアップ,,4,真ん中,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/4/5,1,裏,0,0,2,-,-,-,玉村凌大,右,中村康太,右,ストレート,,6,外角,見逃し,,,,,0,0,
