Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/4/12,1,表,0,0,0,-,-,-,玉村凌大,右,久保誓真,右,フォーク,,14,外角,ボール,,,,,0,0,
2026/4/12,1,表,1,0,0,-,-,-,玉村凌大,右,久保誓真,右,ストレート,,12,,ボール,,,,,0,0,
2026/4/12,1,表,2,0,0,-,-,-,玉村凌大,右,久保誓真,右,ストレート,,12,,インプレー,,アウト,フライ,左翼手,1,0,
2026/4/12,1,表,0,0,1,-,-,-,玉村凌大,右,土田悠翔,左,ストレート,,11,,ボール,,,,,0,0,
2026/4/12,1,表,1,0,1,-,-,-,玉村凌大,右,土田悠翔,左,スライダー,,11,,ボール,,,,,0,0,
2026/4/12,1,表,2,0,1,-,-,-,玉村凌大,右,土田悠翔,左,ストレート,,4,,見逃し,,,,,0,0,
2026/4/12,1,表,2,1,1,-,-,-,玉村凌大,右,土田悠翔,左,チェンジアップ,,13,,見逃し,,,,,0,0,
2026/4/12,1,表,2,2,1,-,-,-,玉村凌大,右,土田悠翔,左,ストレート,,8,,空振り,空振り三振,,,,1,0,
2026/4/12,1,表,0,0,2,-,-,-,玉村凌大,右,池邉由伸,左,ストレート,,4,,見逃し,,,,,0,0,
2026/4/12,1,表,0,1,2,-,-,-,玉村凌大,右,池邉由伸,左,スライダー,,13,,ボール,,,,,0,0,
2026/4/12,1,表,1,1,2,-,-,-,玉村凌大,右,池邉由伸,左,スライダー,,7,,インプレー,,二塁打,ゴロ,一塁手,0,0,
2026/4/12,1,表,0,0,2,-,○,-,玉村凌大,右,細川叶人,右,チェンジアップ,,11,外角,ボール,,,,,0,0,
2026/4/12,1,表,1,0,2,-,○,-,玉村凌大,右,細川叶人,右,カーブ,,14,,空振り,,,,,0,0,
2026/4/12,1,表,1,1,2,-,○,-,玉村凌大,右,細川叶人,右,チェンジアップ,,14,,ボール,,,,,0,0,
2026/4/12,1,表,2,1,2,-,○,-,玉村凌大,右,細川叶人,右,カーブ,,14,,ボール,,,,,0,0,
2026/4/12,1,表,3,1,2,-,○,-,玉村凌大,右,細川叶人,右,チェンジアップ,,14,,ボール,四球,,,,0,0,
2026/4/12,1,表,0,0,2,○,○,-,玉村凌大,右,小林拓斗,右,ストレート,,13,,ボール,,,,,0,0,
2026/4/12,1,表,1,0,2,○,○,-,玉村凌大,右,小林拓斗,右,スライダー,,7,,見逃し,,,,,0,0,
2026/4/12,1,表,1,1,2,○,○,-,玉村凌大,右,小林拓斗,右,カーブ,,1,,ファウル,,,,,0,0,
2026/4/12,1,表,1,2,2,○,○,-,玉村凌大,右,小林拓斗,右,ストレート,,3,,ファウル,,,,,0,0,
2026/4/12,1,表,1,2,2,○,○,-,玉村凌大,右,小林拓斗,右,ストレート,,4,,ファウル,,,,,0,0,
2026/4/12,1,表,1,2,2,○,○,-,玉村凌大,右,小林拓斗,右,ストレート,,11,,ファウル,,,,,0,0,
2026/4/12,1,表,1,2,2,○,○,-,玉村凌大,右,小林拓斗,右,カーブ,,13,,ボール,,,,,0,0,
2026/4/12,1,表,2,2,2,○,○,-,玉村凌大,右,小林拓斗,右,フォーク,,14,,ボール,,,,,0,0,
2026/4/12,1,表,3,2,2,○,○,-,玉村凌大,右,小林拓斗,右,ストレート,,6,,インプレー,,アウト,ゴロ,一塁手,1,0,
2026/4/12,1,裏,0,0,0,-,-,-,向嶋大輔,右,清水快真,左,ストレート,,3,,見逃し,,,,,0,0,
2026/4/12,1,裏,0,1,0,-,-,-,向嶋大輔,右,清水快真,左,ストレート,,4,,ファウル,,,,,0,0,
2026/4/12,1,裏,0,2,0,-,-,-,向嶋大輔,右,清水快真,左,ストレート,,7,,見逃し,見逃し三振,,,,1,0,
2026/4/12,1,裏,0,0,1,-,-,-,向嶋大輔,右,泉 航平,左,ストレート,,5,,インプレー,,アウト,フライ,中堅手,1,0,
2026/4/12,1,裏,0,0,2,-,-,-,向嶋大輔,右,架谷 岳,右,チェンジアップ,,4,外角,ファウル,,,,,0,0,
2026/4/12,1,裏,0,1,2,-,-,-,向嶋大輔,右,架谷 岳,右,ストレート,,1,,ファウル,,,,,0,0,
2026/4/12,1,裏,0,2,2,-,-,-,向嶋大輔,右,架谷 岳,右,フォーク,,12,,ボール,,,,,0,0,
2026/4/12,1,裏,1,2,2,-,-,-,向嶋大輔,右,架谷 岳,右,フォーク,,14,,空振り,空振り三振,,,,1,0,
2026/4/12,2,表,0,0,0,-,-,-,玉村凌大,右,山田久敬,左,ストレート,,1,,見逃し,,,,,0,0,
2026/4/12,2,表,0,1,0,-,-,-,玉村凌大,右,山田久敬,左,フォーク,,13,,ボール,,,,,0,0,
2026/4/12,2,表,1,1,0,-,-,-,玉村凌大,右,山田久敬,左,ストレート,,11,,ボール,,,,,0,0,
2026/4/12,2,表,2,1,0,-,-,-,玉村凌大,右,山田久敬,左,ストレート,,14,,ボール,,,,,0,0,
2026/4/12,2,表,3,1,0,-,-,-,玉村凌大,右,山田久敬,左,ストレート,,5,,見逃し,,,,,0,0,
2026/4/12,2,表,3,2,0,-,-,-,玉村凌大,右,山田久敬,左,ストレート,,2,,インプレー,,単打,ゴロ,二塁手,0,0,
2026/4/12,2,表,0,0,0,○,-,-,玉村凌大,右,辻本匡登,右,ストレート,,11,,インプレー,,犠打,ゴロ,投手,1,0,
2026/4/12,2,表,0,0,1,-,○,-,玉村凌大,右,田丸晃己,右,ストレート,,11,,ボール,,,,,0,0,
2026/4/12,2,表,1,0,1,-,○,-,玉村凌大,右,田丸晃己,右,チェンジアップ,,13,,ボール,,,,,0,0,
2026/4/12,2,表,2,0,1,-,○,-,玉村凌大,右,田丸晃己,右,ストレート,,11,,ボール,,,,,0,0,
2026/4/12,2,表,3,0,1,-,○,-,玉村凌大,右,田丸晃己,右,ストレート,,8,,見逃し,,,,,0,0,
