Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/4/18,1,表,0,0,0,-,-,-,近藤春希,左,藤田海輝,右,ストレート,,12,,ボール,,,,,0,0,
2026/4/18,1,表,1,0,0,-,-,-,近藤春希,左,藤田海輝,右,スライダー,,5,,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/4/18,1,表,0,0,1,-,-,-,近藤春希,左,村井虹七登,左,ストレート,,4,内角,見逃し,,,,,0,0,
2026/4/18,1,表,0,1,1,-,-,-,近藤春希,左,村井虹七登,左,ストレート,,13,内角,ボール,,,,,0,0,
2026/4/18,1,表,1,1,1,-,-,-,近藤春希,左,村井虹七登,左,ストレート,,11,内角,ボール,,,,,0,0,
2026/4/18,1,表,2,1,1,-,-,-,近藤春希,左,村井虹七登,左,ストレート,,7,内角,見逃し,,,,,0,0,
2026/4/18,1,表,2,2,1,-,-,-,近藤春希,左,村井虹七登,左,スライダー,,13,,空振り,空振り三振,,,,1,0,
2026/4/18,1,表,0,0,2,-,-,-,近藤春希,左,植松健太,左,カーブ,,11,,ボール,,,,,0,0,
2026/4/18,1,表,1,0,2,-,-,-,近藤春希,左,植松健太,左,スライダー,,7,,見逃し,,,,,0,0,
2026/4/18,1,表,1,1,2,-,-,-,近藤春希,左,植松健太,左,ストレート,,7,,見逃し,,,,,0,0,
2026/4/18,1,表,1,2,2,-,-,-,近藤春希,左,植松健太,左,ストレート,,6,,ファウル,,,,,0,0,
2026/4/18,1,表,1,2,2,-,-,-,近藤春希,左,植松健太,左,ストレート,,11,,ボール,,,,,0,0,
2026/4/18,1,表,2,2,2,-,-,-,近藤春希,左,植松健太,左,スライダー,,8,,ファウル,,,,,0,0,
2026/4/18,1,表,2,2,2,-,-,-,近藤春希,左,植松健太,左,ストレート,,5,,インプレー,,アウト,フライ,左翼手,1,0,
2026/4/18,1,裏,0,0,0,-,-,-,與 賢史朗,右,川合錬磨,右,ストレート,,9,外角,見逃し,,,,,0,0,
2026/4/18,1,裏,0,1,0,-,-,-,與 賢史朗,右,川合錬磨,右,ストレート,,14,,ボール,,,,,0,0,
2026/4/18,1,裏,1,1,0,-,-,-,與 賢史朗,右,川合錬磨,右,カーブ,,12,,ボール,,,,,0,0,
2026/4/18,1,裏,2,1,0,-,-,-,與 賢史朗,右,川合錬磨,右,ストレート,,9,,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/4/18,1,裏,0,0,1,-,-,-,與 賢史朗,右,三上武流,右,ストレート,,13,,ボール,,,,,0,0,
2026/4/18,1,裏,1,0,1,-,-,-,與 賢史朗,右,三上武流,右,ストレート,,5,,見逃し,,,,,0,0,
2026/4/18,1,裏,1,1,1,-,-,-,與 賢史朗,右,三上武流,右,ストレート,,1,,インプレー,,アウト,フライ,中堅手,1,0,
2026/4/18,1,裏,0,0,2,-,-,-,與 賢史朗,右,山川悟輝,左,ストレート,,7,内角,見逃し,,,,,0,0,
2026/4/18,1,裏,0,1,2,-,-,-,與 賢史朗,右,山川悟輝,左,ストレート,,4,内角,インプレー,,アウト,フライ,三塁手,1,0,
2026/4/18,2,表,0,0,0,-,-,-,近藤春希,左,中村康太,右,チェンジアップ,,14,外角,ボール,,,,,0,0,
