Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/4/19,1,表,0,0,0,-,-,-,丸山椋介,右,久保誓真,右,ストレート,,5,外角,インプレー,,単打,ゴロ,左翼手,0,0,
2026/4/19,1,表,0,0,0,○,-,-,丸山椋介,右,土田悠翔,左,スライダー,,14,外角,ボール,,,,,0,0,
2026/4/19,1,表,1,0,0,○,-,-,丸山椋介,右,土田悠翔,左,ストレート,,4,内角,ファウル,,,,,0,0,
2026/4/19,1,表,1,1,0,○,-,-,丸山椋介,右,土田悠翔,左,ストレート,,3,外角,ファウル,,,,,0,0,
2026/4/19,1,表,1,2,0,○,-,-,丸山椋介,右,土田悠翔,左,ストレート,,2,真ん中,インプレー,,二塁打,ライナー,右翼手,0,0,
2026/4/19,1,表,0,0,0,-,○,○,丸山椋介,右,池邉由伸,左,カーブ,,8,真ん中,見逃し,,,,,0,0,
2026/4/19,1,表,0,1,0,-,○,○,丸山椋介,右,池邉由伸,左,チェンジアップ,,4,内角,インプレー,,犠飛,フライ,中堅手,1,1,
2026/4/19,1,表,0,0,1,-,○,-,丸山椋介,右,細川叶人,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/4/19,1,表,1,0,1,-,○,-,丸山椋介,右,細川叶人,右,スライダー,,3,外角,ファウル,,,,,0,0,
2026/4/19,1,表,1,1,1,-,○,-,丸山椋介,右,細川叶人,右,ストレート,,13,内角,死球,,,,,1,0,
2026/4/19,1,表,0,0,1,○,○,-,丸山椋介,右,小林拓斗,右,スライダー,,3,真ん中,見逃し,,,,,0,0,
2026/4/19,1,表,0,1,1,○,○,-,丸山椋介,右,小林拓斗,右,ストレート,,9,真ん中,インプレー,,単打,ライナー,左翼手,0,0,
2026/4/19,1,表,0,0,1,○,○,-,丸山椋介,右,山田久敬,左,スライダー,,4,内角,ファウル,,,,,0,0,
2026/4/19,1,表,0,1,1,○,○,-,丸山椋介,右,山田久敬,左,ストレート,,13,真ん中,ボール,,,,,0,0,
2026/4/19,1,表,1,1,1,○,○,-,丸山椋介,右,山田久敬,左,スライダー,,11,真ん中,ボール,,,,,0,0,
2026/4/19,1,表,2,1,1,○,○,-,丸山椋介,右,山田久敬,左,ストレート,,13,真ん中,ボール,,,,,0,0,
2026/4/19,1,表,3,1,1,○,○,-,丸山椋介,右,山田久敬,左,スライダー,,14,内角,空振り,,,,,0,0,
2026/4/19,1,表,3,2,1,○,○,-,丸山椋介,右,山田久敬,左,ストレート,,13,真ん中,ボール,四球,,,,0,0,
2026/4/19,1,表,0,0,1,○,○,○,丸山椋介,右,辻本匡登,右,カーブ,,6,真ん中,見逃し,,,,,0,0,
2026/4/19,1,表,0,1,1,○,○,○,丸山椋介,右,辻本匡登,右,ストレート,,3,外角,空振り,,,,,0,0,
2026/4/19,1,表,0,2,1,○,○,○,丸山椋介,右,辻本匡登,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/4/19,1,表,1,2,1,○,○,○,丸山椋介,右,辻本匡登,右,ストレート,,14,真ん中,ボール,,,,,0,1,
2026/4/19,1,表,2,2,1,-,○,○,丸山椋介,右,辻本匡登,右,フォーク,,11,真ん中,インプレー,,犠飛,フライ,左翼手,1,1,
2026/4/19,1,表,0,0,2,-,○,-,丸山椋介,右,田丸晃己,右,ストレート,,6,外角,見逃し,,,,,0,0,
2026/4/19,1,表,0,1,2,-,○,-,丸山椋介,右,田丸晃己,右,カーブ,,11,外角,ボール,,,,,0,0,
2026/4/19,1,表,1,1,2,-,○,-,丸山椋介,右,田丸晃己,右,ストレート,,11,外角,ボール,,,,,0,0,
2026/4/19,1,表,2,1,2,-,○,-,丸山椋介,右,田丸晃己,右,スライダー,,3,真ん中,空振り,,,,,0,0,
2026/4/19,1,表,2,2,2,-,○,-,丸山椋介,右,田丸晃己,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/4/19,1,表,3,2,2,-,○,-,丸山椋介,右,田丸晃己,右,スライダー,,9,真ん中,ファウル,,,,,0,0,
