Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/4/19,1,表,0,0,0,-,-,-,中田裕仁,右,川合錬磨,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/4/19,1,表,1,0,0,-,-,-,中田裕仁,右,川合錬磨,右,ストレート,,1,真ん中,インプレー,,アウト,フライ,三塁手,1,0,
2026/4/19,1,表,0,0,1,-,-,-,中田裕仁,右,月島夏王翔,右,ストレート,,2,真ん中,インプレー,,アウト,フライ,一塁手,1,0,
2026/4/19,1,表,0,0,2,-,-,-,中田裕仁,右,山川悟輝,左,カーブ,,11,真ん中,ボール,,,,,0,0,
2026/4/19,1,表,1,0,2,-,-,-,中田裕仁,右,山川悟輝,左,ストレート,,4,内角,空振り,,,,,0,0,
2026/4/19,1,表,1,1,2,-,-,-,中田裕仁,右,山川悟輝,左,ストレート,,8,真ん中,見逃し,,,,,0,0,
2026/4/19,1,表,1,2,2,-,-,-,中田裕仁,右,山川悟輝,左,スライダー,,14,外角,ボール,,,,,0,0,
2026/4/19,1,表,2,2,2,-,-,-,中田裕仁,右,山川悟輝,左,ストレート,,13,内角,ボール,,,,,0,0,
2026/4/19,1,表,3,2,2,-,-,-,中田裕仁,右,山川悟輝,左,ストレート,,4,外角,インプレー,,アウト,フライ,中堅手,1,0,
2026/4/19,1,裏,0,0,0,-,-,-,下岡皇太,右,藤田海輝,右,ストレート,,12,外角,空振り,,,,,0,0,
2026/4/19,1,裏,0,1,0,-,-,-,下岡皇太,右,藤田海輝,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/4/19,1,裏,1,1,0,-,-,-,下岡皇太,右,藤田海輝,右,,,5,外角,空振り,,,,,0,0,
2026/4/19,1,裏,1,2,0,-,-,-,下岡皇太,右,藤田海輝,右,ストレート,,6,外角,ファウル,,,,,0,0,
2026/4/19,1,裏,1,2,0,-,-,-,下岡皇太,右,藤田海輝,右,カーブ,,14,外角,ボール,,,,,0,0,
2026/4/19,1,裏,2,2,0,-,-,-,下岡皇太,右,藤田海輝,右,スライダー,,4,外角,インプレー,,アウト,ゴロ,三塁手,1,0,
2026/4/19,1,裏,0,0,1,-,-,-,下岡皇太,右,小西由颯,右,ストレート,,6,外角,見逃し,,,,,0,0,
2026/4/19,1,裏,0,1,1,-,-,-,下岡皇太,右,小西由颯,右,ストレート,,12,外角,インプレー,,アウト,フライ,左翼手,1,0,
2026/4/19,1,裏,0,0,2,-,-,-,下岡皇太,右,植松健太,左,ストレート,,13,内角,ボール,,,,,0,0,
2026/4/19,1,裏,1,0,2,-,-,-,下岡皇太,右,植松健太,左,ストレート,,1,内角,インプレー,,アウト,ライナー,中堅手,1,0,
2026/4/19,2,表,0,0,0,-,-,-,中田裕仁,右,眞木佳唯斗,右,スライダー,,9,真ん中,空振り,,,,,0,0,
2026/4/19,2,表,0,1,0,-,-,-,中田裕仁,右,眞木佳唯斗,右,スライダー,,14,真ん中,ボール,,,,,0,0,
2026/4/19,2,表,1,1,0,-,-,-,中田裕仁,右,眞木佳唯斗,右,ストレート,,14,外角,空振り,,,,,0,0,
2026/4/19,2,表,1,2,0,-,-,-,中田裕仁,右,眞木佳唯斗,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/4/19,2,表,2,2,0,-,-,-,中田裕仁,右,眞木佳唯斗,右,ストレート,,9,外角,見逃し,見逃し三振,,,,1,0,
2026/4/19,2,表,0,0,1,-,-,-,中田裕仁,右,小林陸斗,左,スライダー,,2,真ん中,見逃し,,,,,0,0,
2026/4/19,2,表,0,1,1,-,-,-,中田裕仁,右,小林陸斗,左,ストレート,,14,外角,ボール,,,,,0,0,
2026/4/19,2,表,1,1,1,-,-,-,中田裕仁,右,小林陸斗,左,ストレート,,13,内角,ボール,,,,,0,0,
2026/4/19,2,表,2,1,1,-,-,-,中田裕仁,右,小林陸斗,左,カーブ,,4,真ん中,インプレー,,単打,ライナー,右翼手,0,0,
2026/4/19,2,表,0,0,1,○,-,-,中田裕仁,右,後藤耀介,右,スライダー,,9,外角,見逃し,,,,,0,0,
2026/4/19,2,表,0,1,1,○,-,-,中田裕仁,右,後藤耀介,右,ストレート,,6,真ん中,インプレー,,単打,ゴロ,右翼手,0,0,
2026/4/19,2,表,0,0,1,○,-,○,中田裕仁,右,重岡陽色,左,ストレート,,4,内角,ファウル,,,,,0,0,
2026/4/19,2,表,0,1,1,○,-,○,中田裕仁,右,重岡陽色,左,ストレート,,11,内角,ボール,,,,,0,0,
2026/4/19,2,表,1,1,1,○,-,○,中田裕仁,右,重岡陽色,左,ストレート,,1,内角,ファウル,,,,,0,0,
2026/4/19,2,表,1,2,1,○,-,○,中田裕仁,右,重岡陽色,左,ストレート,,11,外角,インプレー,,犠飛,フライ,右翼手,1,1,
2026/4/19,2,表,0,0,2,○,-,-,中田裕仁,右,三島袈夢,左,ストレート,,9,真ん中,インプレー,,アウト,フライ,左翼手,1,0,
2026/4/19,2,裏,0,0,0,-,-,-,下岡皇太,右,中村康太,右,スライダー,,9,真ん中,空振り,,,,,0,0,
2026/4/19,2,裏,0,1,0,-,-,-,下岡皇太,右,中村康太,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/4/19,2,裏,1,1,0,-,-,-,下岡皇太,右,中村康太,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/4/19,2,裏,2,1,0,-,-,-,下岡皇太,右,中村康太,右,スライダー,,7,真ん中,インプレー,,アウト,ゴロ,三塁手,1,0,
2026/4/19,2,裏,0,0,1,-,-,-,下岡皇太,右,沢出絃徳,左,ストレート,,2,真ん中,インプレー,,単打,ライナー,中堅手,0,0,
2026/4/19,2,裏,0,0,1,○,-,-,下岡皇太,右,亀澤祐貴,右,スライダー,,11,外角,ボール,,,,,0,0,
2026/4/19,2,裏,1,0,1,○,-,-,下岡皇太,右,亀澤祐貴,右,スライダー,,6,外角,ファウル,,,,,0,0,
2026/4/19,2,裏,1,1,1,○,-,-,下岡皇太,右,亀澤祐貴,右,カーブ,,14,外角,ボール,,,,,0,0,
2026/4/19,2,裏,2,1,1,○,-,-,下岡皇太,右,亀澤祐貴,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/4/19,2,裏,3,1,1,○,-,-,下岡皇太,右,亀澤祐貴,右,ストレート,,14,真ん中,ボール,四球,,,,0,0,
2026/4/19,2,裏,0,0,1,○,○,-,下岡皇太,右,櫻井伯斗,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/4/19,2,裏,1,0,1,○,○,-,下岡皇太,右,櫻井伯斗,右,ストレート,,6,外角,見逃し,,,,,0,0,
2026/4/19,2,裏,1,1,1,○,○,-,下岡皇太,右,櫻井伯斗,右,カーブ,,9,,空振り,,,,,0,0,
2026/4/19,2,裏,1,2,1,○,○,-,下岡皇太,右,櫻井伯斗,右,ストレート,,8,真ん中,見逃し,見逃し三振,,,,1,0,
2026/4/19,2,裏,0,0,2,○,○,-,下岡皇太,右,黒田佑月,左,ストレート,,4,内角,見逃し,,,,,0,0,
2026/4/19,2,裏,0,1,2,○,○,-,下岡皇太,右,黒田佑月,左,ストレート,,11,内角,ボール,,,,,0,0,
2026/4/19,2,裏,1,1,2,○,○,-,下岡皇太,右,黒田佑月,左,カーブ,,5,,インプレー,,二塁打,ライナー,右翼手,0,1,
2026/4/19,2,裏,0,0,2,-,○,○,下岡皇太,右,市川 僚祐,右,ストレート,,6,外角,見逃し,,,,,0,0,
2026/4/19,2,裏,0,1,2,-,○,○,下岡皇太,右,市川 僚祐,右,カーブ,,6,外角,見逃し,,,,,0,0,
2026/4/19,2,裏,0,2,2,-,○,○,下岡皇太,右,市川 僚祐,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/4/19,2,裏,1,2,2,-,○,○,下岡皇太,右,市川 僚祐,右,カーブ,,9,外角,空振り,空振り三振,,,,1,0,
2026/4/19,3,表,0,0,0,-,-,-,中田裕仁,右,土井研照,右,ストレート,,5,外角,インプレー,,単打,ゴロ,左翼手,0,0,
2026/4/19,3,表,0,0,0,○,-,-,中田裕仁,右,川合錬磨,右,カーブ,,14,外角,ボール,,,,,0,0,
2026/4/19,3,表,1,0,0,○,-,-,中田裕仁,右,川合錬磨,右,ストレート,,9,真ん中,インプレー,,二塁打,ライナー,左翼手,0,0,
2026/4/19,3,表,0,0,0,-,○,○,中田裕仁,右,月島夏王翔,右,スライダー,,6,外角,見逃し,,,,,0,0,
2026/4/19,3,表,0,1,0,-,○,○,中田裕仁,右,月島夏王翔,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/4/19,3,表,1,1,0,-,○,○,中田裕仁,右,月島夏王翔,右,ストレート,,3,真ん中,ファウル,,,,,0,0,
2026/4/19,3,表,1,2,0,-,○,○,中田裕仁,右,月島夏王翔,右,カーブ,,8,,インプレー,,単打,ゴロ,左翼手,0,1,
