Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/4/19,1,表,0,0,0,-,-,-,山田恭吾,右,竹内勇輝,左,ストレート,,7,内角,見逃し,,,,,0,0,
2026/4/19,1,表,0,1,0,-,-,-,山田恭吾,右,竹内勇輝,左,スライダー,,13,外角,ボール,,,,,0,0,
2026/4/19,1,表,1,1,0,-,-,-,山田恭吾,右,竹内勇輝,左,ストレート,,8,外角,ファウル,,,,,0,0,
2026/4/19,1,表,1,2,0,-,-,-,山田恭吾,右,竹内勇輝,左,チェンジアップ,,14,,ボール,,,,,0,0,
2026/4/19,1,表,2,2,0,-,-,-,山田恭吾,右,竹内勇輝,左,ストレート,,14,,ボール,,,,,0,0,
2026/4/19,1,表,3,2,0,-,-,-,山田恭吾,右,竹内勇輝,左,ストレート,,14,,ボール,四球,,,,0,0,
2026/4/19,1,表,0,0,0,○,-,-,山田恭吾,右,泉 航平,左,チェンジアップ,,13,,ボール,,,,,0,0,
2026/4/19,1,表,1,0,0,○,-,-,山田恭吾,右,泉 航平,左,スライダー,,4,外角,見逃し,,,,,0,0,
2026/4/19,1,表,1,1,0,○,-,-,山田恭吾,右,泉 航平,左,ストレート,,11,,ファウル,,,,,0,0,
2026/4/19,1,表,1,2,0,○,-,-,山田恭吾,右,泉 航平,左,スライダー,,5,,インプレー,,単打,ゴロ,右翼手,0,0,
2026/4/19,1,表,0,0,0,○,○,-,山田恭吾,右,架谷 岳,右,ストレート,,14,外角,ファウル,,,,,0,0,
2026/4/19,1,表,0,1,0,○,○,-,山田恭吾,右,架谷 岳,右,ストレート,,14,,ボール,,,,,0,0,
2026/4/19,1,表,1,1,0,○,○,-,山田恭吾,右,架谷 岳,右,ストレート,,9,,見逃し,,,,,0,0,
2026/4/19,1,表,1,2,0,○,○,-,山田恭吾,右,架谷 岳,右,ストレート,,14,,ボール,,,,,0,0,
2026/4/19,1,表,2,2,0,○,○,-,山田恭吾,右,架谷 岳,右,ストレート,,14,,ボール,,,,,0,0,
2026/4/19,1,表,3,2,0,○,○,-,山田恭吾,右,架谷 岳,右,ストレート,,14,,ボール,四球,,,,0,0,
2026/4/19,1,表,0,0,0,○,○,○,山田恭吾,右,山本翔士,左,スライダー,,7,,見逃し,,,,,0,0,
2026/4/19,1,表,0,1,0,○,○,○,山田恭吾,右,山本翔士,左,ストレート,,7,,インプレー,,併殺,ゴロ,三塁手,2,0,
2026/4/19,1,表,0,0,2,○,○,-,山田恭吾,右,津澤泰成,左,ストレート,,13,,ボール,,,,,0,0,
2026/4/19,1,表,1,0,2,○,○,-,山田恭吾,右,津澤泰成,左,,,9,,見逃し,,,,,0,0,
2026/4/19,1,表,1,1,2,○,○,-,山田恭吾,右,津澤泰成,左,スライダー,,7,,見逃し,,,,,0,0,
