Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/5/2,1,表,0,0,0,-,-,-,與 賢史朗,右,伊藤悠成,左,カーブ,,11,真ん中,ボール,,,,,0,0,
2026/5/2,1,表,1,0,0,-,-,-,與 賢史朗,右,伊藤悠成,左,チェンジアップ,,9,,見逃し,,,,,0,0,
2026/5/2,1,表,1,1,0,-,-,-,與 賢史朗,右,伊藤悠成,左,カーブ,,14,,ボール,,,,,0,0,
2026/5/2,1,表,2,1,0,-,-,-,與 賢史朗,右,伊藤悠成,左,ストレート,,6,真ん中,ファウル,,,,,0,0,
2026/5/2,1,表,2,2,0,-,-,-,與 賢史朗,右,伊藤悠成,左,チェンジアップ,,4,,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/5/2,1,表,0,0,1,-,-,-,與 賢史朗,右,鈴野愁馬,右,ストレート,,9,外角,見逃し,,,,,0,0,
2026/5/2,1,表,0,1,1,-,-,-,與 賢史朗,右,鈴野愁馬,右,ストレート,,5,外角,インプレー,,アウト,フライ,中堅手,1,0,
2026/5/2,1,表,0,0,2,-,-,-,與 賢史朗,右,池田賢哉,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/5/2,1,表,1,0,2,-,-,-,與 賢史朗,右,池田賢哉,右,スライダー,,8,外角,見逃し,,,,,0,0,
2026/5/2,1,表,1,1,2,-,-,-,與 賢史朗,右,池田賢哉,右,スライダー,,9,外角,見逃し,,,,,0,0,
2026/5/2,1,表,1,2,2,-,-,-,與 賢史朗,右,池田賢哉,右,スライダー,,14,外角,空振り,空振り三振,,,,1,0,
2026/5/2,1,裏,0,0,0,-,-,-,樋渡子竜,左,市川 僚祐,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/5/2,1,裏,1,0,0,-,-,-,樋渡子竜,左,市川 僚祐,右,カーブ,,2,真ん中,見逃し,,,,,0,0,
2026/5/2,1,裏,1,1,0,-,-,-,樋渡子竜,左,市川 僚祐,右,チェンジアップ,,2,外角,インプレー,,アウト,フライ,二塁手,1,0,
2026/5/2,1,裏,0,0,1,-,-,-,樋渡子竜,左,村井虹七登,左,ストレート,,13,内角,ボール,,,,,0,0,
2026/5/2,1,裏,1,0,1,-,-,-,樋渡子竜,左,村井虹七登,左,ストレート,,11,,ボール,,,,,0,0,
2026/5/2,1,裏,2,0,1,-,-,-,樋渡子竜,左,村井虹七登,左,カーブ,,13,内角,ボール,,,,,0,0,
2026/5/2,1,裏,3,0,1,-,-,-,樋渡子竜,左,村井虹七登,左,ストレート,,11,,ボール,四球,,,,0,0,
2026/5/2,1,裏,0,0,1,○,-,-,樋渡子竜,左,植松健太,左,ストレート,,7,内角,見逃し,,,,,0,0,
2026/5/2,1,裏,0,1,1,○,-,-,樋渡子竜,左,植松健太,左,カーブ,,9,,見逃し,,,,,0,0,
2026/5/2,1,裏,0,2,1,-,○,-,樋渡子竜,左,植松健太,左,カーブ,,13,内角,ボール,,,,,0,0,
2026/5/2,1,裏,1,2,1,-,○,-,樋渡子竜,左,植松健太,左,ストレート,,11,真ん中,空振り,空振り三振,,,,1,0,
2026/5/2,1,裏,0,0,2,-,○,-,樋渡子竜,左,中村康太,右,チェンジアップ,,13,真ん中,ボール,,,,,0,0,
2026/5/2,1,裏,1,0,2,-,○,-,樋渡子竜,左,中村康太,右,ストレート,,11,内角,ボール,,,,,0,0,
2026/5/2,1,裏,2,0,2,-,○,-,樋渡子竜,左,中村康太,右,ストレート,,13,,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/5/2,2,表,0,0,0,-,-,-,與 賢史朗,右,茂路晴実,左,カーブ,,9,真ん中,見逃し,,,,,0,0,
2026/5/2,2,表,0,1,0,-,-,-,與 賢史朗,右,茂路晴実,左,チェンジアップ,,13,真ん中,ボール,,,,,0,0,
2026/5/2,2,表,1,1,0,-,-,-,與 賢史朗,右,茂路晴実,左,チェンジアップ,,9,真ん中,ファウル,,,,,0,0,
2026/5/2,2,表,1,2,0,-,-,-,與 賢史朗,右,茂路晴実,左,チェンジアップ,,13,,ボール,,,,,0,0,
2026/5/2,2,表,2,2,0,-,-,-,與 賢史朗,右,茂路晴実,左,ストレート,,7,,空振り,空振り三振,,,,1,0,
2026/5/2,2,表,0,0,1,-,-,-,與 賢史朗,右,市村 創多,右,ストレート,,7,外角,見逃し,,,,,0,0,
2026/5/2,2,表,0,1,1,-,-,-,與 賢史朗,右,市村 創多,右,ストレート,,4,外角,インプレー,,単打,ライナー,中堅手,0,0,
2026/5/2,2,表,0,0,1,○,-,-,與 賢史朗,右,石井海瑛,左,チェンジアップ,,12,,ボール,,,,,0,0,
2026/5/2,2,表,1,0,1,○,-,-,與 賢史朗,右,石井海瑛,左,,,,,牽制,,,,,1,0,
2026/5/2,2,表,1,0,2,-,-,-,與 賢史朗,右,石井海瑛,左,スライダー,,6,,ファウル,,,,,0,0,
2026/5/2,2,表,1,1,2,-,-,-,與 賢史朗,右,石井海瑛,左,スライダー,,11,,ボール,,,,,0,0,
2026/5/2,2,表,2,1,2,-,-,-,與 賢史朗,右,石井海瑛,左,カットボール,,1,,ファウル,,,,,0,0,
2026/5/2,2,表,2,2,2,-,-,-,與 賢史朗,右,石井海瑛,左,ストレート,,14,,ボール,,,,,0,0,
2026/5/2,2,表,3,2,2,-,-,-,與 賢史朗,右,石井海瑛,左,ストレート,,14,,空振り,空振り三振,,,,1,0,
2026/5/2,2,裏,0,0,0,-,-,-,樋渡子竜,左,沢出絃徳,左,カーブ,,1,,インプレー,,アウト,フライ,右翼手,1,0,
2026/5/2,2,裏,0,0,1,-,-,-,樋渡子竜,左,黒田佑月,左,ストレート,,1,内角,見逃し,,,,,0,0,
2026/5/2,2,裏,0,1,1,-,-,-,樋渡子竜,左,黒田佑月,左,ストレート,,13,内角,ボール,,,,,0,0,
2026/5/2,2,裏,1,1,1,-,-,-,樋渡子竜,左,黒田佑月,左,カーブ,,13,内角,ボール,,,,,0,0,
2026/5/2,2,裏,2,1,1,-,-,-,樋渡子竜,左,黒田佑月,左,カーブ,,13,,ボール,,,,,0,0,
2026/5/2,2,裏,3,1,1,-,-,-,樋渡子竜,左,黒田佑月,左,ストレート,,13,,ボール,四球,,,,0,0,
2026/5/2,2,裏,0,0,1,○,-,-,樋渡子竜,左,亀澤祐貴,右,ストレート,,4,真ん中,見逃し,,,,,0,0,
2026/5/2,2,裏,0,1,1,○,-,-,樋渡子竜,左,亀澤祐貴,右,チェンジアップ,,8,,ファウル,,,,,0,0,
2026/5/2,2,裏,0,2,1,○,-,-,樋渡子竜,左,亀澤祐貴,右,ストレート,,13,内角,ボール,,,,,0,0,
2026/5/2,2,裏,1,2,1,○,-,-,樋渡子竜,左,亀澤祐貴,右,ストレート,,3,,インプレー,,アウト,ライナー,左翼手,1,0,
2026/5/2,2,裏,0,0,2,○,-,-,樋渡子竜,左,櫻井伯斗,右,ストレート,,13,外角,ボール,,,,,0,0,
