Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/5/2,1,表,0,0,0,-,-,-,近藤春希,左,竹内勇輝,左,ストレート,,11,,ボール,,,,,0,0,
2026/5/2,1,表,1,0,0,-,-,-,近藤春希,左,竹内勇輝,左,ストレート,,3,,ファウル,,,,,0,0,
2026/5/2,1,表,1,1,0,-,-,-,近藤春希,左,竹内勇輝,左,ストレート,,11,内角,空振り,,,,,0,0,
2026/5/2,1,表,1,2,0,-,-,-,近藤春希,左,竹内勇輝,左,ストレート,,7,,見逃し,見逃し三振,,,,1,0,
2026/5/2,1,表,0,0,1,-,-,-,近藤春希,左,泉 航平,左,ストレート,,4,,ファウル,,,,,0,0,
2026/5/2,1,表,0,1,1,-,-,-,近藤春希,左,泉 航平,左,ストレート,,13,,ボール,,,,,0,0,
2026/5/2,1,表,1,1,1,-,-,-,近藤春希,左,泉 航平,左,カーブ,,7,内角,ファウル,,,,,0,0,
2026/5/2,1,表,1,2,1,-,-,-,近藤春希,左,泉 航平,左,カーブ,,14,,ボール,,,,,0,0,
2026/5/2,1,表,2,2,1,-,-,-,近藤春希,左,泉 航平,左,ストレート,,3,,インプレー,,エラー,ゴロ,一塁手,0,0,
2026/5/2,1,表,0,0,1,○,-,-,近藤春希,左,架谷 岳,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/5/2,1,表,1,0,1,○,-,-,近藤春希,左,架谷 岳,右,ストレート,,6,外角,ファウル,,,,,0,0,
2026/5/2,1,表,1,1,1,○,-,-,近藤春希,左,架谷 岳,右,ストレート,,12,内角,ボール,,,,,0,0,
2026/5/2,1,表,2,1,1,○,-,-,近藤春希,左,架谷 岳,右,チェンジアップ,,13,,ボール,,,,,0,0,
2026/5/2,1,表,3,1,1,○,-,-,近藤春希,左,架谷 岳,右,ストレート,,12,,ボール,四球,,,,0,0,
2026/5/2,1,表,0,0,1,○,○,-,近藤春希,左,山本翔士,左,ストレート,,7,内角,見逃し,,,,,0,0,
2026/5/2,1,表,0,1,1,○,○,-,近藤春希,左,山本翔士,左,カーブ,,8,,ファウル,,,,,0,0,
2026/5/2,1,表,0,2,1,○,○,-,近藤春希,左,山本翔士,左,ストレート,,7,,見逃し,見逃し三振,,,,1,0,
2026/5/2,1,表,0,0,2,○,○,-,近藤春希,左,津澤泰成,左,カーブ,,13,内角,ボール,,,,,0,0,
2026/5/2,1,表,1,0,2,○,○,-,近藤春希,左,津澤泰成,左,スライダー,,7,,ファウル,,,,,0,0,
2026/5/2,1,表,1,1,2,○,○,-,近藤春希,左,津澤泰成,左,ストレート,,7,,見逃し,,,,,0,0,
2026/5/2,1,表,1,2,2,○,○,-,近藤春希,左,津澤泰成,左,スライダー,,13,,空振り,空振り三振,,,,1,0,
2026/5/2,1,裏,0,0,0,-,-,-,野﨑勇一郎,右,山川悟輝,左,ストレート,,4,内角,インプレー,,アウト,ライナー,左翼手,1,0,
2026/5/2,1,裏,0,0,1,-,-,-,野﨑勇一郎,右,月島夏王翔,右,ストレート,,4,外角,見逃し,,,,,0,0,
2026/5/2,1,裏,0,1,1,-,-,-,野﨑勇一郎,右,月島夏王翔,右,チェンジアップ,,7,,見逃し,,,,,0,0,
2026/5/2,1,裏,0,2,1,-,-,-,野﨑勇一郎,右,月島夏王翔,右,ストレート,,12,,空振り,空振り三振,,,,1,0,
2026/5/2,1,裏,0,0,2,-,-,-,野﨑勇一郎,右,川合錬磨,右,カーブ,,8,外角,見逃し,,,,,0,0,
2026/5/2,1,裏,0,1,2,-,-,-,野﨑勇一郎,右,川合錬磨,右,チェンジアップ,,13,外角,ボール,,,,,0,0,
2026/5/2,1,裏,1,1,2,-,-,-,野﨑勇一郎,右,川合錬磨,右,チェンジアップ,,13,,インプレー,,アウト,ゴロ,三塁手,1,0,
2026/5/2,2,表,0,0,0,-,-,-,近藤春希,左,苅安 陸,右,ストレート,,6,外角,インプレー,,単打,ゴロ,中堅手,0,0,
2026/5/2,2,表,0,0,0,○,-,-,近藤春希,左,東元龍成,右,チェンジアップ,,3,,インプレー,,犠打,ゴロ,投手,1,0,
2026/5/2,2,表,0,0,1,-,○,-,近藤春希,左,西川晃成,右,ストレート,,13,外角,インプレー,,アウト,フライ,中堅手,1,0,
2026/5/2,2,表,0,0,2,-,○,-,近藤春希,左,前谷内琉斗,左,ストレート,,12,,インプレー,,アウト,フライ,遊撃手,1,0,
2026/5/2,2,裏,0,0,0,-,-,-,野﨑勇一郎,右,今岡 歩夢,左,チェンジアップ,,8,内角,見逃し,,,,,0,0,
2026/5/2,2,裏,0,1,0,-,-,-,野﨑勇一郎,右,今岡 歩夢,左,ストレート,,1,,ファウル,,,,,0,0,
2026/5/2,2,裏,0,2,0,-,-,-,野﨑勇一郎,右,今岡 歩夢,左,チェンジアップ,,13,,インプレー,,アウト,ゴロ,一塁手,1,0,
2026/5/2,2,裏,0,0,1,-,-,-,野﨑勇一郎,右,小林陸斗,左,カーブ,,13,,ボール,,,,,0,0,
2026/5/2,2,裏,1,0,1,-,-,-,野﨑勇一郎,右,小林陸斗,左,ストレート,,7,,見逃し,,,,,0,0,
2026/5/2,2,裏,1,1,1,-,-,-,野﨑勇一郎,右,小林陸斗,左,ストレート,,14,,ボール,,,,,0,0,
2026/5/2,2,裏,2,1,1,-,-,-,野﨑勇一郎,右,小林陸斗,左,チェンジアップ,,14,,ボール,,,,,0,0,
2026/5/2,2,裏,3,1,1,-,-,-,野﨑勇一郎,右,小林陸斗,左,ストレート,,6,,見逃し,,,,,0,0,
2026/5/2,2,裏,3,2,1,-,-,-,野﨑勇一郎,右,小林陸斗,左,,,5,,インプレー,,二塁打,ライナー,中堅手,0,0,
2026/5/2,2,裏,0,0,1,-,○,-,野﨑勇一郎,右,後藤耀介,右,チェンジアップ,,14,外角,ボール,,,,,0,0,
2026/5/2,2,裏,1,0,1,-,○,-,野﨑勇一郎,右,後藤耀介,右,カーブ,,2,外角,ファウル,,,,,0,0,
2026/5/2,2,裏,1,1,1,-,○,-,野﨑勇一郎,右,後藤耀介,右,ストレート,,9,,空振り,,,,,0,0,
