Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/5/3,1,表,0,0,0,-,-,-,山田恭吾,右,久保誓真,右,ストレート,,2,,ファウル,,,,,0,0,
2026/5/3,1,表,0,1,0,-,-,-,山田恭吾,右,久保誓真,右,スライダー,,9,,見逃し,,,,,0,0,
2026/5/3,1,表,0,2,0,-,-,-,山田恭吾,右,久保誓真,右,ストレート,,12,,空振り,空振り三振,,,,1,0,
2026/5/3,1,表,0,0,1,-,-,-,山田恭吾,右,土田悠翔,左,ストレート,,7,,見逃し,,,,,0,0,
2026/5/3,1,表,0,1,1,-,-,-,山田恭吾,右,土田悠翔,左,スライダー,,13,,ボール,,,,,0,0,
2026/5/3,1,表,1,1,1,-,-,-,山田恭吾,右,土田悠翔,左,スライダー,,13,,ボール,,,,,0,0,
2026/5/3,1,表,2,1,1,-,-,-,山田恭吾,右,土田悠翔,左,ストレート,,14,,死球,,,,,0,0,
2026/5/3,1,表,0,0,1,○,-,-,山田恭吾,右,田丸晃己,右,スライダー,,11,,ボール,,,,,0,0,
2026/5/3,1,表,1,0,1,-,○,-,山田恭吾,右,田丸晃己,右,スライダー,,8,,見逃し,,,,,0,0,
2026/5/3,1,表,1,1,1,-,○,-,山田恭吾,右,田丸晃己,右,ストレート,,11,,ボール,,,,,0,0,
2026/5/3,1,表,2,1,1,-,○,-,山田恭吾,右,田丸晃己,右,ストレート,,8,,見逃し,,,,,0,0,
2026/5/3,1,表,2,2,1,-,○,-,山田恭吾,右,田丸晃己,右,ストレート,,11,,ファウル,,,,,0,0,
2026/5/3,1,表,2,2,1,-,○,-,山田恭吾,右,田丸晃己,右,スライダー,,14,,ボール,,,,,0,0,
2026/5/3,1,表,3,2,1,-,○,-,山田恭吾,右,田丸晃己,右,スライダー,,9,,インプレー,,二塁打,フライ,左翼手,0,1,
2026/5/3,1,表,0,0,1,-,○,-,山田恭吾,右,細川叶人,右,ストレート,,14,,ボール,,,,,0,0,
2026/5/3,1,表,1,0,1,-,○,-,山田恭吾,右,細川叶人,右,フォーク,,13,,ボール,,,,,0,0,
2026/5/3,1,表,2,0,1,-,○,-,山田恭吾,右,細川叶人,右,ストレート,,6,,インプレー,,アウト,フライ,右翼手,1,0,
2026/5/3,1,表,0,0,2,-,-,○,山田恭吾,右,小林拓斗,右,ストレート,,13,,ボール,,,,,0,0,
2026/5/3,1,表,1,0,2,-,-,○,山田恭吾,右,小林拓斗,右,スライダー,,9,,見逃し,,,,,0,0,
