Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/5/9,1,表,0,0,0,-,-,-,藤川泰斗,左,市川 僚祐,右,ストレート,,4,,ファウル,,,,,0,0,
2026/5/9,1,表,0,1,0,-,-,-,藤川泰斗,左,市川 僚祐,右,ストレート,137,12,,ボール,,,,,0,0,
2026/5/9,1,表,1,1,0,-,-,-,藤川泰斗,左,市川 僚祐,右,ストレート,133,2,,ファウル,,,,,0,0,
2026/5/9,1,表,1,2,0,-,-,-,藤川泰斗,左,市川 僚祐,右,ストレート,126,1,,インプレー,,単打,ゴロ,中堅手,0,0,
2026/5/9,1,表,0,0,0,○,-,-,藤川泰斗,左,村井虹七登,左,ストレート,125,7,,見逃し,,,,,0,0,
2026/5/9,1,表,0,1,0,○,-,-,藤川泰斗,左,村井虹七登,左,ストレート,,12,,ファウル,,,,,0,0,
2026/5/9,1,表,0,2,0,○,-,-,藤川泰斗,左,村井虹七登,左,ストレート,136,12,,空振り,空振り三振,,,,1,0,
2026/5/9,1,表,0,0,1,○,-,-,藤川泰斗,左,植松健太,左,ストレート,133,11,,ボール,,,,,0,0,
2026/5/9,1,表,1,0,1,○,-,-,藤川泰斗,左,植松健太,左,ストレート,136,7,内角,ファウル,,,,,0,0,
2026/5/9,1,表,1,1,1,○,-,-,藤川泰斗,左,植松健太,左,ストレート,,1,,ファウル,,,,,0,0,
2026/5/9,1,表,1,2,1,○,-,-,藤川泰斗,左,植松健太,左,スライダー,125,12,内角,ファウル,,,,,0,0,
2026/5/9,1,表,1,2,1,○,-,-,藤川泰斗,左,植松健太,左,ストレート,136,2,,インプレー,,単打,ライナー,左翼手,0,0,
2026/5/9,1,表,0,0,1,○,○,-,藤川泰斗,左,中村康太,右,スライダー,125,2,,見逃し,,,,,0,0,
2026/5/9,1,表,0,1,1,○,○,-,藤川泰斗,左,中村康太,右,,124,,内角,ボール,,,,,0,0,
2026/5/9,1,表,1,1,1,○,○,-,藤川泰斗,左,中村康太,右,ストレート,136,11,,インプレー,,アウト,フライ,一塁手,1,0,
2026/5/9,1,表,0,0,2,○,○,-,藤川泰斗,左,沢出絃徳,左,スライダー,122,13,,ボール,,,,,0,0,
2026/5/9,1,表,1,0,2,○,○,-,藤川泰斗,左,沢出絃徳,左,ストレート,138,6,,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/5/9,1,裏,0,0,0,-,-,-,與 賢史朗,右,久保誓真,右,スライダー,112,14,外角,ボール,,,,,0,0,
2026/5/9,1,裏,1,0,0,-,-,-,與 賢史朗,右,久保誓真,右,ストレート,139,11,,ボール,,,,,0,0,
2026/5/9,1,裏,2,0,0,-,-,-,與 賢史朗,右,久保誓真,右,ストレート,135,5,,見逃し,,,,,0,0,
2026/5/9,1,裏,2,1,0,-,-,-,與 賢史朗,右,久保誓真,右,ストレート,139,3,,ファウル,,,,,0,0,
2026/5/9,1,裏,2,2,0,-,-,-,與 賢史朗,右,久保誓真,右,ストレート,136,6,,インプレー,,アウト,フライ,右翼手,1,0,
2026/5/9,1,裏,0,0,1,-,-,-,與 賢史朗,右,土田悠翔,左,スライダー,121,7,,見逃し,,,,,0,0,
2026/5/9,1,裏,0,1,1,-,-,-,與 賢史朗,右,土田悠翔,左,スライダー,116,5,,見逃し,,,,,0,0,
2026/5/9,1,裏,0,2,1,-,-,-,與 賢史朗,右,土田悠翔,左,チェンジアップ,105,14,,死球,,,,,0,0,
2026/5/9,1,裏,0,0,1,○,-,-,與 賢史朗,右,池邉由伸,左,チェンジアップ,,13,,ボール,,,,,0,0,
2026/5/9,1,裏,1,0,1,○,-,-,與 賢史朗,右,池邉由伸,左,ストレート,,13,,ボール,,,,,0,0,
2026/5/9,1,裏,2,0,1,○,-,-,與 賢史朗,右,池邉由伸,左,スライダー,116,1,,見逃し,,,,,0,0,
2026/5/9,1,裏,2,1,1,○,-,-,與 賢史朗,右,池邉由伸,左,スライダー,117,12,,ボール,,,,,0,0,
2026/5/9,1,裏,3,1,1,○,-,-,與 賢史朗,右,池邉由伸,左,ストレート,,4,,見逃し,,,,,0,0,
2026/5/9,1,裏,3,2,1,-,○,-,與 賢史朗,右,池邉由伸,左,ストレート,,5,,インプレー,,単打,ライナー,右翼手,0,1,
2026/5/9,1,裏,0,0,1,○,-,-,與 賢史朗,右,細川叶人,右,スライダー,,14,外角,空振り,,,,,0,0,
2026/5/9,1,裏,0,1,1,○,-,-,與 賢史朗,右,細川叶人,右,スライダー,111,8,外角,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/5/9,1,裏,0,0,2,-,○,-,與 賢史朗,右,小林拓斗,右,カーブ,95,12,,ボール,,,,,0,0,
2026/5/9,1,裏,1,0,2,-,○,-,與 賢史朗,右,小林拓斗,右,スライダー,,12,,ボール,,,,,0,0,
2026/5/9,1,裏,2,0,2,-,○,-,與 賢史朗,右,小林拓斗,右,ストレート,,14,,ボール,,,,,0,0,
2026/5/9,1,裏,3,0,2,-,○,-,與 賢史朗,右,小林拓斗,右,スライダー,,8,外角,見逃し,,,,,0,0,
2026/5/9,1,裏,3,1,2,-,○,-,與 賢史朗,右,小林拓斗,右,スライダー,,14,,空振り,,,,,0,0,
2026/5/9,1,裏,3,2,2,-,○,-,與 賢史朗,右,小林拓斗,右,スライダー,,9,外角,インプレー,,アウト,フライ,左翼手,1,0,
2026/5/9,2,表,0,0,0,-,-,-,藤川泰斗,左,亀澤祐貴,右,ストレート,137,13,外角,ボール,,,,,0,0,
2026/5/9,2,表,1,0,0,-,-,-,藤川泰斗,左,亀澤祐貴,右,ストレート,137,13,,ボール,,,,,0,0,
2026/5/9,2,表,2,0,0,-,-,-,藤川泰斗,左,亀澤祐貴,右,ストレート,134,13,,ボール,,,,,0,0,
2026/5/9,2,表,3,0,0,-,-,-,藤川泰斗,左,亀澤祐貴,右,ストレート,132,4,,インプレー,,二塁打,ライナー,左翼手,0,0,
2026/5/9,2,表,0,0,0,-,○,-,藤川泰斗,左,黒田佑月,左,ストレート,,12,内角,ボール,,,,,0,0,
2026/5/9,2,表,1,0,0,-,○,-,藤川泰斗,左,黒田佑月,左,ストレート,135,3,,ファウル,,,,,0,0,
2026/5/9,2,表,1,1,0,-,○,-,藤川泰斗,左,黒田佑月,左,フォーク,124,6,,インプレー,,犠打,ゴロ,捕手,1,0,
2026/5/9,2,表,0,0,1,-,-,○,藤川泰斗,左,櫻井伯斗,右,カーブ,,6,,見逃し,,,,,0,0,
2026/5/9,2,表,0,1,1,-,-,○,藤川泰斗,左,櫻井伯斗,右,フォーク,126,14,,ボール,,,,,0,0,
2026/5/9,2,表,1,1,1,-,-,○,藤川泰斗,左,櫻井伯斗,右,ストレート,137,13,,ボール,,,,,0,0,
2026/5/9,2,表,2,1,1,-,-,○,藤川泰斗,左,櫻井伯斗,右,ストレート,139,3,外角,インプレー,,アウト,ゴロ,遊撃手,1,1,
2026/5/9,2,表,0,0,2,-,-,-,藤川泰斗,左,藤田海輝,右,ストレート,139,5,,見逃し,,,,,0,0,
2026/5/9,2,表,0,1,2,-,-,-,藤川泰斗,左,藤田海輝,右,ストレート,,7,,見逃し,,,,,0,0,
2026/5/9,2,表,0,2,2,-,-,-,藤川泰斗,左,藤田海輝,右,フォーク,125,14,,ボール,,,,,0,0,
2026/5/9,2,表,1,2,2,-,-,-,藤川泰斗,左,藤田海輝,右,ストレート,,12,,空振り,空振り三振,,,,1,0,
2026/5/9,2,裏,0,0,0,-,-,-,與 賢史朗,右,山田久敬,左,ストレート,138,11,,ボール,,,,,0,0,
2026/5/9,2,裏,1,0,0,-,-,-,與 賢史朗,右,山田久敬,左,スライダー,119,11,,ボール,,,,,0,0,
2026/5/9,2,裏,2,0,0,-,-,-,與 賢史朗,右,山田久敬,左,ストレート,,12,,ボール,,,,,0,0,
