Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/5/10,1,表,0,0,0,-,-,-,高平行栄,右,市村 創多,右,フォーク,,8,,インプレー,,アウト,フライ,右翼手,1,0,
2026/5/10,1,表,0,0,1,-,-,-,高平行栄,右,石井海瑛,左,ストレート,,5,,見逃し,,,,,0,0,
2026/5/10,1,表,0,1,1,-,-,-,高平行栄,右,石井海瑛,左,ストレート,,9,,インプレー,,単打,ライナー,右翼手,0,0,
2026/5/10,1,表,0,0,1,○,-,-,高平行栄,右,伊藤悠成,左,ストレート,,13,,ボール,,,,,0,0,
2026/5/10,1,表,1,0,1,○,-,-,高平行栄,右,伊藤悠成,左,ストレート,,4,内角,インプレー,,併殺,ゴロ,遊撃手,2,0,
2026/5/10,1,裏,0,0,0,-,-,-,丸山椋介,右,山本優人,右,ストレート,,9,,見逃し,,,,,0,0,
2026/5/10,1,裏,0,1,0,-,-,-,丸山椋介,右,山本優人,右,ストレート,,5,外角,インプレー,,アウト,ゴロ,三塁手,1,0,
2026/5/10,1,裏,0,0,1,-,-,-,丸山椋介,右,渡辺健太郎,右,フォーク,,14,外角,ボール,,,,,0,0,
2026/5/10,1,裏,1,0,1,-,-,-,丸山椋介,右,渡辺健太郎,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/5/10,1,裏,2,0,1,-,-,-,丸山椋介,右,渡辺健太郎,右,ストレート,,11,内角,ボール,,,,,0,0,
2026/5/10,1,裏,3,0,1,-,-,-,丸山椋介,右,渡辺健太郎,右,ストレート,,8,外角,ファウル,,,,,0,0,
2026/5/10,1,裏,3,1,1,-,-,-,丸山椋介,右,渡辺健太郎,右,ストレート,,3,,ファウル,,,,,0,0,
2026/5/10,1,裏,3,2,1,-,-,-,丸山椋介,右,渡辺健太郎,右,ストレート,,11,外角,インプレー,,アウト,フライ,中堅手,1,0,
2026/5/10,1,裏,0,0,2,-,-,-,丸山椋介,右,相上征士郎,右,ストレート,,12,外角,ファウル,,,,,0,0,
2026/5/10,1,裏,0,1,2,-,-,-,丸山椋介,右,相上征士郎,右,ストレート,,3,外角,インプレー,,単打,ゴロ,左翼手,0,0,
2026/5/10,1,裏,0,0,2,○,-,-,丸山椋介,右,石浦吉人,左,チェンジアップ,,14,,ボール,,,,,0,0,
2026/5/10,1,裏,1,0,2,○,-,-,丸山椋介,右,石浦吉人,左,ストレート,,7,,見逃し,,,,,0,0,
2026/5/10,1,裏,1,1,2,○,-,-,丸山椋介,右,石浦吉人,左,フォーク,,7,,見逃し,,,,,0,0,
2026/5/10,1,裏,1,2,2,○,-,-,丸山椋介,右,石浦吉人,左,スライダー,,14,,ボール,,,,,0,0,
2026/5/10,1,裏,2,2,2,○,-,-,丸山椋介,右,石浦吉人,左,ストレート,,1,,インプレー,,単打,ゴロ,二塁手,0,0,
2026/5/10,1,裏,0,0,2,○,-,○,丸山椋介,右,淀川理久,左,ストレート,,1,,見逃し,,,,,0,0,
2026/5/10,1,裏,0,1,2,○,-,○,丸山椋介,右,淀川理久,左,ストレート,,1,,インプレー,,二塁打,フライ,右翼手,0,2,
2026/5/10,1,裏,0,0,2,-,○,-,丸山椋介,右,越野虎次郎,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/5/10,1,裏,1,0,2,-,○,-,丸山椋介,右,越野虎次郎,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/5/10,1,裏,2,0,2,-,○,-,丸山椋介,右,越野虎次郎,右,ストレート,,13,外角,ボール,,,,,0,0,
2026/5/10,1,裏,3,0,2,-,○,-,丸山椋介,右,越野虎次郎,右,ストレート,,8,外角,見逃し,,,,,0,0,
2026/5/10,1,裏,3,1,2,-,○,-,丸山椋介,右,越野虎次郎,右,ストレート,,5,,ファウル,空振り三振,,,,0,0,
2026/5/10,1,裏,3,2,2,-,○,-,丸山椋介,右,越野虎次郎,右,ストレート,,13,内角,空振り,,,,,1,0,
2026/5/10,2,表,0,0,0,-,-,-,高平行栄,右,茂路晴実,左,ストレート,,13,内角,ボール,,,,,0,0,
2026/5/10,2,表,1,0,0,-,-,-,高平行栄,右,茂路晴実,左,ストレート,,4,,ファウル,,,,,0,0,
2026/5/10,2,表,1,1,0,-,-,-,高平行栄,右,茂路晴実,左,ストレート,,1,,ファウル,,,,,0,0,
2026/5/10,2,表,1,2,0,-,-,-,高平行栄,右,茂路晴実,左,フォーク,,13,,インプレー,,単打,ゴロ,左翼手,0,0,
2026/5/10,2,表,0,0,0,○,-,-,高平行栄,右,中田 諄,左,ストレート,,9,,見逃し,,,,,0,0,
2026/5/10,2,表,0,1,0,-,○,-,高平行栄,右,中田 諄,左,ストレート,,11,,ボール,,,,,0,0,
2026/5/10,2,表,1,1,0,-,○,-,高平行栄,右,中田 諄,左,カーブ,,13,,ボール,,,,,0,0,
2026/5/10,2,表,2,1,0,-,○,-,高平行栄,右,中田 諄,左,ストレート,,1,,ファウル,,,,,0,0,
2026/5/10,2,表,2,2,0,-,○,-,高平行栄,右,中田 諄,左,スライダー,,11,,ボール,四球,,,,0,0,
2026/5/10,2,表,3,2,0,-,○,-,高平行栄,右,中田 諄,左,ストレート,,11,,ボール,,,,,0,0,
2026/5/10,2,表,0,0,0,○,○,-,高平行栄,右,田中允貴,右,ストレート,,6,外角,見逃し,,,,,0,0,
2026/5/10,2,表,0,1,0,○,○,-,高平行栄,右,田中允貴,右,ストレート,,3,外角,インプレー,,アウト,ゴロ,投手,1,0,
2026/5/10,2,表,0,0,1,-,○,○,高平行栄,右,嶋谷翔太郎,右,ストレート,,6,外角,インプレー,,アウト,ゴロ,一塁手,1,0,
2026/5/10,2,表,0,0,2,○,-,○,高平行栄,右,椎名陽大,右,ストレート,,5,外角,見逃し,,,,,0,0,
2026/5/10,2,表,0,1,2,○,-,○,高平行栄,右,椎名陽大,右,ストレート,,4,,ファウル,,,,,0,0,
2026/5/10,2,表,0,2,2,○,-,○,高平行栄,右,椎名陽大,右,フォーク,,14,,ボール,,,,,0,0,
2026/5/10,2,表,1,2,2,○,-,○,高平行栄,右,椎名陽大,右,ストレート,,14,,ボール,,,,,0,0,
2026/5/10,2,表,2,2,2,-,○,○,高平行栄,右,椎名陽大,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/5/10,2,表,3,2,2,-,○,○,高平行栄,右,椎名陽大,右,ストレート,,12,,インプレー,,単打,フライ,右翼手,0,1,
2026/5/10,2,表,0,0,2,○,-,○,高平行栄,右,佐藤 瑛太,右,,,,外角,牽制,,,,,0,0,
2026/5/10,2,表,0,0,2,○,-,○,高平行栄,右,佐藤 瑛太,右,ストレート,,11,外角,空振り,,,,,0,0,
2026/5/10,2,表,0,1,2,○,-,○,高平行栄,右,佐藤 瑛太,右,ストレート,,9,,見逃し,,,,,0,0,
2026/5/10,2,表,0,2,2,○,-,○,高平行栄,右,佐藤 瑛太,右,スライダー,,3,,ファウル,,,,,0,0,
