Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/5/10,1,表,0,0,0,-,-,-,的場洸稀,右,土田悠翔,左,ストレート,,5,真ん中,見逃し,,,,,0,0,
2026/5/10,1,表,0,1,0,-,-,-,的場洸稀,右,土田悠翔,左,スライダー,,3,外角,ファウル,,,,,0,0,
2026/5/10,1,表,0,2,0,-,-,-,的場洸稀,右,土田悠翔,左,ストレート,,11,内角,ボール,,,,,0,0,
2026/5/10,1,表,1,2,0,-,-,-,的場洸稀,右,土田悠翔,左,ストレート,,11,内角,ボール,,,,,0,0,
2026/5/10,1,表,2,2,0,-,-,-,的場洸稀,右,土田悠翔,左,スライダー,,2,外角,ファウル,,,,,0,0,
2026/5/10,1,表,2,2,0,-,-,-,的場洸稀,右,土田悠翔,左,ストレート,,13,外角,ボール,,,,,0,0,
2026/5/10,1,表,3,2,0,-,-,-,的場洸稀,右,土田悠翔,左,ストレート,,8,真ん中,インプレー,,アウト,フライ,遊撃手,1,0,
2026/5/10,1,表,0,0,1,-,-,-,的場洸稀,右,山田久敬,左,ストレート,,12,真ん中,ボール,,,,,0,0,
2026/5/10,1,表,1,0,1,-,-,-,的場洸稀,右,山田久敬,左,ストレート,139,14,真ん中,ボール,,,,,0,0,
2026/5/10,1,表,1,0,1,-,-,-,的場洸稀,右,山田久敬,左,ストレート,139,14,真ん中,ボール,,,,,0,0,
2026/5/10,1,表,2,0,1,-,-,-,的場洸稀,右,山田久敬,左,ストレート,,8,,見逃し,,,,,0,0,
2026/5/10,1,表,2,1,1,-,-,-,的場洸稀,右,山田久敬,左,ストレート,,4,真ん中,ファウル,,,,,0,0,
2026/5/10,1,表,2,2,1,-,-,-,的場洸稀,右,山田久敬,左,,,6,真ん中,ファウル,,,,,0,0,
2026/5/10,1,表,2,2,1,-,-,-,的場洸稀,右,山田久敬,左,ストレート,,7,内角,インプレー,,単打,ライナー,右翼手,0,0,
2026/5/10,1,表,0,0,1,○,-,-,的場洸稀,右,池邉由伸,左,スライダー,,4,真ん中,見逃し,,,,,0,0,
2026/5/10,1,表,0,1,1,○,-,-,的場洸稀,右,池邉由伸,左,スライダー,,14,外角,ボール,,,,,0,0,
2026/5/10,1,表,1,1,1,○,-,-,的場洸稀,右,池邉由伸,左,ストレート,,6,真ん中,ファウル,,,,,0,0,
2026/5/10,1,表,1,2,1,○,-,-,的場洸稀,右,池邉由伸,左,スライダー,,12,内角,ボール,,,,,0,0,
2026/5/10,1,表,2,2,1,○,-,-,的場洸稀,右,池邉由伸,左,スライダー,,13,内角,空振り,空振り三振,,,,1,0,
2026/5/10,1,表,0,0,2,-,○,-,的場洸稀,右,細川叶人,右,スライダー,,13,真ん中,ボール,,,,,0,0,
2026/5/10,1,表,1,0,2,-,○,-,的場洸稀,右,細川叶人,右,ストレート,,6,真ん中,ファウル,,,,,0,0,
2026/5/10,1,表,1,1,2,-,○,-,的場洸稀,右,細川叶人,右,フォーク,,14,外角,ボール,,,,,0,0,
2026/5/10,1,表,2,1,2,-,○,-,的場洸稀,右,細川叶人,右,ストレート,,14,真ん中,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/5/10,1,裏,0,0,0,-,-,-,向嶋大輔,右,市川 僚祐,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/5/10,1,裏,1,0,0,-,-,-,向嶋大輔,右,市川 僚祐,右,ストレート,,9,外角,見逃し,,,,,0,0,
2026/5/10,1,裏,1,1,0,-,-,-,向嶋大輔,右,市川 僚祐,右,ストレート,,6,外角,ファウル,,,,,0,0,
2026/5/10,1,裏,1,2,0,-,-,-,向嶋大輔,右,市川 僚祐,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/5/10,1,裏,2,2,0,-,-,-,向嶋大輔,右,市川 僚祐,右,ストレート,,9,外角,ファウル,,,,,0,0,
2026/5/10,1,裏,2,2,0,-,-,-,向嶋大輔,右,市川 僚祐,右,ストレート,,4,内角,インプレー,,アウト,フライ,左翼手,1,0,
2026/5/10,1,裏,0,0,1,-,-,-,向嶋大輔,右,村井虹七登,左,ストレート,,8,真ん中,見逃し,,,,,0,0,
2026/5/10,1,裏,0,1,1,-,-,-,向嶋大輔,右,村井虹七登,左,ストレート,,4,真ん中,ファウル,,,,,0,0,
2026/5/10,1,裏,0,2,1,-,-,-,向嶋大輔,右,村井虹七登,左,ストレート,,2,真ん中,ファウル,,,,,0,0,
2026/5/10,1,裏,0,2,1,-,-,-,向嶋大輔,右,村井虹七登,左,ストレート,,12,真ん中,ボール,,,,,0,0,
2026/5/10,1,裏,1,2,1,-,-,-,向嶋大輔,右,村井虹七登,左,ストレート,,9,外角,ファウル,,,,,0,0,
2026/5/10,1,裏,1,2,1,-,-,-,向嶋大輔,右,村井虹七登,左,フォーク,,7,真ん中,空振り,空振り三振,,,,1,0,
2026/5/10,1,裏,0,0,2,-,-,-,向嶋大輔,右,植松健太,左,ストレート,,11,真ん中,ボール,,,,,0,0,
2026/5/10,1,裏,1,0,2,-,-,-,向嶋大輔,右,植松健太,左,ストレート,,14,真ん中,ボール,,,,,0,0,
