Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/5/16,1,表,0,0,0,-,-,-,野﨑勇一郎,右,伊藤悠成,左,チェンジアップ,,11,内角,ボール,,,,,0,0,
2026/5/16,1,表,1,0,0,-,-,-,野﨑勇一郎,右,伊藤悠成,左,ストレート,,6,真ん中,ファウル,,,,,0,0,
2026/5/16,1,表,1,1,0,-,-,-,野﨑勇一郎,右,伊藤悠成,左,ストレート,,11,内角,ボール,,,,,0,0,
2026/5/16,1,表,2,1,0,-,-,-,野﨑勇一郎,右,伊藤悠成,左,ストレート,,1,真ん中,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/5/16,1,表,0,0,1,-,-,-,野﨑勇一郎,右,池田賢哉,右,チェンジアップ,,4,外角,見逃し,,,,,0,0,
2026/5/16,1,表,0,1,1,-,-,-,野﨑勇一郎,右,池田賢哉,右,スライダー,,1,外角,インプレー,,アウト,フライ,中堅手,1,0,
2026/5/16,1,表,0,0,2,-,-,-,野﨑勇一郎,右,鈴野愁馬,右,ストレート,,9,真ん中,見逃し,,,,,0,0,
2026/5/16,1,表,0,1,2,-,-,-,野﨑勇一郎,右,鈴野愁馬,右,ストレート,,6,外角,見逃し,,,,,0,0,
2026/5/16,1,表,0,2,2,-,-,-,野﨑勇一郎,右,鈴野愁馬,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/5/16,1,表,1,2,2,-,-,-,野﨑勇一郎,右,鈴野愁馬,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/5/16,1,表,2,2,2,-,-,-,野﨑勇一郎,右,鈴野愁馬,右,チェンジアップ,,11,外角,ボール,,,,,0,0,
2026/5/16,1,表,3,2,2,-,-,-,野﨑勇一郎,右,鈴野愁馬,右,ストレート,,9,外角,見逃し,見逃し三振,,,,1,0,
2026/5/16,1,裏,0,0,0,-,-,-,樋渡子竜,左,竹内勇輝,左,ストレート,,7,内角,見逃し,,,,,0,0,
2026/5/16,1,裏,0,1,0,-,-,-,樋渡子竜,左,竹内勇輝,左,ストレート,,2,内角,ファウル,,,,,0,0,
2026/5/16,1,裏,0,2,0,-,-,-,樋渡子竜,左,竹内勇輝,左,カーブ,,12,内角,死球,,,,,0,0,
