Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/5/16,1,表,0,0,0,-,-,-,伴,右,櫻井飛源,左,,,,,インプレー,,二塁打,ライナー,中堅手,0,0,
2026/5/16,1,表,0,0,0,-,○,-,伴,右,中野栞汰,左,ストレート,,7,,見逃し,,,,,0,0,
2026/5/16,1,表,0,1,0,-,○,-,伴,右,中野栞汰,左,カーブ,,,,ボール,,,,,0,0,
2026/5/16,1,表,1,1,0,-,○,-,伴,右,中野栞汰,左,ストレート,,11,,ボール,,,,,0,0,
2026/5/16,1,表,2,1,0,-,-,○,伴,右,中野栞汰,左,ストレート,,9,,インプレー,,犠飛,フライ,中堅手,1,1,
2026/5/16,1,表,0,0,1,-,-,-,伴,右,山岸 拓登,右,スライダー,,11,,ボール,,,,,0,0,
2026/5/16,1,表,1,0,1,-,-,-,伴,右,山岸 拓登,右,ストレート,,14,,空振り,,,,,0,0,
2026/5/16,1,表,1,1,1,-,-,-,伴,右,山岸 拓登,右,ストレート,,3,,空振り,,,,,0,0,
2026/5/16,1,表,1,2,1,-,-,-,伴,右,山岸 拓登,右,スライダー,,14,,ボール,,,,,0,0,
2026/5/16,1,表,2,2,1,-,-,-,伴,右,山岸 拓登,右,ストレート,,8,,ファウル,,,,,0,0,
2026/5/16,1,表,2,2,1,-,-,-,伴,右,山岸 拓登,右,ストレート,,11,,ボール,,,,,0,0,
2026/5/16,1,表,3,2,1,-,-,-,伴,右,山岸 拓登,右,ストレート,,1,,空振り,空振り三振,,,,1,0,
2026/5/16,1,表,0,0,2,-,-,-,伴,右,人見泰成,右,スライダー,,13,,ボール,,,,,0,0,
2026/5/16,1,表,1,0,2,-,-,-,伴,右,人見泰成,右,ストレート,,4,,ファウル,,,,,0,0,
2026/5/16,1,表,1,1,2,-,-,-,伴,右,人見泰成,右,ストレート,,14,,ボール,,,,,0,0,
2026/5/16,1,表,2,1,2,-,-,-,伴,右,人見泰成,右,ツーシーム,,5,,ファウル,,,,,0,0,
2026/5/16,1,表,2,2,2,-,-,-,伴,右,人見泰成,右,,,,,ボール,,,,,0,0,
2026/5/16,1,表,3,2,2,-,-,-,伴,右,人見泰成,右,ストレート,,7,,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/5/16,1,裏,0,0,0,-,-,-,山口蒼介,右,宮澤 眞,左,,,,,インプレー,,単打,ゴロ,三塁手,0,0,
2026/5/16,1,裏,0,0,0,○,-,-,山口蒼介,右,樋山 洸聖,右,スライダー,,13,,ボール,,,,,0,0,
2026/5/16,1,裏,1,0,0,-,○,-,山口蒼介,右,樋山 洸聖,右,ストレート,,13,,ボール,,,,,0,0,
2026/5/16,1,裏,2,0,0,-,-,○,山口蒼介,右,樋山 洸聖,右,ストレート,,3,,見逃し,,,,,0,0,
2026/5/16,1,裏,2,1,0,-,-,○,山口蒼介,右,樋山 洸聖,右,ストレート,,12,,ボール,,,,,0,0,
2026/5/16,1,裏,3,1,0,-,-,○,山口蒼介,右,樋山 洸聖,右,ストレート,,14,,ボール,四球,,,,0,0,
2026/5/16,1,裏,0,0,0,○,-,○,山口蒼介,右,山岸 大真,右,スライダー,,14,,空振り,,,,,0,0,
2026/5/16,1,裏,0,1,0,○,-,○,山口蒼介,右,山岸 大真,右,ストレート,,11,,インプレー,,アウト,フライ,一塁手,1,0,
2026/5/16,1,裏,0,0,1,○,-,○,山口蒼介,右,古田 悠真,右,スライダー,,11,,ボール,,,,,0,0,
2026/5/16,1,裏,1,0,1,-,○,○,山口蒼介,右,古田 悠真,右,ストレート,,2,,ファウル,,,,,0,0,
2026/5/16,1,裏,1,1,1,-,○,○,山口蒼介,右,古田 悠真,右,ストレート,,11,,ボール,,,,,0,0,
2026/5/16,1,裏,2,1,1,-,○,○,山口蒼介,右,古田 悠真,右,ストレート,,12,,ボール,,,,,0,0,
2026/5/16,1,裏,3,1,1,-,○,○,山口蒼介,右,古田 悠真,右,ストレート,,11,,死球,,,,,0,0,
2026/5/16,1,裏,0,0,1,○,○,○,山口蒼介,右,井戸 新太郎,左,ストレート,,11,,ボール,,,,,0,0,
2026/5/16,1,裏,1,0,1,○,○,○,山口蒼介,右,井戸 新太郎,左,ストレート,,13,,ボール,,,,,0,0,
2026/5/16,1,裏,2,0,1,○,○,○,山口蒼介,右,井戸 新太郎,左,ストレート,,13,,空振り,,,,,0,0,
2026/5/16,1,裏,2,1,1,○,○,○,山口蒼介,右,井戸 新太郎,左,スライダー,,7,,見逃し,,,,,0,0,
2026/5/16,1,裏,2,2,1,○,○,○,山口蒼介,右,井戸 新太郎,左,フォーク,,14,,空振り,空振り三振,,,,1,0,
2026/5/16,1,裏,0,0,2,○,○,○,山口蒼介,右,関口,右,ストレート,,11,外角,ボール,,,,,0,0,
2026/5/16,1,裏,1,0,2,○,○,○,山口蒼介,右,関口,右,ストレート,,5,,ファウル,,,,,0,0,
2026/5/16,1,裏,1,1,2,○,○,○,山口蒼介,右,関口,右,フォーク,,7,外角,見逃し,,,,,0,1,
2026/5/16,1,裏,1,2,2,○,○,-,山口蒼介,右,関口,右,スライダー,,14,,ボール,,,,,0,0,
2026/5/16,1,裏,2,2,2,○,○,-,山口蒼介,右,関口,右,ストレート,,7,,ファウル,,,,,0,0,
2026/5/16,1,裏,2,2,2,○,○,-,山口蒼介,右,関口,右,ストレート,,6,,インプレー,,アウト,ゴロ,三塁手,1,0,
2026/5/16,2,表,0,0,0,-,-,-,伴,右,小畑,右,ストレート,,13,,ボール,,,,,0,0,
2026/5/16,2,表,1,0,0,-,-,-,伴,右,小畑,左,ストレート,,14,,ボール,,,,,0,0,
2026/5/16,2,表,2,0,0,-,-,-,伴,右,小畑,左,ストレート,,11,,ボール,,,,,0,0,
2026/5/16,2,表,3,0,0,-,-,-,伴,右,小畑,左,ストレート,,11,,ボール,四球,,,,0,0,
2026/5/16,2,表,0,0,0,○,-,-,伴,右,桝田宇琉,右,ストレート,,11,,ボール,,,,,0,0,
2026/5/16,2,表,1,0,0,○,-,-,伴,右,桝田宇琉,右,,,,,牽制,,,,,0,0,
2026/5/16,2,表,1,0,0,○,-,-,伴,右,桝田宇琉,右,ストレート,,7,,見逃し,,,,,0,0,
2026/5/16,2,表,1,1,0,-,○,-,伴,右,桝田宇琉,右,スライダー,,13,,インプレー,,アウト,ゴロ,三塁手,1,0,
2026/5/16,2,表,0,0,1,-,-,○,伴,右,矢口敬大,右,ストレート,,4,,空振り,,,,,0,0,
2026/5/16,2,表,0,1,1,-,-,○,伴,右,矢口敬大,右,スライダー,,13,外角,ボール,,,,,0,0,
