Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/5/16,1,表,2,2,0,-,-,-,近藤春希,左,土田悠翔,左,ストレート,,,,死球,,,,,0,0,
2026/5/16,1,表,0,0,0,○,-,-,近藤春希,左,山田久敬,左,ストレート,,11,内角,ボール,,,,,0,0,
2026/5/16,1,表,1,0,0,○,-,-,近藤春希,左,山田久敬,左,ストレート,,6,真ん中,インプレー,,犠打,ゴロ,投手,1,0,
2026/5/16,1,表,0,0,1,-,○,-,近藤春希,左,池邉由伸,左,ストレート,,11,内角,ボール,,,,,0,0,
2026/5/16,1,表,1,0,1,-,○,-,近藤春希,左,池邉由伸,左,ストレート,,11,内角,ファウル,,,,,0,0,
2026/5/16,1,表,1,1,1,-,○,-,近藤春希,左,池邉由伸,左,スライダー,,1,内角,インプレー,,アウト,フライ,左翼手,1,0,
2026/5/16,1,表,0,0,2,-,○,-,近藤春希,左,細川叶人,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/5/16,1,表,1,0,2,-,○,-,近藤春希,左,細川叶人,右,スライダー,,9,真ん中,見逃し,,,,,0,0,
2026/5/16,1,表,1,1,2,-,○,-,近藤春希,左,細川叶人,右,スライダー,,6,外角,インプレー,,単打,ゴロ,左翼手,0,1,
2026/5/16,1,表,0,0,2,○,-,-,近藤春希,左,小林拓斗,右,チェンジアップ,,13,外角,ボール,,,,,0,0,
2026/5/16,1,表,1,0,2,○,-,-,近藤春希,左,小林拓斗,右,ストレート,,6,外角,見逃し,,,,,0,0,
2026/5/16,1,表,1,1,2,○,-,-,近藤春希,左,小林拓斗,右,チェンジアップ,,12,外角,ボール,,,,,0,0,
2026/5/16,1,表,2,1,2,○,-,-,近藤春希,左,小林拓斗,右,ストレート,,8,内角,見逃し,,,,,0,0,
2026/5/16,1,表,2,2,2,○,-,-,近藤春希,左,小林拓斗,右,ストレート,,4,内角,ファウル,,,,,0,0,
2026/5/16,1,表,2,2,2,○,-,-,近藤春希,左,小林拓斗,右,チェンジアップ,,12,外角,ボール,,,,,0,0,
2026/5/16,1,表,3,2,2,○,-,-,近藤春希,左,小林拓斗,右,チェンジアップ,,12,外角,ファウル,,,,,0,0,
2026/5/16,1,表,3,2,2,○,-,-,近藤春希,左,小林拓斗,右,スライダー,,13,真ん中,ボール,四球,,,,0,0,
2026/5/16,1,表,0,0,2,○,○,-,近藤春希,左,田丸晃己,右,ストレート,,6,外角,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/5/16,1,裏,0,0,0,-,-,-,藤川泰斗,左,川合 錬磨,右,ストレート,,6,真ん中,ファウル,,,,,0,0,
2026/5/16,1,裏,0,1,0,-,-,-,藤川泰斗,左,川合 錬磨,右,チェンジアップ,,14,外角,ボール,,,,,0,0,
2026/5/16,1,裏,1,1,0,-,-,-,藤川泰斗,左,川合 錬磨,右,チェンジアップ,,14,外角,ボール,,,,,0,0,
2026/5/16,1,裏,2,1,0,-,-,-,藤川泰斗,左,川合 錬磨,右,ストレート,,6,外角,ファウル,,,,,0,0,
2026/5/16,1,裏,2,2,0,-,-,-,藤川泰斗,左,川合 錬磨,右,ストレート,,3,内角,ファウル,,,,,0,0,
2026/5/16,1,裏,2,2,0,-,-,-,藤川泰斗,左,川合 錬磨,右,ストレート,,6,内角,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/5/16,1,裏,0,0,1,-,-,-,藤川泰斗,左,月島夏王翔,右,チェンジアップ,,9,真ん中,インプレー,,アウト,ライナー,中堅手,1,0,
2026/5/16,1,裏,0,0,2,-,-,-,藤川泰斗,左,山川 悟輝,左,ストレート,,4,内角,見逃し,,,,,0,0,
2026/5/16,1,裏,0,1,2,-,-,-,藤川泰斗,左,山川 悟輝,左,ストレート,,9,真ん中,インプレー,,アウト,ゴロ,投手,1,0,
2026/5/16,2,表,0,0,0,-,-,-,近藤春希,左,久保誓真,右,ストレート,,4,内角,見逃し,,,,,0,0,
2026/5/16,2,表,0,1,0,-,-,-,近藤春希,左,久保誓真,右,ストレート,,2,真ん中,インプレー,,単打,ゴロ,中堅手,0,0,
2026/5/16,2,表,0,0,0,○,-,-,近藤春希,左,辻本匡登,右,ストレート,,3,外角,ファウル,,,,,0,0,
2026/5/16,2,表,0,1,0,○,-,-,近藤春希,左,辻本匡登,右,,,6,外角,ファウル,,,,,0,0,
2026/5/16,2,表,0,2,0,○,-,-,近藤春希,左,辻本匡登,右,ストレート,,9,外角,ファウル,スリーバント失敗,,,,1,0,
2026/5/16,2,表,0,0,1,○,-,-,近藤春希,左,岩見 柊,右,ストレート,,12,,ボール,,,,,0,0,
2026/5/16,2,表,1,0,1,○,-,-,近藤春希,左,岩見 柊,右,ストレート,,9,,見逃し,,,,,0,0,
2026/5/16,2,表,1,1,1,○,-,-,近藤春希,左,岩見 柊,右,,,,,牽制,,,,,0,0,
2026/5/16,2,表,1,1,1,○,-,-,近藤春希,左,岩見 柊,右,スライダー,,12,,インプレー,,併殺,ゴロ,二塁手,2,0,
2026/5/16,2,裏,0,0,0,-,-,-,藤川泰斗,左,眞木佳唯斗,右,カーブ,,7,,見逃し,,,,,0,0,
2026/5/16,2,裏,0,1,0,-,-,-,藤川泰斗,左,眞木佳唯斗,右,ストレート,,5,外角,インプレー,,アウト,フライ,中堅手,1,0,
2026/5/16,2,裏,0,0,1,-,-,-,藤川泰斗,左,今岡 歩夢,左,ストレート,,1,,見逃し,,,,,0,0,
