Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/8/31,1,表,0,0,0,-,-,-,村松杏慈,右,山本優人,右,,,,,インプレー,,アウト,ゴロ,三塁手,1,0,
2026/8/31,1,表,0,0,1,-,-,-,村松杏慈,右,鍛冶陽斗,右,,,,,インプレー,,アウト,フライ,右翼手,1,0,
2026/8/31,1,表,0,2,2,-,-,-,村松杏慈,右,相上征士郎,右,,,,,空振り,空振り三振,,,,1,0,
2026/8/31,1,裏,0,0,0,-,-,-,高平行栄,右,川合錬磨,右,ストレート,,14,,空振り,,,,,0,0,
2026/8/31,1,裏,0,1,0,-,-,-,高平行栄,右,川合錬磨,右,スライダー,,14,,空振り,,,,,0,0,
2026/8/31,1,裏,0,2,0,-,-,-,高平行栄,右,川合錬磨,右,ストレート,,9,,ファウル,,,,,0,0,
2026/8/31,1,裏,0,2,0,-,-,-,高平行栄,右,川合錬磨,右,カーブ,,9,,インプレー,,アウト,フライ,中堅手,1,0,
2026/8/31,1,裏,0,0,1,-,-,-,高平行栄,右,上田留生,右,ストレート,,3,,空振り,,,,,0,0,
2026/8/31,1,裏,0,1,1,-,-,-,高平行栄,右,上田留生,右,ストレート,,11,外角,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/8/31,1,裏,0,0,2,-,-,-,高平行栄,右,重岡陽色,左,ストレート,,13,,ファウル,,,,,0,0,
2026/8/31,1,裏,0,1,2,-,-,-,高平行栄,右,重岡陽色,左,ストレート,,13,,ボール,,,,,0,0,
2026/8/31,1,裏,1,1,2,-,-,-,高平行栄,右,重岡陽色,左,スライダー,,6,外角,見逃し,,,,,0,0,
2026/8/31,1,裏,1,2,2,-,-,-,高平行栄,右,重岡陽色,左,フォーク,,13,,ボール,,,,,0,0,
2026/8/31,1,裏,2,2,2,-,-,-,高平行栄,右,重岡陽色,左,スライダー,,11,,ボール,,,,,0,0,
2026/8/31,1,裏,3,2,2,-,-,-,高平行栄,右,重岡陽色,左,カーブ,,12,外角,インプレー,,アウト,ゴロ,一塁手,1,0,
2026/8/31,2,表,0,0,0,-,-,-,村松杏慈,右,竹田龍汰,右,ストレート,,11,外角,空振り,,,,,0,0,
2026/8/31,2,表,0,1,0,-,-,-,村松杏慈,右,竹田龍汰,右,ストレート,,12,,ボール,,,,,0,0,
2026/8/31,2,表,1,1,0,-,-,-,村松杏慈,右,竹田龍汰,右,フォーク,,12,,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/8/31,2,表,0,0,1,-,-,-,村松杏慈,右,日比 健心,左,ストレート,,13,,ボール,,,,,0,0,
2026/8/31,2,表,1,0,1,-,-,-,村松杏慈,右,日比 健心,左,ストレート,,2,,見逃し,,,,,0,0,
2026/8/31,2,表,1,1,1,-,-,-,村松杏慈,右,日比 健心,左,スライダー,,2,,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/8/31,2,表,0,0,2,-,-,-,村松杏慈,右,越野虎次郎,右,ストレート,,11,,ボール,,,,,0,0,
2026/8/31,2,表,1,0,2,-,-,-,村松杏慈,右,越野虎次郎,右,ストレート,,12,,ボール,,,,,0,0,
2026/8/31,2,表,2,0,2,-,-,-,村松杏慈,右,越野虎次郎,右,ストレート,,11,,ボール,,,,,0,0,
2026/8/31,2,表,3,0,2,-,-,-,村松杏慈,右,越野虎次郎,右,ストレート,,9,,見逃し,,,,,0,0,
2026/8/31,2,表,3,1,2,-,-,-,村松杏慈,右,越野虎次郎,右,スライダー,,8,,見逃し,,,,,0,0,
2026/8/31,2,表,3,2,2,-,-,-,村松杏慈,右,越野虎次郎,右,ストレート,,6,,インプレー,,単打,フライ,二塁手,0,0,
2026/8/31,2,表,0,0,2,○,-,-,村松杏慈,右,山本悠真,右,ストレート,,14,,ボール,,,,,0,0,
2026/8/31,2,表,1,0,2,○,-,-,村松杏慈,右,山本悠真,右,ストレート,,12,,ボール,,,,,0,0,
2026/8/31,2,表,2,0,2,○,-,-,村松杏慈,右,山本悠真,右,スライダー,,11,,ボール,,,,,0,0,
2026/8/31,2,表,3,0,2,○,-,-,村松杏慈,右,山本悠真,右,ツーシーム,,9,,見逃し,,,,,0,0,
2026/8/31,2,表,3,1,2,○,-,-,村松杏慈,右,山本悠真,右,スライダー,,9,,インプレー,,アウト,ライナー,一塁手,1,0,
2026/8/31,2,裏,0,0,0,-,-,-,高平行栄,右,今岡歩夢,左,スライダー,,13,,ボール,,,,,0,0,
2026/8/31,2,裏,1,0,0,-,-,-,高平行栄,右,今岡歩夢,左,ストレート,,14,,ボール,,,,,0,0,
2026/8/31,2,裏,2,0,0,-,-,-,高平行栄,右,今岡歩夢,左,ストレート,,7,,見逃し,,,,,0,0,
2026/8/31,2,裏,2,1,0,-,-,-,高平行栄,右,今岡歩夢,左,スライダー,,7,,見逃し,,,,,0,0,
2026/8/31,2,裏,2,2,0,-,-,-,高平行栄,右,今岡歩夢,左,ストレート,,14,,ボール,,,,,0,0,
2026/8/31,2,裏,3,2,0,-,-,-,高平行栄,右,今岡歩夢,左,ストレート,,7,,ファウル,,,,,0,0,
2026/8/31,2,裏,3,2,0,-,-,-,高平行栄,右,今岡歩夢,左,スライダー,,11,,ボール,四球,,,,0,0,
2026/8/31,2,裏,0,0,0,○,-,-,高平行栄,右,小林陸斗,左,ストレート,,11,,ボール,,,,,0,0,
2026/8/31,2,裏,1,0,0,○,-,-,高平行栄,右,小林陸斗,左,ストレート,,2,,インプレー,,アウト,フライ,中堅手,1,0,
2026/8/31,2,裏,0,0,1,○,-,-,高平行栄,右,内藤 颯,左,ストレート,,13,,ボール,,,,,0,0,
