Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/9/1,1,表,0,0,0,-,-,-,樋渡子竜,左,泉 航平,左,ストレート,,5,内角,見逃し,,,,,0,0,
2026/9/1,1,表,0,1,0,-,-,-,樋渡子竜,左,泉 航平,左,カーブ,,12,内角,ボール,,,,,0,0,
2026/9/1,1,表,1,1,0,-,-,-,樋渡子竜,左,泉 航平,左,スライダー,,13,内角,ボール,,,,,0,0,
2026/9/1,1,表,2,1,0,-,-,-,樋渡子竜,左,泉 航平,左,ストレート,,1,外角,インプレー,,アウト,ゴロ,投手,1,0,
2026/9/1,1,表,0,0,1,-,-,-,樋渡子竜,左,清水快真,左,ストレート,,7,内角,見逃し,,,,,0,0,
2026/9/1,1,表,0,1,1,-,-,-,樋渡子竜,左,清水快真,左,ストレート,,9,真ん中,見逃し,,,,,0,0,
2026/9/1,1,表,0,2,1,-,-,-,樋渡子竜,左,清水快真,左,スライダー,,4,内角,空振り,空振り三振,,,,1,0,
2026/9/1,1,表,0,0,2,-,-,-,樋渡子竜,左,柳島颯大,左,ストレート,,13,内角,空振り,,,,,0,0,
2026/9/1,1,表,0,1,2,-,-,-,樋渡子竜,左,柳島颯大,左,カーブ,,12,内角,死球,,,,,0,0,
2026/9/1,1,表,0,0,2,○,-,-,樋渡子竜,左,胡摩 結月,右,ストレート,,5,,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/9/1,1,裏,0,0,0,-,-,-,松本連矢,左,石井海瑛,右,チェンジアップ,,8,内角,見逃し,,,,,0,0,
2026/9/1,1,裏,0,1,0,-,-,-,松本連矢,左,石井海瑛,右,カットボール,,6,外角,ファウル,,,,,0,0,
2026/9/1,1,裏,0,2,0,-,-,-,松本連矢,左,石井海瑛,右,ストレート,,4,内角,ファウル,,,,,0,0,
2026/9/1,1,裏,0,2,0,-,-,-,松本連矢,左,石井海瑛,右,ストレート,,13,内角,ボール,,,,,0,0,
2026/9/1,1,裏,1,2,0,-,-,-,松本連矢,左,石井海瑛,右,スライダー,,4,外角,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/9/1,1,裏,0,0,1,-,-,-,松本連矢,左,椎名陽大,右,ストレート,,8,外角,見逃し,,,,,0,0,
