Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/9/5,1,表,0,0,0,-,-,-,玉村凌大,右,唐澤 旬,左,スライダー,,14,,空振り,,,,,0,0,
2026/9/5,1,表,0,1,0,-,-,-,玉村凌大,右,唐澤 旬,左,フォーク,,14,,空振り,,,,,0,0,
2026/9/5,1,表,0,2,0,-,-,-,玉村凌大,右,唐澤 旬,左,ツーシーム,,4,,ファウル,,,,,0,0,
2026/9/5,1,表,0,2,0,-,-,-,玉村凌大,右,唐澤 旬,左,ストレート,,11,,ボール,,,,,0,0,
2026/9/5,1,表,1,2,0,-,-,-,玉村凌大,右,唐澤 旬,左,ツーシーム,,7,,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/9/5,1,表,0,0,1,-,-,-,玉村凌大,右,村井虹七登,左,ツーシーム,,13,,ボール,,,,,0,0,
2026/9/5,1,表,1,0,1,-,-,-,玉村凌大,右,村井虹七登,左,ストレート,,5,,ファウル,,,,,0,0,
2026/9/5,1,表,1,1,1,-,-,-,玉村凌大,右,村井虹七登,左,スライダー,,7,,見逃し,,,,,0,0,
2026/9/5,1,表,1,2,1,-,-,-,玉村凌大,右,村井虹七登,左,ツーシーム,,4,,インプレー,,単打,フライ,中堅手,0,0,
2026/9/5,1,表,0,0,1,○,-,-,玉村凌大,右,植松健太,左,カーブ,,7,,見逃し,,,,,0,0,
2026/9/5,1,表,0,1,1,○,-,-,玉村凌大,右,植松健太,左,ストレート,,11,,ボール,,,,,0,0,
2026/9/5,1,表,1,1,1,○,-,-,玉村凌大,右,植松健太,左,ストレート,,11,,ボール,,,,,0,0,
2026/9/5,1,表,2,1,1,○,-,-,玉村凌大,右,植松健太,左,ツーシーム,,13,,ボール,,,,,0,0,
2026/9/5,1,表,3,1,1,○,-,-,玉村凌大,右,植松健太,左,ストレート,,11,,インプレー,,併殺,ゴロ,一塁手,2,0,
