Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/9/5,1,表,0,0,0,-,-,-,村松杏慈,右,市村 創多,右,ストレート,,12,真ん中,ボール,,,,,0,0,
2026/9/5,1,表,1,0,0,-,-,-,村松杏慈,右,市村 創多,右,ストレート,,6,真ん中,空振り,,,,,0,0,
2026/9/5,1,表,1,1,0,-,-,-,村松杏慈,右,市村 創多,右,スライダー,,2,外角,空振り,,,,,0,0,
2026/9/5,1,表,1,2,0,-,-,-,村松杏慈,右,市村 創多,右,ストレート,,12,外角,ボール,,,,,0,0,
2026/9/5,1,表,2,2,0,-,-,-,村松杏慈,右,市村 創多,右,スライダー,,1,外角,空振り,空振り三振,,,,1,0,
2026/9/5,1,表,0,0,1,-,-,-,村松杏慈,右,石井海瑛,左,ストレート,,13,内角,ボール,,,,,0,0,
2026/9/5,1,表,1,0,1,-,-,-,村松杏慈,右,石井海瑛,左,スライダー,,11,真ん中,ボール,,,,,0,0,
2026/9/5,1,表,2,0,1,-,-,-,村松杏慈,右,石井海瑛,左,スライダー,,4,外角,見逃し,,,,,0,0,
2026/9/5,1,表,2,1,1,-,-,-,村松杏慈,右,石井海瑛,左,ストレート,,7,真ん中,インプレー,,アウト,ゴロ,一塁手,1,0,
2026/9/5,1,表,0,0,2,-,-,-,村松杏慈,右,伊藤悠成,左,カーブ,,4,真ん中,見逃し,,,,,0,0,
2026/9/5,1,表,0,1,2,-,-,-,村松杏慈,右,伊藤悠成,左,フォーク,,13,内角,インプレー,,アウト,ゴロ,二塁手,1,0,
2026/9/5,1,裏,0,0,0,-,-,-,園部 琉斗,右,川合錬磨,右,カーブ,,14,外角,ボール,,,,,0,0,
2026/9/5,1,裏,1,0,0,-,-,-,園部 琉斗,右,川合錬磨,右,ストレート,,14,外角,ボール,,,,,0,0,
2026/9/5,1,裏,2,0,0,-,-,-,園部 琉斗,右,川合錬磨,右,ストレート,,9,外角,見逃し,,,,,0,0,
2026/9/5,1,裏,2,1,0,-,-,-,園部 琉斗,右,川合錬磨,右,スライダー,,14,外角,ボール,,,,,0,0,
2026/9/5,1,裏,3,1,0,-,-,-,園部 琉斗,右,川合錬磨,右,ストレート,,3,真ん中,インプレー,,単打,フライ,中堅手,0,0,
