Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/9/21,1,表,0,0,0,-,-,-,向嶋大輔,右,市村 創多,右,,,,,ファウル,,,,,0,0,
2026/9/21,1,表,0,1,0,-,-,-,向嶋大輔,右,市村 創多,右,スライダー,,6,,インプレー,,単打,ゴロ,中堅手,0,0,
2026/9/21,1,表,0,0,0,○,-,-,向嶋大輔,右,伊藤悠成,左,ストレート,,7,,見逃し,,,,,0,0,
2026/9/21,1,表,0,1,0,○,-,-,向嶋大輔,右,伊藤悠成,左,,,12,,ボール,,,,,0,0,
2026/9/21,1,表,1,1,0,○,-,-,向嶋大輔,右,伊藤悠成,左,,,,,見逃し,,,,,0,0,
2026/9/21,1,表,1,2,0,○,-,-,向嶋大輔,右,伊藤悠成,左,ストレート,,11,,ボール,,,,,0,0,
2026/9/21,1,表,2,2,0,○,-,-,向嶋大輔,右,伊藤悠成,左,,,,,牽制,,,,,0,0,
2026/9/21,1,表,2,2,0,-,○,-,向嶋大輔,右,伊藤悠成,左,ストレート,,14,,ファウル,,,,,0,0,
2026/9/21,1,表,2,2,0,-,○,-,向嶋大輔,右,伊藤悠成,左,スライダー,,7,,インプレー,,単打,ゴロ,中堅手,0,0,
2026/9/21,1,表,0,0,0,○,-,○,向嶋大輔,右,石井海瑛,左,ストレート,,13,,ボール,,,,,0,0,
2026/9/21,1,表,1,0,0,○,-,○,向嶋大輔,右,石井海瑛,左,ストレート,,9,,空振り,,,,,0,0,
2026/9/21,1,表,1,1,0,○,-,○,向嶋大輔,右,石井海瑛,左,スライダー,,14,,ファウル,,,,,0,0,
2026/9/21,1,表,1,2,0,○,-,○,向嶋大輔,右,石井海瑛,左,ストレート,,1,,ファウル,,,,,0,0,
2026/9/21,1,表,1,2,0,○,-,○,向嶋大輔,右,石井海瑛,左,ストレート,,3,,ファウル,,,,,0,0,
2026/9/21,1,表,1,2,0,○,-,○,向嶋大輔,右,石井海瑛,左,フォーク,,2,,インプレー,,アウト,ゴロ,二塁手,1,1,
2026/9/21,1,表,0,0,1,○,-,-,向嶋大輔,右,茂路晴実,左,ストレート,,9,,見逃し,,,,,0,0,
