Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo
2026/9/26,1,表,0,0,0,-,-,-,與 賢史朗,右,竹田龍汰,右,ストレート,,3,,見逃し,,,,,0,0,
2026/9/26,1,表,0,1,0,-,-,-,與 賢史朗,右,竹田龍汰,右,ストレート,,3,,インプレー,,アウト,フライ,遊撃手,1,0,
2026/9/26,1,表,0,0,1,-,-,-,與 賢史朗,右,鍛冶陽斗,右,ストレート,,6,,見逃し,,,,,0,0,
2026/9/26,1,表,0,1,1,-,-,-,與 賢史朗,右,鍛冶陽斗,右,ストレート,,6,,インプレー,,アウト,ゴロ,遊撃手,1,0,
2026/9/26,1,表,0,0,2,-,-,-,與 賢史朗,右,相上征士郎,右,ストレート,,2,,ファウル,,,,,0,0,
2026/9/26,1,表,0,1,2,-,-,-,與 賢史朗,右,相上征士郎,右,ストレート,,9,,見逃し,,,,,0,0,
2026/9/26,1,表,0,2,2,-,-,-,與 賢史朗,右,相上征士郎,右,ストレート,,12,,ボール,,,,,0,0,
2026/9/26,1,表,1,2,2,-,-,-,與 賢史朗,右,相上征士郎,右,ストレート,,6,,空振り,空振り三振,,,,1,0,
2026/9/26,1,裏,0,0,0,-,-,-,高平行栄,右,唐澤 旬,左,ストレート,,7,内角,空振り,,,,,0,0,
2026/9/26,1,裏,0,1,0,-,-,-,高平行栄,右,唐澤 旬,左,ストレート,,7,,インプレー,,単打,ライナー,左翼手,0,0,
2026/9/26,1,裏,0,0,0,○,-,-,高平行栄,右,小西由颯,右,ストレート,,11,,ボール,,,,,0,0,
2026/9/26,1,裏,1,0,0,○,-,-,高平行栄,右,小西由颯,右,ストレート,,3,,インプレー,,犠打,ゴロ,一塁手,1,0,
2026/9/26,1,裏,0,0,1,-,○,-,高平行栄,右,植松健太,左,スライダー,,7,,見逃し,,,,,0,0,
2026/9/26,1,裏,0,1,1,-,○,-,高平行栄,右,植松健太,左,ストレート,,13,,ボール,,,,,0,0,
2026/9/26,1,裏,1,1,1,-,○,-,高平行栄,右,植松健太,左,スライダー,,11,,ボール,,,,,0,0,
2026/9/26,1,裏,2,1,1,-,○,-,高平行栄,右,植松健太,左,スライダー,,11,,ボール,,,,,0,0,
2026/9/26,1,裏,3,1,1,-,○,-,高平行栄,右,植松健太,左,ストレート,,7,,空振り,,,,,0,0,
